EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,1485.6,1491.05,1485.15,1491.05,25328,0
1,1475.3,1486.7,1473,1486.7,17330,0
2,1477.65,1479.8,1475.25,1475.25,10722,0
3,1483.05,1483.3,1476.9,1477,8385,0
4,1476.45,1483.8,1475,1483.05,25141,0
5,1467.45,1477.25,1467.45,1476.45,11640,0
6,1463.05,1467.25,1460,1467.25,24171,0
7,1398.7,1462.95,1386.9,1462.4,111720,0
8,1425.25,1430,1383.75,1386.65,98497,0
9,1423.6,1429.8,1400.05,1425.65,60967,0
10,1439.9,1439.9,1422,1425,30483,0
11,1427.8,1443.55,1427.8,1439.9,32063,0
12,1437.1,1438,1422.3,1428.05,21113,0
13,1450.55,1459.75,1437.5,1437.5,38339,0
14,1442.2,1451.05,1440,1450.8,19388,0
15,1441.35,1443,1436.5,1442.6,18979,0
16,1440.6,1442,1439.75,1440.95,7655,0
17,1430,1441.85,1426.85,1441.15,23027,0
18,1430.55,1431.9,1428.7,1429.3,10193,0
19,1436.15,1436.15,1430.8,1430.8,6846,0
20,1433.7,1435.3,1432.8,1435.05,5054,0
21,1436.6,1436.7,1433.7,1434,5351,0
22,1437.4,1438.4,1436.45,1437.65,11800,0
23,1437,1440,1435.2,1437.05,11803,0
24,1434.25,1436.8,1432,1436.8,8501,0
25,1437.3,1437.45,1432.9,1434.25,8562,0
26,1434,1437.3,1434,1437.3,4860,0
27,1432.3,1434.35,1430.75,1434.35,8588,0
28,1432.55,1434.85,1432,1433,4883,0
29,1433.2,1435,1432.7,1432.75,3703,0
30,1420.7,1432.95,1420.7,1432.85,19540,0
31,1423.4,1424.25,1420.45,1421.2,16032,0
32,1427,1427.45,1423,1423.05,7826,0
33,1426.2,1426.8,1425,1426.8,5478,0
34,1425.9,1428,1425.05,1425.75,3683,0
35,1424.8,1425.9,1424.5,1425.9,5363,0
36,1424.9,1425.9,1424,1425.35,6249,0
37,1424.5,1424.85,1423.75,1423.75,1814,0
38,1426.25,1426.55,1423.7,1424.6,4204,0
39,1425.85,1427,1425.2,1426.4,5621,0
40,1426.9,1427,1426,1426.85,2869,0
41,1432,1432.15,1426.75,1426.9,6330,0
42,1431.45,1432.85,1431,1432,6397,0
43,1429,1431.95,1428.05,1431.95,3631,0
44,1428,1428.7,1427.4,1428.55,2516,0
45,1427.9,1427.9,1425.5,1427.85,4464,0
46,1432,1432,1426.4,1427,7978,0
47,1433.95,1434,1431.25,1432,6278,0
48,1437,1438.7,1432.5,1433.65,10749,0
49,1434.6,1437.5,1434.45,1437,8666,0
50,1438.35,1438.35,1433.3,1434.35,7856,0
51,1442.5,1443,1438.45,1439,19007,0
52,1438.2,1442.3,1438,1442.15,9179,0
53,1436.5,1438,1435.7,1438,18447,0
54,1438.5,1438.9,1436.5,1436.5,17841,0
55,1439.75,1441,1438.95,1438.95,10182,0
56,1438.75,1439.7,1438.5,1438.8,9753,0
57,1440.5,1440.65,1438.5,1438.75,7475,0
58,1441,1442.1,1440.8,1440.8,4959,0
59,1440.85,1441.5,1440,1441.5,2853,0
60,1439.95,1440.7,1439.1,1440.7,1676,0
61,1441.75,1441.95,1439,1439.75,4273,0
62,1445,1445,1440.65,1441.85,7165,0
63,1448.3,1449.25,1444.3,1444.3,18504,0
64,1447,1448.95,1446.1,1448,10409,0
65,1445.5,1447.95,1445.5,1447.55,3932,0
66,1456,1456,1445,1446.45,23148,0
67,1454.15,1457,1452.65,1455.75,22698,0
68,1451.2,1454.95,1451.2,1454.15,7423,0
69,1448,1451.15,1447.15,1451,6895,0
70,1449.85,1451.8,1444.65,1447.6,11945,0
71,1449,1451.3,1448.8,1449.85,4319,0
72,1449.65,1451,1449,1449.25,8379,0
73,1450.95,1450.95,1448.2,1449.6,5383,0
74,1451.1,1452,1450,1451,3728,0
75,1451.8,1451.8,1450,1451,1873,0
76,1456.25,1458.45,1450.95,1451.3,14557,0
77,1453.95,1456.65,1452.55,1456.4,6623,0
78,1457.55,1457.55,1452.75,1453.05,3310,0
79,1466.4,1467.35,1457.1,1457.1,38944,0
80,1461.2,1465.7,1452.7,1465.7,15968,0
81,1457.2,1461,1456.2,1460.95,8391,0
82,1452,1457.35,1451.65,1457.3,9151,0
83,1453.5,1454.1,1452,1452.5,3975,0
84,1453,1453.45,1450.85,1452,7748,0
