EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,421.9,423.55,419.25,419.45,3129,0
1,423.65,423.65,421.5,421.9,1843,0
2,422.05,423.3,422,423.3,675,0
3,421,423.9,421,422.05,2571,0
4,423.05,423.05,420.2,421,2093,0
5,422.2,423.95,422,423.95,1490,0
6,420.5,422.05,419.8,422.05,976,0
7,421.2,421.2,419,419.2,2842,0
8,419.9,421.2,418.8,421.2,6498,0
9,418.1,418.5,417.95,418.5,4863,0
10,415,418.15,414.6,417.6,7666,0
11,417.25,417.35,414.3,414.3,3331,0
12,416.75,417.55,416.45,417.35,998,0
13,416.5,417.25,416.5,416.8,732,0
14,417.5,417.5,416.5,416.5,1628,0
15,417,417.55,416.95,416.95,1510,0
16,417,417.15,417,417.15,630,0
17,417,417.5,416.65,417,1299,0
18,417,417,416.5,416.6,660,0
19,417.35,417.35,417,417,881,0
20,420.8,421.1,417,417,12613,0
21,418,420.25,416.65,420.25,6182,0
22,417,417.8,417,417.5,462,0
23,417.5,417.65,416.15,416.75,2640,0
24,417,418,417,417.5,3519,0
25,416.95,417,416.25,416.9,3163,0
26,416.7,416.95,416.2,416.95,1173,0
27,416,416.6,416,416.2,1727,0
28,418.1,418.1,416,416.35,2974,0
29,419,419.75,418.1,418.1,7188,0
30,419.4,419.4,419,419,638,0
31,419.2,419.45,419,419.05,308,0
32,418.2,419.25,418.2,419.25,281,0
33,418.25,418.35,418.15,418.15,53,0
34,419,419.8,417.75,417.95,952,0
35,419.4,419.4,419,419.05,20,0
36,420.55,421.25,419,419,3017,0
37,421,421.1,419.95,420,4142,0
38,420.9,422,420.9,421.6,4822,0
39,420.2,421,419.9,421,2170,0
40,420.3,420.5,420,420,1800,0
41,420.15,420.5,420,420,1645,0
42,420.5,420.8,420.5,420.5,199,0
43,421.25,421.25,420.5,420.75,1470,0
44,422,422,421,421,2947,0
45,422.75,422.95,422,422,2019,0
46,421,423.05,420.05,422.7,5886,0
47,422.1,422.5,421,421.05,5301,0
48,422.25,423.5,422,422.15,2767,0
49,425,425.7,422.85,423,6309,0
50,425.15,425.5,424,425,3711,0
51,426.95,426.95,425.1,425.1,5396,0
52,428.6,429.25,426.45,426.45,7935,0
53,427.4,429,427.3,428.6,1300,0
54,428.2,429,427.5,428,2856,0
55,427.3,428.05,427.3,428.05,394,0
56,426.5,427.65,426.5,427.65,1721,0
57,425.95,426.9,425.55,426.5,741,0
58,425.9,426.05,425.55,425.85,988,0
59,425.05,425.6,425.05,425.6,371,0
60,425,425.1,424.25,425.05,1489,0
61,425.25,425.25,425,425,667,0
62,424.7,426.2,424.7,425.25,1154,0
63,427.2,427.2,424.1,424.7,2079,0
64,425.2,427,425.2,427,2439,0
65,426,426.1,424.6,425,3491,0
66,426.5,426.5,425.3,425.65,764,0
67,427.4,427.4,425.95,426.4,1649,0
68,425.65,427.4,425.65,427,2984,0
69,425.35,426.35,424.3,426.35,1841,0
70,425.5,425.5,424.7,425.2,905,0
71,426.5,426.5,425.5,425.5,1334,0
72,427.05,427.05,426,426.5,3196,0
73,426.5,427.05,426.5,427,486,0
74,425.5,426.25,425.5,426.25,4339,0
75,425.95,425.95,425.65,425.65,121,0
76,425,425.65,424.75,425.65,4654,0
77,423.8,424.7,423.8,424.5,4236,0
78,423.8,424,423.8,423.85,729,0
79,423.9,424.05,423.8,424,1229,0
80,424.5,424.7,423.85,424,3112,0
81,424.3,424.5,424.3,424.5,71,0
82,424.1,424.25,424.1,424.25,152,0
83,424.05,424.05,424.05,424.05,46,0
84,423.75,423.8,423.3,423.8,4690,0
