EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,99.2,99.2,98.8,98.8,2413,0
1,99,99.2,99,99.05,1932,0
2,98.7,99,98.7,99,1291,0
3,98.55,98.95,98.55,98.95,1576,0
4,98.65,98.7,98.55,98.55,393,0
5,98.55,98.7,98.55,98.55,936,0
6,98.4,98.5,98.15,98.5,382,0
7,98.3,98.4,98.3,98.4,62,0
8,98.35,98.35,98.25,98.25,686,0
9,98.4,98.4,98.35,98.35,122,0
10,98.2,98.2,98.2,98.2,1,0
11,98.4,98.4,98.3,98.3,610,0
12,98.4,98.4,98.4,98.4,4,0
13,98,98.4,98,98.3,2445,0
14,98.25,98.25,98.2,98.2,80,0
15,98.25,98.25,98.25,98.25,75,0
16,98.1,98.25,98.1,98.25,240,0
17,98.25,98.25,98.1,98.25,730,0
18,98.25,98.25,98.25,98.25,175,0
19,98.25,98.25,98.25,98.25,30,0
20,98.3,98.3,98.25,98.25,1127,0
21,98.35,98.35,98.3,98.3,31,0
22,98.45,98.45,98.35,98.35,287,0
23,98.3,98.45,98.25,98.25,2404,0
24,98.3,98.45,98.3,98.3,382,0
25,98.25,98.45,98.25,98.45,330,0
27,98.25,98.45,98.25,98.45,1280,0
30,98.45,98.45,98.25,98.25,1340,0
31,98.3,98.3,98.3,98.3,269,0
32,98.3,98.45,98.3,98.45,2651,0
33,98.6,98.6,98.3,98.3,1012,0
34,98.25,98.6,98.25,98.6,4056,0
35,98.35,98.4,98.25,98.25,1314,0
36,98.35,98.35,98.25,98.25,185,0
37,98.35,98.35,98.3,98.3,953,0
38,98.3,98.3,98.25,98.25,313,0
39,98.25,98.3,98.25,98.25,340,0
40,98.25,98.3,98.25,98.25,276,0
41,98.25,98.3,98.25,98.3,529,0
42,98.25,98.25,98.25,98.25,104,0
43,98.25,98.3,98.25,98.25,2174,0
44,98.25,98.25,98.25,98.25,806,0
45,98.25,98.3,98.25,98.25,1217,0
46,98.3,98.3,98.25,98.25,313,0
47,98.25,98.25,98.25,98.25,148,0
48,98.3,98.3,98.25,98.25,276,0
49,98.25,98.3,98.25,98.25,2953,0
50,98.25,98.3,98.25,98.3,756,0
51,98.25,98.3,98.25,98.3,2034,0
52,98.25,98.3,98.25,98.25,106,0
53,98.25,98.25,98.25,98.25,151,0
54,98.25,98.3,98.25,98.25,461,0
55,98.25,98.25,98.25,98.25,574,0
56,98.3,98.3,98.25,98.3,580,0
57,98.3,98.3,98.3,98.3,8,0
58,98.25,98.25,98.25,98.25,10,0
59,98.3,98.3,98.3,98.3,4,0
60,98.25,98.3,98.25,98.25,1840,0
61,98.3,98.3,98.3,98.3,1,0
62,98.3,98.3,98.3,98.3,100,0
63,98.25,98.25,98.25,98.25,20,0
64,98.25,98.25,98.25,98.25,276,0
65,98.3,98.3,98.3,98.3,100,0
66,98.3,98.3,98.3,98.3,1375,0
67,98.3,98.3,98.3,98.3,11,0
68,98.3,98.3,98.25,98.25,2067,0
69,98.3,98.3,98.25,98.25,486,0
70,98.25,98.3,98.25,98.3,609,0
71,98.25,98.25,98.25,98.25,250,0
73,98.3,98.3,98.25,98.25,320,0
74,98.3,98.3,98.3,98.3,60,0
75,98.25,98.3,98.25,98.3,162,0
76,98.3,98.3,98.3,98.3,300,0
77,98.3,98.3,98.3,98.3,243,0
78,98.25,98.3,98.25,98.25,2446,0
79,98.25,98.3,98.25,98.3,16,0
80,98.25,98.3,98.25,98.25,557,0
81,98.25,98.25,98.25,98.25,200,0
82,98.3,98.3,98.25,98.3,882,0
83,98.3,98.3,98.3,98.3,14,0
84,98.3,98.3,98.3,98.3,75,0
