EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,325.9,328,324,328,1851,0
1,329.25,329.4,325.6,325.7,3167,0
2,328.05,331,328.05,329.5,3813,0
3,328.65,328.65,328.35,328.35,802,0
4,331.45,331.45,328.5,328.5,2387,0
5,330,331.45,329.85,330.7,1172,0
6,329.5,329.5,329.25,329.5,253,0
7,329.45,329.6,329.15,329.6,686,0
8,330.05,330.1,329.15,329.45,3159,0
9,329.85,329.85,329.15,329.15,376,0
10,329.9,330,329.25,329.45,437,0
11,329.45,330.7,329.45,329.95,2132,0
12,329.3,330,329.3,330,166,0
13,329.6,330,329.3,330,149,0
14,329.15,329.15,329.15,329.15,250,0
15,329.3,329.6,329.15,329.15,169,0
16,328.95,329.65,328.95,329.6,451,0
17,327.6,328.95,327.6,328.95,1173,0
18,327.6,328.25,327.6,327.85,356,0
19,328.2,328.2,327.6,328.15,253,0
20,327.85,328.2,327.5,328.2,73,0
21,326.8,327.85,326.8,327.5,852,0
22,327.5,327.5,326.7,326.7,1080,0
23,327.4,327.4,326.9,326.9,17,0
24,327.4,327.4,327.4,327.4,2,0
25,327.4,327.4,327.4,327.4,2,0
26,326.75,327.4,326.75,327.4,228,0
27,327.2,327.25,327.15,327.15,149,0
28,327.6,327.65,327.4,327.4,203,0
29,327.7,327.95,327.7,327.95,152,0
30,328.3,328.3,327.7,327.9,708,0
31,328,328.15,328,328.15,205,0
32,328.3,328.3,328.2,328.2,38,0
33,328.2,328.35,328.2,328.35,60,0
34,328.5,328.5,328.2,328.2,127,0
35,328.6,328.8,328.5,328.5,200,0
36,328.5,328.65,328.35,328.65,264,0
37,328.3,328.85,327.3,328.5,848,0
38,327.05,327.8,327,327.8,939,0
39,326.25,327,326.2,327,217,0
40,326.25,326.55,326.2,326.55,300,0
41,326.4,326.4,326.1,326.2,281,0
42,326.2,326.2,326.2,326.2,96,0
43,326.35,326.35,326.1,326.2,242,0
44,326,326.1,326,326.1,285,0
45,325.7,326,325.5,326,292,0
46,325.55,325.6,325.5,325.5,394,0
47,325.6,325.6,325.35,325.45,264,0
48,325.6,325.65,325.55,325.55,211,0
49,325.65,325.75,325.55,325.75,110,0
50,325.5,325.65,325.5,325.65,277,0
51,325.5,325.65,325.5,325.55,160,0
52,325.75,326.5,325.65,326.5,430,0
53,325.85,325.85,325.75,325.75,103,0
54,325.95,326.05,325.75,325.85,262,0
55,325.75,325.95,325.75,325.95,149,0
56,326,326,325.75,325.75,137,0
57,326.05,326.05,325.85,325.9,100,0
58,325.5,326.05,325.5,326.05,146,0
59,325.5,325.5,325.5,325.5,10,0
60,326.1,326.1,325.8,325.8,301,0
61,327.05,327.05,326.15,326.15,524,0
62,327,327.45,327,327.05,515,0
63,326.85,326.85,326.65,326.65,38,0
64,326.6,326.65,326.6,326.65,99,0
65,326.25,326.6,326.25,326.6,11,0
66,326.2,326.45,326.2,326.25,138,0
67,326.4,326.4,326.1,326.4,60,0
69,326.3,326.8,326.2,326.3,1075,0
70,327,327,326.35,326.35,90,0
71,326.6,326.6,326.55,326.55,16,0
72,326.65,326.65,326.6,326.6,128,0
73,326.65,326.65,326.65,326.65,15,0
74,326.65,326.65,326.65,326.65,74,0
75,326.85,326.85,326.7,326.7,46,0
76,326.85,326.85,326.7,326.7,39,0
78,326.85,326.85,326.8,326.8,6,0
79,326.95,326.95,326.95,326.95,68,0
80,326.95,326.95,326.85,326.95,39,0
81,326.85,326.95,326.85,326.95,8,0
82,326.95,326.95,326.85,326.85,40,0
84,327.15,327.15,326.9,327.1,720,0
