EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,1342,1350.65,1331.05,1331.05,34305,0
1,1345,1345.9,1338.8,1343.3,12815,0
2,1344.35,1345.7,1343.65,1345.5,11763,0
3,1343.85,1345.45,1343.55,1344.2,5513,0
4,1342.8,1344.4,1342,1343.7,5295,0
5,1343,1343.75,1342.6,1342.6,3292,0
6,1343,1343.2,1342.5,1342.95,4460,0
7,1341.95,1343,1341.95,1342.05,3133,0
8,1340.2,1342,1340,1341.95,6492,0
9,1340.2,1340.5,1340,1340.3,3564,0
10,1339.9,1340.25,1339.9,1340.25,8110,0
11,1337.15,1339.9,1337,1339.9,4787,0
12,1336.05,1337,1335.75,1337,5419,0
13,1334.55,1336,1334.05,1336,8402,0
14,1336.45,1337.45,1335,1335,3255,0
15,1335.85,1336.7,1335.1,1336.45,5581,0
16,1335.1,1335.85,1335.1,1335.85,3731,0
17,1334.65,1335.3,1334.55,1335.15,5562,0
18,1334.4,1337,1333.9,1334.6,23829,0
19,1336.35,1337,1334.75,1334.75,3472,0
20,1336.75,1336.9,1336.25,1336.8,5051,0
21,1338.7,1339.15,1336.95,1337,5631,0
22,1339.15,1339.9,1339,1339.7,13245,0
23,1337,1339.15,1337,1339.15,2325,0
24,1336.45,1337,1336.1,1337,4284,0
25,1336.45,1336.65,1336.4,1336.4,2165,0
26,1336,1336.5,1336,1336.45,3315,0
27,1335.75,1336.05,1335.55,1336.05,2913,0
28,1336.05,1336.45,1335.6,1335.7,1569,0
29,1336,1336.65,1335.95,1336,6403,0
30,1336,1336.1,1335.9,1336.05,3617,0
31,1335.9,1336.05,1335.9,1335.9,2535,0
32,1335.85,1336.05,1335.85,1335.95,2493,0
33,1335.9,1336.2,1335.75,1335.75,2529,0
34,1334.35,1335.95,1334.35,1335.95,7138,0
35,1333.75,1334.2,1333.75,1334.15,2490,0
36,1334,1334.05,1333.75,1333.75,3685,0
37,1334.4,1335,1333.9,1334,2110,0
38,1334.75,1335,1334.4,1334.45,2224,0
39,1334.7,1334.8,1334.65,1334.8,2718,0
40,1334.7,1334.7,1334.65,1334.65,2343,0
41,1334.6,1334.7,1334.55,1334.65,2131,0
42,1334.55,1334.6,1334.55,1334.6,2315,0
43,1332.9,1334.6,1332.85,1334.6,2519,0
44,1331.35,1333,1331,1333,8151,0
45,1331.9,1332.7,1331.05,1331.15,2356,0
46,1331.15,1332,1331.15,1331.9,3539,0
47,1327.5,1331.2,1327.5,1331.15,16632,0
48,1328,1328.15,1327.35,1327.35,10793,0
49,1328.2,1328.5,1327.7,1327.7,4203,0
50,1328.4,1329,1328.2,1328.2,6037,0
51,1326.55,1328.55,1326.55,1328.4,7922,0
52,1327.1,1327.25,1326.35,1326.4,4345,0
53,1326.95,1327.65,1326.9,1327.25,2565,0
54,1326.9,1327.05,1326.85,1326.9,4554,0
55,1326,1326.85,1326,1326.85,3743,0
56,1323.35,1325.9,1322.5,1325.9,11884,0
57,1323.1,1324.5,1322.8,1323.35,8012,0
58,1323.65,1323.65,1323.05,1323.1,5377,0
59,1323.65,1324.05,1323.1,1323.5,3488,0
60,1324.3,1325.3,1323.4,1323.75,4504,0
61,1325.35,1325.75,1324.3,1324.35,2696,0
62,1325.75,1325.9,1325,1325.05,4860,0
63,1325.7,1325.85,1325.55,1325.65,4112,0
64,1326.7,1327.1,1325.55,1325.55,2783,0
65,1326.25,1327.15,1326.25,1326.75,4861,0
66,1326.2,1326.25,1326.2,1326.2,2411,0
67,1325.05,1326.25,1325.05,1326.25,1617,0
68,1325,1325.1,1324.65,1325,3212,0
69,1325.8,1325.9,1325,1325,2869,0
70,1327.45,1327.8,1325.75,1325.75,3285,0
71,1327.45,1327.5,1327.35,1327.5,2242,0
72,1327.3,1327.45,1327.3,1327.4,3630,0
73,1327.3,1327.4,1327.3,1327.35,2613,0
74,1327.65,1328,1327.2,1327.2,4007,0
75,1329.45,1329.65,1327.55,1327.6,4396,0
76,1329.55,1330,1329,1329.1,5051,0
77,1331.15,1331.15,1329.6,1329.6,8137,0
78,1332.1,1332.1,1330.75,1331,6660,0
79,1335.05,1335.9,1332.1,1332.45,15809,0
80,1335.75,1336.2,1335,1335.3,17299,0
81,1334.65,1335.85,1334.4,1335.8,3534,0
82,1333,1334.6,1332.95,1334.5,5088,0
83,1333.85,1333.95,1333,1333,6641,0
84,1333.85,1333.85,1332.8,1333.85,4960,0
