EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,99.4,99.5,99.05,99.5,7649,0
1,99.4,99.45,99.15,99.45,311,0
2,99.35,99.35,99.2,99.2,3,0
3,100.05,100.6,100.05,100.35,13642,0
4,100.1,100.65,100.1,100.1,336,0
5,100.45,100.45,100.45,100.45,50,0
7,100.3,100.3,100.3,100.3,118,0
8,100.3,100.45,100.3,100.45,757,0
11,100.4,100.4,100.4,100.4,214,0
12,100.2,100.2,100.2,100.2,604,0
15,100.2,100.2,100.2,100.2,50,0
16,100.4,100.4,100.4,100.4,1996,0
21,100.35,100.35,100.2,100.2,200,0
22,100.4,100.4,100.4,100.4,950,0
26,100.4,100.5,100.4,100.5,14036,0
27,100.65,100.7,100.5,100.6,32487,0
28,100.7,100.7,100.6,100.6,6500,0
30,100.65,100.65,100.65,100.65,250,0
31,100.6,100.6,100.6,100.6,111,0
32,100.7,100.7,100.7,100.7,821,0
33,100.6,100.6,100.6,100.6,200,0
35,100.4,100.5,100.4,100.5,10050,0
36,100.45,100.45,100.4,100.4,227,0
37,100.45,100.45,100.45,100.45,91,0
38,100.4,100.4,100.4,100.4,282,0
39,100.4,100.4,100.4,100.4,100,0
40,100.4,100.4,100.4,100.4,100,0
41,100.4,100.4,100.4,100.4,100,0
42,100.4,100.4,100.4,100.4,1044,0
43,100.5,100.5,100.4,100.4,150,0
44,100.5,100.55,100.5,100.55,75,0
45,100.45,100.5,100.4,100.5,2150,0
47,100.45,100.45,100.45,100.45,75,0
48,100.45,100.5,100.45,100.5,225,0
49,100.55,100.55,100.45,100.45,75,0
50,100.45,100.45,100.45,100.45,125,0
51,100.45,100.45,100.45,100.45,125,0
52,100.45,100.45,100.45,100.45,125,0
53,100.45,100.45,100.45,100.45,50,0
54,100.5,100.5,100.45,100.45,160,0
55,100.45,100.45,100.45,100.45,25,0
56,100.45,100.45,100.45,100.45,100,0
57,100.45,100.45,100.45,100.45,240,0
58,100.4,100.4,100.4,100.4,50,0
60,100.4,100.4,100.4,100.4,20,0
61,100.5,100.5,100.5,100.5,1000,0
66,100.5,100.5,100.4,100.4,1360,0
67,100.4,100.4,100.4,100.4,10,0
68,100.4,100.4,100.4,100.4,10,0
70,100.4,100.4,100.4,100.4,76,0
71,100.4,100.4,100.4,100.4,230,0
72,100.4,100.4,100.4,100.4,244,0
73,100.4,100.4,100.4,100.4,50,0
74,100.4,100.4,100.4,100.4,826,0
75,100.4,100.4,100.4,100.4,25,0
76,100.4,100.4,100.4,100.4,100,0
78,100.4,100.4,100.4,100.4,1000,0
81,100.4,100.4,100.4,100.4,50,0
