EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,447.65,447.65,447.65,447.65,3,0
2,449.95,449.95,449.95,449.95,1,0
7,447,447.85,447,447.85,49,0
8,449,449,446.95,447.25,175,0
9,449,449,449,449,20,0
15,448,448,448,448,1,0
16,449,449,449,449,3,0
22,447.3,447.8,447.3,447.8,35,0
27,448.45,448.45,448.45,448.45,10,0
30,448.45,448.45,448.45,448.45,18,0
31,448.45,448.45,448.45,448.45,3,0
32,448.45,448.5,448.45,448.5,5,0
33,447.9,447.9,447.9,447.9,25,0
35,447.25,447.35,447.25,447.35,17,0
43,447.3,447.3,447.3,447.3,4,0
44,447.9,447.9,447.9,447.9,3,0
46,448,448,447.9,447.9,2,0
48,448.1,448.1,448.1,448.1,13,0
58,448,448,448,448,10,0
61,447.9,448,447.9,448,100,0
64,448.65,448.65,448.65,448.65,25,0
69,448.95,449.3,448.95,449,30,0
74,449.15,449.15,449,449,29,0
75,449,449,449,449,35,0
76,449.15,449.15,449.15,449.15,21,0
79,449.75,449.75,449.75,449.75,15,0
81,449,449,449,449,23,0
83,448.95,449.15,448.95,449.15,67,0
84,450,450,450,450,30,0
