EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,7816.55,7816.55,7816.55,7816.55,5,0
1,7834,7834.15,7834,7834.15,31,0
2,7834.75,7848.95,7834.75,7848.95,2,0
3,7835.45,7875,7834,7834,24,0
4,7874.95,7874.95,7846.2,7846.2,7,0
5,7874.3,7874.3,7874.3,7874.3,1,0
7,7865,7865,7865,7865,1,0
8,7859.95,7878.8,7855,7855,276,0
9,7860,7860,7860,7860,10,0
10,7834.05,7839.8,7834.05,7839.8,6,0
11,7860,7860,7860,7860,10,0
12,7860,7860,7860,7860,30,0
13,7834.05,7834.05,7834.05,7834.05,1,0
16,7834.1,7834.1,7834.1,7834.1,15,0
18,7836,7836.35,7836,7836.35,6,0
19,7836,7836,7836,7836,5,0
20,7840,7840,7836,7836,28,0
21,7850,7850,7839.95,7839.95,51,0
22,7849.95,7849.95,7849.95,7849.95,1,0
24,7836.05,7850,7836.05,7850,55,0
28,7838,7844,7838,7844,14,0
29,7840,7840,7830,7836,18,0
31,7830,7830,7830,7830,2,0
32,7830,7830,7830,7830,5,0
34,7840,7840,7840,7840,11,0
36,7830,7830.05,7830,7830.05,2,0
37,7830,7830.05,7830,7830,7,0
38,7830,7830,7830,7830,1,0
39,7831,7840,7830,7830,29,0
40,7831,7831,7831,7831,3,0
41,7831.1,7831.1,7831.05,7831.05,3,0
42,7840,7840,7831,7831,8,0
43,7831,7831,7831,7831,2,0
46,7831,7831,7831,7831,2,0
47,7831,7838.2,7831,7838.2,5,0
48,7831,7831,7831,7831,2,0
49,7831.05,7840,7831.05,7840,20,0
50,7831.05,7831.05,7831.05,7831.05,1,0
51,7839.5,7839.5,7832.05,7833,13,0
52,7831,7831,7831,7831,1,0
53,7831,7831,7831,7831,4,0
65,7832.15,7832.15,7832.15,7832.15,1,0
67,7831,7831,7831,7831,10,0
68,7837.95,7837.95,7831,7831,6,0
69,7837.95,7837.95,7837.95,7837.95,1,0
71,7831,7831,7831,7831,10,0
72,7819,7825,7819,7825,56,0
73,7815,7815,7815,7815,5,0
74,7802,7811,7802,7811,11,0
75,7801.05,7810,7801.05,7810,78,0
77,7762.75,7800,7762.75,7800,105,0
78,7780,7790,7761,7761,6,0
79,7769.95,7770.05,7769.95,7770.05,8,0
80,7768,7768,7768,7768,6,0
81,7780,7780,7763,7768,46,0
82,7840.15,7844,7840.15,7840.15,102,0
83,7817,7825.2,7817,7825.2,2,0
84,7789.45,7817.05,7789.45,7817.05,6,0
