EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1531971900,517,517,517,517,2371,0
1,518.85,519.1,516.25,516.25,13192,0
2,519.4,519.6,517.6,517.6,11187,0
3,518.7,519.9,518.7,519.5,6967,0
4,519.35,519.35,517.2,518.7,8383,0
5,519.35,519.9,519.2,519.35,8340,0
6,517.65,519.1,517.65,519.05,3515,0
7,516.75,517.65,516.35,517.55,7677,0
8,517.25,518,516.9,517,1766,0
9,517.35,517.7,517.05,517.3,2565,0
10,518,518,516.85,517.35,3818,0
11,519.1,519.1,517.6,517.8,4365,0
12,519.45,519.5,519,519.25,6664,0
13,519.15,519.4,519,519.1,5043,0
14,517.65,519.35,517.55,519.35,7951,0
15,517.1,517.65,517,517.65,2479,0
16,515.1,517.3,515.05,517.15,6989,0
17,515.4,515.4,513.45,515.15,11995,0
18,515,515.4,514.5,515.35,4797,0
19,516.1,516.75,514.45,514.65,5454,0
20,515.55,516.1,515.4,515.4,4625,0
21,515.3,515.75,515.05,515.05,4692,0
22,514.65,515.35,514.65,515.05,2401,0
23,515.4,515.7,514.6,514.6,2026,0
24,515,515.8,514.75,515.5,2483,0
25,514.6,515,514.5,514.8,2742,0
26,513.65,514.6,513.65,514.6,10211,0
27,512.4,513.75,512.35,513.75,7429,0
28,513.7,513.85,512.35,512.4,6718,0
29,512.8,513.65,512.5,513.45,3569,0
30,511.75,512.85,511.75,512.85,6105,0
31,511.45,511.95,510.75,511.65,6629,0
32,511.2,511.7,511.05,511.6,4866,0
33,511.25,511.95,511.1,511.6,8771,0
34,511.25,511.8,510.3,511.25,10379,0
35,511.15,511.7,510.5,511.1,8813,0
36,511.65,511.85,511.15,511.75,5391,0
37,512.5,513.45,511.8,511.8,7197,0
38,513.7,514.05,512.5,512.5,4644,0
39,514.35,514.5,513.8,514.15,3861,0
40,514.5,515,514.5,514.5,11005,0
41,514.7,514.7,514.3,514.5,2369,0
42,514.45,514.65,514.35,514.6,991,0
43,515.8,515.95,514.45,514.45,5989,0
44,515.65,515.8,515.4,515.8,2406,0
45,515.2,515.8,515.15,515.5,1854,0
46,515.45,515.5,515.15,515.15,1398,0
47,515.25,515.45,515,515.4,3151,0
48,515.25,515.45,515,515.25,1868,0
49,515.2,515.4,515.2,515.4,592,0
50,515.55,515.55,515,515.35,1682,0
51,515.5,515.6,515.45,515.45,1871,0
52,517.35,517.35,515.5,515.7,10191,0
53,517.15,517.75,517.15,517.5,4663,0
54,518,518.1,517.15,517.15,7336,0
55,517.1,518.3,517.1,518.3,2387,0
56,520.65,520.95,517.2,517.2,50678,0
57,520.7,521.5,520.05,520.65,22885,0
58,522.5,522.55,520.4,520.4,13792,0
59,521.3,522.55,521.3,522.25,5460,0
60,520.9,521.55,520.9,521.3,4483,0
61,521.5,521.5,520.5,520.7,5276,0
62,521.55,521.9,521.5,521.55,3360,0
63,521.5,521.9,521.3,521.55,4696,0
64,521.35,522,521.25,521.5,3738,0
65,521.4,521.9,521.35,521.35,3316,0
66,520.35,521.5,520.35,521.4,4209,0
67,520.4,520.55,520,520.55,2178,0
68,519.15,520.45,519.15,520.45,3755,0
69,519.6,519.6,518.4,519.2,6152,0
70,521.15,521.35,519.7,519.7,12520,0
71,520.75,521.4,520.7,521.2,7819,0
72,519.9,520.85,519.85,520.85,1879,0
73,518.7,519.8,518.7,519.75,4115,0
74,519.5,519.65,518.65,518.75,5114,0
75,519.55,519.6,519.35,519.4,795,0
76,519.7,519.85,519.55,519.7,1162,0
77,520.05,520.25,519.75,519.75,2008,0
78,520.15,520.4,520,520.4,1365,0
79,520.9,520.9,520.15,520.15,3956,0
80,520.65,521.25,520.65,520.9,4389,0
81,520.6,520.8,520.5,520.65,1056,0
82,520.8,521,520.6,520.6,3839,0
83,520.55,521.2,520.4,521.2,1574,0
84,520.45,520.45,520.2,520.45,693,0
85,520,520.45,520,520.45,1955,0
86,519.7,519.9,519.55,519.8,2172,0
87,520.3,520.3,519.7,519.7,1169,0
88,520.45,520.5,520.3,520.3,1229,0
89,520.8,520.85,520.45,520.45,1702,0
90,521.95,522,520.7,520.7,6305,0
91,521.65,522,521.65,521.7,1269,0
92,521.15,521.85,521.15,521.85,1345,0
93,521,521.3,520.95,521.15,1500,0
94,521.1,521.35,520.85,520.85,518,0
95,520.2,520.85,520.2,520.8,968,0
96,520.5,520.55,520.2,520.2,988,0
97,519.15,520.5,519.15,520.5,7712,0
98,518.45,519.1,517.6,519.1,15501,0
99,518.25,518.3,517.75,518.2,3600,0
100,519.15,519.15,518.25,518.3,1535,0
101,519.45,519.55,519.3,519.4,2236,0
102,519.35,519.8,519.35,519.65,2429,0
103,519.25,519.5,519.15,519.45,2087,0
104,518.95,519.1,518.9,518.9,477,0
105,519.3,519.3,518.95,518.95,545,0
106,519.3,519.7,519.3,519.4,1022,0
