EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,114.1,116,114.1,116,5698,0
1,115.3,115.5,113.65,113.65,6795,0
2,117.5,117.75,115.5,115.5,14719,0
3,117.2,118,116.65,117.5,8779,0
4,116.5,117,114.9,117,11475,0
5,116.25,117.2,116.25,116.75,2099,0
6,117.35,117.35,116.7,116.7,5141,0
7,116.25,117.3,116.25,116.85,5662,0
8,117.2,117.7,116.4,117,7279,0
9,117,117.6,116.8,117.3,2022,0
10,117.3,117.3,117.1,117.15,400,0
11,117.75,117.85,117.3,117.3,2049,0
12,119.15,119.5,117.5,117.7,8690,0
13,119,119.25,118.45,119.05,8264,0
14,119.6,119.7,118.95,118.95,5366,0
15,118.3,119.7,118.1,119.6,8966,0
16,118.45,118.45,118,118.2,4920,0
17,118.2,118.95,118,118.45,5253,0
18,118.95,118.95,118,118,10601,0
19,118.25,118.85,118.25,118.65,2536,0
20,118.45,118.75,118.35,118.55,1748,0
21,118.35,118.5,118.35,118.5,558,0
22,118,118.5,118,118.35,9325,0
23,118.45,118.5,118,118,3638,0
24,118.3,118.5,118,118.45,1748,0
25,118.3,118.4,118,118.4,5165,0
26,118.05,118.3,118,118.3,7407,0
27,117.85,118.2,117.8,118.2,3247,0
28,117.65,118,117.6,117.85,6262,0
29,118,118,117.65,117.65,1253,0
30,117.75,118.25,117.75,118.15,971,0
31,117.7,118,117.65,118,1147,0
32,117.75,117.95,117.7,117.7,2575,0
33,117.95,118.1,117.65,117.9,1561,0
34,118,118.2,117.95,118.15,758,0
35,117.1,118.1,117.1,118.1,4450,0
36,117,117.45,117,117.2,5066,0
37,117.15,117.3,117,117.3,887,0
38,117.45,117.45,117.15,117.15,871,0
39,117.5,117.5,117.2,117.25,485,0
40,117.15,117.5,117.15,117.5,751,0
41,117.75,117.75,117.5,117.5,199,0
42,117.7,117.7,117.5,117.5,70,0
43,117.5,117.7,117.5,117.7,760,0
44,117.55,117.7,117.35,117.65,593,0
45,117.3,117.6,117.15,117.55,456,0
46,117,117.3,117,117.3,3631,0
47,117.25,117.25,117,117,728,0
48,116.1,117,116.05,117,7582,0
49,116.45,116.8,116.15,116.55,1851,0
50,116.3,116.7,116.15,116.4,499,0
51,116.15,116.5,116.1,116.5,908,0
52,116.4,116.4,116.2,116.2,946,0
53,116.4,116.4,116.1,116.4,2391,0
54,116.15,116.55,116.1,116.4,1693,0
55,116.5,116.5,116.1,116.25,1926,0
56,116.65,116.8,116.45,116.5,1103,0
57,116.35,116.6,116.35,116.4,910,0
58,116.6,116.7,116.45,116.65,781,0
59,116.6,116.6,116.5,116.5,705,0
60,116.45,116.5,116.45,116.5,500,0
61,116.25,116.25,116.25,116.25,804,0
62,116.55,116.55,116.35,116.35,480,0
63,116.5,116.6,116.25,116.25,812,0
64,116.4,116.6,116.25,116.5,485,0
65,116.25,116.45,116.25,116.4,1592,0
66,116.1,116.3,116.1,116.2,1152,0
67,116.25,116.25,116.1,116.1,1072,0
68,116.15,116.25,116.15,116.25,1456,0
69,115.65,116.15,115,116.1,9116,0
70,114.3,115.65,114.2,115.65,6164,0
71,115.15,115.15,114.3,114.3,1375,0
72,115.05,115.3,114.9,115.2,746,0
73,115.25,115.45,115,115.05,681,0
74,115.35,115.7,115.3,115.3,1182,0
75,115.1,115.75,115.1,115.65,2818,0
76,115,115.4,114.6,115.3,7292,0
77,114.9,114.95,114.7,114.95,1561,0
78,115.05,115.4,114.95,115,4360,0
79,115.45,115.5,115,115.5,1823,0
80,115,115.5,115,115.45,3211,0
81,115.15,115.15,115,115,90,0
82,115.95,115.95,115.05,115.35,2017,0
83,115.5,115.8,115.45,115.45,1225,0
84,116,116,115.5,115.65,4175,0
