EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1533008760,366.7,367,364.25,364.25,14802,0
1,366.8,366.85,365.65,366.35,13645,0
2,365.85,367,365.7,366.4,19575,0
3,365.6,365.95,365.4,365.95,10148,0
4,365.5,366,365,366,11584,0
5,364.4,365.7,364.35,365.25,8676,0
6,365.75,365.75,364.7,364.75,3289,0
7,365.5,366.4,365.2,365.75,8673,0
8,365.85,365.9,365.25,365.25,2413,0
9,365.2,366.45,365.05,365.75,10093,0
10,364.9,365.5,364.9,365.5,3385,0
11,364.8,365.1,364.7,365.1,1357,0
12,365.2,365.35,364.95,365,2510,0
13,364.85,365.7,364.85,365.7,1839,0
14,365.15,365.45,364.8,364.8,3805,0
15,364.95,365.2,364.7,365.15,2705,0
16,364.85,364.95,364.65,364.7,1375,0
17,364.4,364.85,364.4,364.5,1829,0
18,364.15,364.45,364,364.45,2758,0
19,364.55,364.8,364.15,364.3,4414,0
20,364.5,364.8,364.4,364.5,3868,0
21,364.7,364.7,364.5,364.7,2029,0
22,364.45,364.7,364.25,364.6,1861,0
23,364.25,364.3,364.05,364.3,2548,0
24,364.05,364.7,364,364.25,3907,0
25,363.35,364.15,363.05,364,16963,0
26,362.9,363.3,362.6,363.3,3434,0
27,362.7,362.9,362.4,362.9,7092,0
28,362.8,363,362.7,362.7,2754,0
29,362.9,362.95,362.7,362.75,3402,0
30,362.55,362.95,362.55,362.9,1208,0
31,361.6,362.65,361.6,362.5,4601,0
32,360.8,361.7,360.3,361.6,26262,0
33,361.55,361.95,360.5,361,5239,0
34,362,362,361.55,361.7,1479,0
35,362.1,362.5,361.8,362.3,4154,0
36,361.35,361.8,361.35,361.8,854,0
37,362.35,362.5,361.5,361.5,1283,0
38,362.8,363,362.2,362.2,1210,0
39,362.55,362.6,362.5,362.6,616,0
40,362.55,362.65,362.55,362.55,334,0
41,363.2,363.2,362.4,362.55,2893,0
42,362.7,363,362.7,362.95,734,0
43,363,363.25,362.7,362.8,2362,0
44,362.9,363.2,362.9,363.2,725,0
45,363.4,363.55,362.85,362.9,2710,0
46,363.2,363.25,363.1,363.1,969,0
47,363.4,363.5,363.35,363.35,391,0
48,363.25,363.35,363.2,363.35,221,0
49,363.1,363.25,363.1,363.25,472,0
50,363.05,363.2,363,363,442,0
51,362.2,363.15,362.15,363.15,2680,0
52,362.15,362.35,362.1,362.3,266,0
53,362.25,362.25,362.15,362.15,254,0
54,362.65,362.65,362.05,362.15,1316,0
55,362.15,362.3,362.15,362.2,347,0
56,362.15,362.2,362.05,362.05,446,0
57,362.1,362.15,362.1,362.1,358,0
58,361.65,362.15,361.6,362.15,4222,0
59,361.2,361.95,361.2,361.75,2652,0
60,361,361.1,360.95,361.05,1782,0
61,361.35,361.65,361.1,361.1,1382,0
62,361.45,361.45,361.3,361.35,1566,0
63,361.55,361.85,361.4,361.45,823,0
64,361.85,361.85,361.5,361.75,646,0
65,361.75,361.75,361.4,361.4,427,0
66,361.45,361.5,361.45,361.45,976,0
67,361.4,361.9,361.4,361.45,847,0
68,361.5,361.75,361.35,361.75,482,0
69,361.5,361.5,361.5,361.5,6,0
70,361.85,361.85,361.6,361.6,553,0
71,361.35,361.7,361.35,361.7,1239,0
72,361.4,361.5,361.35,361.5,560,0
73,361.45,361.45,361.35,361.4,243,0
74,361.5,361.5,361.25,361.45,4107,0
75,361.35,361.5,361.35,361.5,966,0
76,361.3,361.65,361.3,361.4,1441,0
77,361.4,361.45,361.2,361.45,1953,0
78,361.55,361.65,361.4,361.4,1088,0
79,361.45,361.45,361.35,361.45,212,0
80,361.5,361.5,361.4,361.4,284,0
81,361.4,361.5,361.35,361.5,436,0
82,361.4,361.45,361.4,361.4,175,0
83,361.45,361.45,361.3,361.4,810,0
84,361.2,361.5,361.1,361.45,230,0
85,361.25,361.35,361.25,361.35,257,0
86,361.3,361.3,361.15,361.3,413,0
87,361.5,361.55,361.3,361.3,799,0
88,362.35,363.15,361.2,361.45,26457,0
89,361.8,362.55,361.75,362.55,23284,0
90,361.9,361.9,361.75,361.75,1190,0
91,361.8,361.9,361.7,361.9,347,0
92,361.95,362.1,361.75,361.75,4496,0
93,361.95,362.1,361.9,361.95,4894,0
94,361.8,361.95,361.6,361.95,512,0
95,361.95,362,361.6,361.75,1942,0
96,361.6,361.95,361.6,361.95,366,0
97,361.7,362,361.4,361.55,5844,0
98,361.6,361.85,361.55,361.65,676,0
99,361.4,361.5,361.1,361.5,1980,0
100,361.25,361.4,361,361.3,1818,0
101,361.45,361.45,361.15,361.25,604,0
102,361.1,361.45,361.1,361.45,1652,0
103,361,361.1,361,361.1,2513,0
104,360.4,360.95,360.2,360.95,2860,0
105,361.1,361.5,360.4,360.4,5095,0
106,361.5,361.5,360.95,361.05,13733,0
107,361.3,361.95,361,361.5,19222,0
108,361.5,361.9,361,361.35,37370,0
