EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,25.6,26,25.5,25.6,7663,0
1,25.6,25.65,25.6,25.65,1363,0
2,25.75,25.75,25.65,25.65,1440,0
3,25.7,25.7,25.6,25.65,3204,0
4,25.7,25.7,25.65,25.7,1542,0
5,25.7,25.75,25.65,25.7,3401,0
6,25.6,25.7,25.6,25.7,2820,0
7,25.7,25.7,25.7,25.7,2415,0
8,25.75,25.75,25.75,25.75,1899,0
9,25.75,25.75,25.7,25.75,1105,0
10,25.75,25.75,25.75,25.75,9097,0
11,25.75,25.75,25.75,25.75,4666,0
12,25.7,25.7,25.65,25.7,16844,0
13,25.65,25.65,25.65,25.65,100,0
14,25.7,25.7,25.7,25.7,995,0
15,25.7,25.7,25.7,25.7,100,0
16,25.75,25.75,25.75,25.75,594,0
17,25.75,25.75,25.75,25.75,770,0
18,25.75,25.75,25.75,25.75,715,0
19,25.7,25.7,25.7,25.7,50,0
20,25.75,25.75,25.7,25.7,791,0
21,25.75,25.75,25.75,25.75,240,0
22,25.7,25.75,25.7,25.7,2730,0
23,25.7,25.7,25.65,25.7,5692,0
24,25.7,25.7,25.65,25.65,1885,0
25,25.65,25.7,25.65,25.65,927,0
26,25.7,25.7,25.65,25.65,2830,0
27,25.65,25.65,25.65,25.65,159,0
28,25.7,25.7,25.7,25.7,77,0
29,25.75,25.75,25.7,25.7,2759,0
30,25.7,25.7,25.7,25.7,600,0
31,25.7,25.75,25.7,25.75,9098,0
32,25.8,25.8,25.75,25.75,280,0
33,25.7,25.7,25.7,25.7,200,0
34,25.8,25.8,25.7,25.8,4016,0
36,25.75,25.8,25.75,25.8,344,0
37,25.75,25.8,25.75,25.75,1762,0
38,25.75,25.75,25.75,25.75,1912,0
39,25.75,25.75,25.7,25.75,2231,0
40,25.75,25.75,25.7,25.7,2282,0
41,25.7,25.8,25.7,25.8,1094,0
42,25.7,25.7,25.7,25.7,294,0
43,25.65,25.7,25.65,25.7,3309,0
44,25.7,25.7,25.65,25.65,4071,0
45,25.65,25.65,25.65,25.65,392,0
46,25.65,25.7,25.65,25.7,2319,0
47,25.65,25.65,25.65,25.65,294,0
48,25.65,25.7,25.65,25.65,742,0
49,25.65,25.7,25.65,25.65,590,0
50,25.65,25.65,25.65,25.65,594,0
51,25.7,25.75,25.65,25.65,3015,0
52,25.7,25.7,25.7,25.7,492,0
53,25.7,25.75,25.7,25.7,399,0
54,25.75,25.75,25.7,25.7,560,0
55,25.7,25.75,25.65,25.7,1624,0
56,25.7,25.7,25.7,25.7,205,0
57,25.7,25.7,25.65,25.65,850,0
58,25.65,25.7,25.65,25.7,252,0
59,25.65,25.7,25.65,25.65,1429,0
60,25.7,25.7,25.7,25.7,825,0
61,25.65,25.7,25.65,25.7,313,0
62,25.7,25.7,25.7,25.7,1000,0
63,25.7,25.7,25.7,25.7,2038,0
64,25.75,25.75,25.75,25.75,100,0
65,25.7,25.7,25.7,25.7,1,0
66,25.65,25.75,25.65,25.75,2200,0
67,25.65,25.65,25.65,25.65,2540,0
69,25.65,25.65,25.65,25.65,1000,0
70,25.65,25.7,25.65,25.7,3000,0
71,25.65,25.65,25.65,25.65,200,0
73,25.7,25.7,25.65,25.65,1100,0
74,25.65,25.65,25.65,25.65,553,0
75,25.65,25.65,25.65,25.65,22,0
76,25.7,25.7,25.7,25.7,1000,0
77,25.7,25.7,25.7,25.7,200,0
78,25.7,25.7,25.7,25.7,77,0
79,25.7,25.7,25.7,25.7,1,0
80,25.65,25.65,25.65,25.65,250,0
81,25.7,25.75,25.65,25.65,4092,0
82,25.65,25.65,25.65,25.65,832,0
83,25.7,25.75,25.7,25.75,1943,0
84,25.75,25.75,25.7,25.75,1405,0
