EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,9420.35,9430.55,9400,9430.55,3770,0
1,9424,9424,9402.55,9424,3326,0
2,9417.95,9428.95,9416.65,9424,2261,0
3,9428.3,9428.9,9417.95,9417.95,822,0
4,9416,9433,9410.2,9428.5,1705,0
5,9414.15,9424.9,9414.15,9416,744,0
6,9416.3,9416.3,9407.85,9411.55,1226,0
7,9422.05,9422.05,9413.35,9416.35,734,0
8,9423.9,9427.3,9421.95,9421.95,644,0
9,9427.9,9427.9,9420.7,9420.7,435,0
10,9422.7,9428,9415.15,9427.9,1377,0
11,9418.25,9425.95,9414.85,9422.7,741,0
12,9422.5,9423.85,9415.05,9418.6,724,0
13,9423.45,9425,9421.2,9422.5,451,0
14,9425.3,9425.35,9422,9425,677,0
15,9423.9,9425,9422.55,9425,573,0
16,9419.95,9424.7,9418.9,9424.7,560,0
17,9423.9,9424,9417,9419.9,552,0
18,9434.8,9438.4,9423.9,9423.9,2011,0
19,9430.1,9433,9426.15,9431.9,474,0
20,9423,9431,9423,9430,707,0
21,9423.5,9424.4,9423,9423,584,0
22,9415.2,9424.4,9415,9423.5,763,0
23,9400.3,9414.95,9400,9414.9,1770,0
24,9388.85,9400.85,9388.85,9400.2,1763,0
25,9389.45,9392.85,9382.55,9382.55,777,0
26,9379,9388.55,9379,9388.55,939,0
27,9377,9380.6,9372,9380.6,1266,0
28,9388.5,9390.25,9375,9377.5,645,0
29,9400,9400,9390,9390,1028,0
30,9405.1,9406,9395.1,9398.25,525,0
31,9407.1,9408,9401.7,9406,434,0
32,9413.3,9424.5,9407.1,9407.1,1419,0
33,9411.4,9418.9,9410,9412.55,988,0
34,9421.15,9425,9416.65,9416.65,937,0
35,9418.1,9426,9416.65,9421.15,563,0
36,9416.65,9422.95,9416.65,9417.95,685,0
37,9419.55,9421.65,9416.95,9416.95,268,0
38,9411.6,9420.75,9411.6,9418.55,596,0
39,9413,9414,9410,9411.6,216,0
40,9412,9413,9410.05,9413,243,0
41,9408.95,9412,9407,9410,854,0
42,9414.4,9415,9409,9409,341,0
43,9420.1,9421.9,9414.4,9414.4,552,0
44,9428.05,9430,9419.75,9421.2,756,0
45,9421.25,9430,9420,9430,842,0
46,9419,9421.25,9412.95,9421.25,1097,0
47,9415.25,9419,9412.95,9419,279,0
48,9412.3,9417.95,9410,9410,375,0
49,9417.7,9420,9415.8,9415.8,303,0
50,9423.35,9424.9,9418.3,9420,424,0
51,9418.8,9424.9,9417.7,9424.9,224,0
52,9421.1,9423.1,9416.45,9418.8,417,0
53,9425,9425,9420,9420,296,0
54,9430,9430,9424,9424,1487,0
55,9432.6,9438,9429.55,9430,1182,0
56,9428.85,9437.4,9427,9433.3,663,0
57,9428.85,9432.2,9427,9431.1,393,0
58,9433.75,9434,9428.1,9428.85,229,0
59,9433.85,9435.4,9428.6,9428.6,345,0
60,9428.05,9435,9428.05,9432.45,339,0
61,9429.15,9432.45,9427.95,9429.1,310,0
62,9434,9434,9427,9429.15,348,0
63,9435,9435,9430.4,9435,290,0
64,9425.9,9435,9425.35,9434.6,1578,0
65,9428.45,9429.95,9425.85,9425.9,393,0
66,9420,9425.8,9415.9,9425.8,290,0
67,9414,9420,9412,9420,860,0
68,9419.35,9421.4,9414.15,9414.15,363,0
69,9416.9,9417.8,9415,9416.25,287,0
70,9412.55,9420,9410,9416.9,591,0
71,9405,9412.6,9402,9410,1089,0
72,9412.9,9412.9,9405.35,9405.35,258,0
73,9419,9419,9412.9,9412.9,480,0
74,9419.55,9420,9418.65,9418.65,407,0
75,9420,9420,9418.5,9419.8,644,0
76,9422.15,9425,9420.3,9420.3,448,0
77,9424.95,9425,9422,9422,149,0
78,9424.9,9424.95,9419,9424.45,460,0
79,9422.8,9424.9,9420.65,9424.9,199,0
80,9423.85,9424,9417.55,9421.7,289,0
81,9421.05,9424,9417.75,9422.6,221,0
82,9423,9423,9421,9421,156,0
83,9420.9,9423.8,9420.9,9423,263,0
84,9429.95,9429.95,9423.05,9423.05,694,0
