EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,449.05,455.85,449.05,453.55,1575,0
1,453.55,455.5,453.55,455.5,121,0
2,457,457,453.8,453.8,2906,0
3,456.55,458.9,456.55,458.9,1324,0
4,456.85,457.1,456.5,456.5,328,0
5,456.25,457.8,456.25,456.85,1199,0
6,457,457,455.95,456.25,1500,0
7,456.9,456.9,456.9,456.9,50,0
8,456.5,457.1,456.5,457.1,1190,0
9,456.8,457,456.35,456.35,691,0
10,457.05,457.05,456.6,457,200,0
11,457.25,457.25,457,457,1770,0
12,457,457.25,456.5,457.25,1784,0
13,457.3,457.3,456.6,457,619,0
14,457.5,457.6,457.05,457.6,602,0
15,457,457.25,456.45,456.45,2819,0
16,456.75,457.5,456.75,457.5,246,0
17,457.5,458,457.5,458,2925,0
18,458.6,458.6,458,458,239,0
19,458.95,458.95,458.6,458.6,1125,0
20,457.5,458.95,457.5,458.95,4357,0
21,457.75,457.75,457,457,675,0
22,456.75,457.15,456.75,457.15,738,0
23,456.65,457,456.6,456.75,2038,0
24,455.95,456.3,455.45,455.45,92,0
25,456.25,456.85,456.25,456.85,150,0
26,456.15,456.15,456.15,456.15,50,0
27,456,456.5,455.8,456,485,0
28,455.7,456,455.4,456,1328,0
29,455.5,455.9,455.5,455.9,501,0
30,455.9,455.9,455.5,455.5,180,0
31,455.85,455.85,455.4,455.4,1774,0
32,455.8,455.8,455.2,455.2,361,0
33,455.8,455.8,455.8,455.8,50,0
35,456,456,456,456,105,0
36,455.3,455.8,455.05,455.8,1188,0
37,454.85,454.85,454.2,454.8,316,0
38,454.05,454.35,453.35,454.35,2258,0
39,453.65,454.05,453.5,454.05,40,0
40,454.15,454.15,453.7,453.7,30,0
41,454.15,454.15,454.15,454.15,20,0
42,454.2,454.2,454.15,454.15,60,0
43,454.5,454.55,454,454.55,340,0
44,455,455.2,455,455.2,62,0
45,455.35,455.35,455.35,455.35,5,0
47,455.6,455.6,455.6,455.6,500,0
48,456.55,456.55,455.9,455.9,150,0
49,458,458,456.9,456.9,84,0
50,457.6,458.35,457.5,458,550,0
51,457.75,458.05,457.75,458.05,589,0
52,458.8,458.8,458.2,458.2,589,0
53,459.15,459.6,458.8,458.8,798,0
54,459.3,459.6,459.3,459.4,93,0
56,458.2,459.6,458.1,459.4,1079,0
57,458.3,459,458.2,458.2,1355,0
58,458.95,459,458.5,458.5,725,0
59,458.95,458.95,458.95,458.95,10,0
60,459,459.05,458.65,459.05,490,0
61,459,459.25,458.55,458.65,1410,0
62,459.2,459.4,459,459.4,320,0
63,459.7,459.9,458.95,458.95,700,0
64,459.4,459.4,459.4,459.4,21,0
65,459.25,459.25,459.2,459.2,101,0
66,459.25,459.25,459.15,459.25,248,0
67,459.65,459.7,459.25,459.6,975,0
68,459.15,459.65,459.15,459.65,15,0
69,459.65,459.65,459.15,459.15,648,0
70,459,459.7,459,459.65,230,0
71,458.4,459.25,458.3,459.25,751,0
72,458.7,458.7,458.4,458.7,78,0
73,458.7,458.7,458.65,458.7,667,0
74,459,459,459,459,890,0
75,459,459,458.6,458.6,330,0
76,458.3,458.8,458.3,458.4,280,0
77,459,459,458.95,458.95,305,0
78,459,459,459,459,25,0
79,459.25,459.25,459,459,198,0
80,459.25,459.3,459.25,459.3,102,0
81,459.35,459.35,459.35,459.35,79,0
82,460.3,460.3,459.25,459.4,1896,0
83,459.95,460.3,459.8,460.3,167,0
84,459.25,459.9,459.25,459.85,959,0
