EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,820,822,820,820,132,0
1,821.7,821.7,820.15,820.2,235,0
2,820.25,822,820.25,821.7,153,0
3,822.35,822.35,820.5,820.9,281,0
4,823.8,823.85,822.55,823.85,835,0
5,822.85,823.95,822.8,822.8,494,0
6,823.05,823.3,822.85,822.85,537,0
7,823.05,823.05,823,823,675,0
8,825.2,826.15,824.15,824.15,683,0
9,826.55,826.55,825.65,825.65,300,0
10,825.75,825.95,825.3,825.95,184,0
11,826.35,826.35,825.3,825.55,319,0
12,825.15,826.1,824.4,826,247,0
13,824.15,825.4,824,825.4,930,0
14,826,826,824,824,377,0
15,826,826,824.6,825.3,270,0
16,826.55,827,824.95,824.95,544,0
17,828.85,828.85,825.95,826.1,2283,0
18,828.45,829,826.85,828.9,2075,0
19,826.45,827,825.7,827,953,0
20,826.45,827.6,826.05,826.4,685,0
21,826.8,826.8,826.3,826.6,99,0
22,827.3,827.3,826.8,826.8,180,0
23,827.9,828.25,827.9,828.25,230,0
24,828.3,828.4,827.05,828.4,276,0
25,827.35,828.05,827.25,828.05,70,0
26,828.95,828.95,827.35,827.35,635,0
27,828,828.6,828,828,197,0
28,827.75,828.6,827.4,827.4,165,0
29,827.85,827.95,827.85,827.95,131,0
30,827.4,827.4,827.4,827.4,50,0
31,826.5,826.9,826.5,826.9,72,0
32,826.55,827.6,826.45,826.55,628,0
33,826.45,828,826.45,827.45,516,0
34,831.5,831.5,826.95,826.95,3182,0
35,833.35,833.4,831.1,831.75,2831,0
36,831.25,833.7,830.9,833.35,7584,0
37,830.2,831.95,830,831.5,1729,0
38,831.9,831.9,829,830,1374,0
39,829,831.95,829,831.85,2967,0
40,828.45,830.45,828.35,829.5,771,0
41,828.95,829.45,828.1,828.45,611,0
42,830.55,830.7,828.15,828.15,1899,0
43,829.95,830,829,829,541,0
45,829.4,829.4,828.65,828.65,107,0
46,828.75,829,828,829,553,0
47,828.5,828.75,828.05,828.75,61,0
48,828.05,828.45,828.05,828.45,41,0
49,827.5,827.55,827.5,827.55,247,0
50,826.95,828,826.95,827.5,658,0
51,828.2,828.25,826.95,826.95,53,0
52,828.4,828.4,828.4,828.4,300,0
53,827.3,828.25,827.05,827.05,210,0
54,829.9,829.9,826.65,827.35,1730,0
55,829.1,829.6,828.5,829.3,605,0
56,826.6,829.1,826.6,829.1,413,0
57,825.15,826.55,824.05,826.55,1036,0
58,825.9,826,823.9,824.5,1449,0
59,825,826.65,825,825.9,728,0
60,825,825,823.1,825,1829,0
61,824.85,825.25,824.45,825.25,162,0
62,825.25,825.25,824.85,824.85,16,0
63,825.9,825.9,825.25,825.25,190,0
64,825.4,825.9,825.4,825.9,144,0
65,823.95,826,823.95,826,2303,0
66,824,824.85,824,824.85,263,0
67,824.75,824.75,823.9,824.25,1049,0
68,824.05,824.05,824.05,824.05,25,0
69,824,824.8,823.9,824.8,258,0
70,823.7,824.8,823.3,823.85,447,0
71,823.8,824,823.6,823.65,264,0
72,824.15,824.45,823.55,824.4,356,0
73,827,827.4,824.7,824.7,4776,0
74,826.65,827.35,826.6,826.6,712,0
75,827,827,826.25,826.8,2520,0
76,829.2,829.3,827,827,3608,0
77,830.5,830.6,829,829.2,2095,0
78,831.65,831.65,830.35,830.5,1242,0
79,831.1,832,830.85,831.35,3514,0
80,830.8,831.3,830.65,831.3,195,0
81,830.55,831.85,830.5,831.05,1054,0
82,830.3,831.25,830.3,831.25,757,0
83,829.75,830.35,829.65,830,139,0
84,829,830.5,829,830.5,787,0
