EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,147.4,147.4,147.4,147.4,50,0
1,147.1,147.55,147.1,147.55,324,0
2,147.15,147.15,147.15,147.15,50,0
3,147.9,147.9,147.6,147.6,131,0
4,147.05,147.85,147.05,147.85,290,0
5,147.15,147.15,147.15,147.15,8,0
6,147.15,147.5,147.15,147.15,191,0
7,147.35,147.4,147,147.4,999,0
8,146.85,147.05,146.85,147.05,335,0
10,146.85,146.85,146.5,146.8,301,0
11,146.85,146.85,146.85,146.85,35,0
12,146.95,146.95,146.5,146.5,697,0
13,147,147,146.95,146.95,386,0
14,147,147.1,147,147.1,1164,0
15,146.5,146.5,146.5,146.5,1,0
19,146.5,146.5,146.5,146.5,107,0
20,146.25,146.7,146.25,146.7,200,0
22,146.5,146.5,146.5,146.5,8,0
23,146.5,146.5,146.5,146.5,179,0
26,146.5,146.55,146.5,146.55,80,0
29,146.95,146.95,146.95,146.95,140,0
30,146.55,146.55,146.55,146.55,100,0
31,146.45,146.45,146.45,146.45,100,0
32,146.9,146.9,146.9,146.9,10,0
33,146.85,146.85,146.85,146.85,100,0
34,146.85,146.85,146.85,146.85,34,0
36,146.85,146.85,146.85,146.85,15,0
37,146.5,146.5,146.5,146.5,100,0
38,146.7,146.7,146.7,146.7,50,0
39,146.5,146.5,146.5,146.5,350,0
40,146.45,146.45,146.25,146.25,538,0
41,146.45,146.45,146.45,146.45,96,0
42,146.45,146.45,146.45,146.45,25,0
43,146.5,146.5,146.5,146.5,100,0
44,146.65,146.65,146.55,146.55,632,0
45,146.65,146.65,146.3,146.65,330,0
46,146.75,146.75,146.65,146.65,1350,0
47,146.9,146.9,146.9,146.9,16,0
48,146.85,146.85,146.75,146.75,260,0
49,147,147,147,147,3797,0
50,147.15,147.15,147.15,147.15,12,0
51,147.15,147.15,147.15,147.15,100,0
52,147.15,147.15,147.15,147.15,124,0
53,147,147,147,147,50,0
55,147,147,147,147,621,0
56,147.2,147.2,147,147,1025,0
57,147.2,147.2,147.2,147.2,25,0
58,147.1,147.1,147.1,147.1,25,0
59,147.1,147.2,147.1,147.2,296,0
60,146.75,147.1,146.75,147.1,995,0
61,146.75,146.75,146.75,146.75,58,0
62,147,147,146.8,146.8,1882,0
63,147,147.2,147,147,782,0
64,147,147.2,147,147.2,108,0
65,147,147,147,147,85,0
66,147.35,147.35,147.35,147.35,100,0
67,147.3,147.3,147,147,77,0
68,147.3,147.3,147.3,147.3,14,0
69,147.3,147.3,147.3,147.3,50,0
71,147,147,147,147,100,0
72,147,147,147,147,211,0
76,147.35,147.35,147.35,147.35,655,0
77,147.35,147.35,147,147,225,0
78,147,147,147,147,50,0
79,147.4,147.4,147.35,147.35,35,0
80,147.4,147.4,147.4,147.4,51,0
84,147,147,147,147,5,0
