EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,31.1,31.1,31,31.05,3630,0
1,30.95,31.15,30.95,31.15,8840,0
2,30.95,31,30.85,31,7477,0
3,31,31,30.95,30.95,3000,0
4,31.05,31.2,31,31.05,8001,0
5,31.1,31.1,31.05,31.05,1950,0
6,31.15,31.15,31.05,31.1,9979,0
7,31.15,31.2,31.15,31.15,4224,0
8,31.2,31.2,31.2,31.2,1058,0
9,31.3,31.3,31.2,31.2,2864,0
10,31.3,31.3,31.25,31.25,4960,0
11,31.35,31.35,31.25,31.3,3651,0
12,31.25,31.35,31.25,31.35,11938,0
13,31.25,31.3,31.25,31.25,360,0
14,31.4,31.4,31.25,31.3,6980,0
15,31.4,31.45,31.3,31.4,3326,0
16,31.25,31.4,31.25,31.4,8918,0
17,31.3,31.35,31.3,31.35,1602,0
18,31.25,31.3,31.25,31.3,800,0
19,31.2,31.25,31.2,31.25,3455,0
20,31.15,31.2,31.15,31.15,4030,0
21,31.2,31.2,31.1,31.1,3630,0
22,31.2,31.25,31.2,31.25,1688,0
23,31.15,31.25,31.15,31.2,4362,0
24,31.25,31.25,31.15,31.15,707,0
25,31.25,31.25,31.15,31.15,1006,0
26,31.25,31.3,31.25,31.25,5591,0
27,31.2,31.25,31.2,31.25,626,0
28,31.25,31.25,31.2,31.25,1541,0
29,31.2,31.2,31.2,31.2,1586,0
30,31.25,31.25,31.2,31.2,2533,0
31,31.25,31.35,31.25,31.25,3787,0
32,31.25,31.25,31.25,31.25,200,0
33,31.25,31.3,31.25,31.3,1053,0
34,31.25,31.3,31.25,31.25,369,0
35,31.3,31.3,31.25,31.25,745,0
36,31.25,31.3,31.25,31.3,1000,0
37,31.2,31.25,31.2,31.25,2398,0
38,31.15,31.2,31.1,31.2,14075,0
39,31.15,31.2,31.1,31.15,1586,0
40,31.15,31.15,31.1,31.1,1059,0
41,31.1,31.2,31.1,31.2,812,0
42,31.2,31.2,31.1,31.1,1672,0
43,31.15,31.15,31.15,31.15,845,0
44,31.15,31.2,31.15,31.15,1157,0
45,31.1,31.2,31.1,31.15,1817,0
46,31.1,31.15,31.1,31.1,2845,0
47,31.1,31.1,31.1,31.1,3759,0
48,31.1,31.15,31.1,31.15,2056,0
49,31.1,31.1,31.1,31.1,836,0
50,31.1,31.15,31.1,31.15,1042,0
51,31.1,31.15,31.1,31.1,444,0
52,31.05,31.15,31.05,31.1,3970,0
53,31.05,31.1,31.05,31.1,668,0
54,31.05,31.05,31.05,31.05,2250,0
55,31.05,31.05,31.05,31.05,531,0
56,31,31.05,31,31.05,2213,0
57,31.05,31.05,31,31,2458,0
58,31.05,31.05,31,31,510,0
59,30.9,31,30.9,31,4896,0
60,30.9,30.95,30.9,30.9,8543,0
61,30.9,30.9,30.85,30.85,3599,0
62,30.9,30.95,30.9,30.9,1725,0
63,30.85,30.9,30.85,30.9,2086,0
64,30.9,30.9,30.9,30.9,188,0
65,30.9,30.9,30.85,30.9,615,0
66,30.9,30.9,30.9,30.9,50,0
67,30.85,30.9,30.85,30.9,700,0
68,30.9,30.9,30.9,30.9,3,0
70,30.85,30.9,30.85,30.9,2035,0
71,30.8,30.85,30.7,30.85,31837,0
72,30.9,30.95,30.8,30.8,9841,0
73,30.85,30.9,30.8,30.9,11939,0
74,30.8,30.85,30.8,30.85,438,0
75,30.75,30.8,30.75,30.8,2827,0
76,30.75,30.75,30.7,30.75,1397,0
77,30.75,30.75,30.75,30.75,607,0
78,30.75,30.8,30.75,30.75,4097,0
79,30.8,30.85,30.7,30.8,5638,0
80,30.8,30.8,30.8,30.8,2200,0
81,30.8,30.8,30.8,30.8,200,0
82,30.8,30.8,30.75,30.8,3621,0
83,30.75,30.75,30.75,30.75,915,0
84,30.75,30.75,30.75,30.75,443,0
