EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,166,166,166,166,175,0
1,166,166,165.6,165.9,170,0
2,165.25,166,165.15,166,1456,0
3,165.2,165.8,165.2,165.2,286,0
4,165.75,165.75,165.5,165.5,652,0
5,165.7,165.75,165.4,165.75,190,0
6,165.7,165.7,165.7,165.7,75,0
9,165.75,165.75,165.75,165.75,71,0
10,165.75,165.75,165.75,165.75,200,0
11,165.45,165.75,165.45,165.75,189,0
12,165.5,165.5,165.35,165.35,160,0
13,165.35,165.45,165.35,165.45,133,0
14,165.15,165.35,165.15,165.35,21,0
15,165.2,165.35,165.05,165.2,535,0
16,165.3,165.3,165.2,165.2,409,0
18,165.15,165.35,165.15,165.35,161,0
20,164.95,165,164.95,164.95,733,0
21,165,165,165,165,645,0
22,165.15,165.15,165.1,165.1,215,0
23,165.35,165.35,165,165.35,260,0
24,165.75,165.75,165.5,165.5,711,0
25,165.8,165.8,165.75,165.75,175,0
27,165.9,165.9,165.55,165.55,442,0
28,165.9,165.9,165.9,165.9,10,0
29,165.9,166,165.9,166,60,0
30,166.05,166.05,166.05,166.05,42,0
31,166,166,166,166,151,0
32,166,166,166,166,30,0
33,166.3,166.3,166.1,166.1,196,0
34,165.8,166,165.8,165.9,218,0
35,166,166,166,166,25,0
36,165.85,165.95,165.85,165.95,34,0
37,165.8,165.9,165.8,165.8,139,0
38,165.8,165.8,165.8,165.8,126,0
39,165.8,165.95,165.8,165.8,75,0
40,165.8,166.1,165.8,165.8,178,0
41,165.65,165.8,165.6,165.8,393,0
42,165.6,165.6,165.6,165.6,48,0
43,165.5,165.6,165.5,165.6,64,0
44,165.15,165.7,165.1,165.7,89,0
45,165.4,165.4,165.15,165.15,153,0
46,165.3,165.4,165.1,165.4,624,0
47,165.85,166.2,165.75,166.15,788,0
48,165.55,165.6,165.3,165.6,110,0
49,165.5,165.55,165.5,165.55,48,0
50,165.25,165.5,165.25,165.5,64,0
51,165.15,165.25,165.15,165.25,100,0
52,165.15,165.6,165.15,165.15,64,0
53,165.75,165.75,165.15,165.15,173,0
54,165.15,165.55,165.15,165.15,180,0
55,165.35,166,165.35,166,1044,0
56,165.9,165.9,165.9,165.9,1,0
57,165.95,165.95,165.9,165.9,105,0
58,165.9,165.95,165.9,165.95,20,0
60,165.9,165.9,165.9,165.9,200,0
62,165.75,165.75,165.75,165.75,20,0
63,165.75,165.75,165.75,165.75,10,0
65,165.55,165.6,165.45,165.45,220,0
66,165.3,165.55,165.3,165.45,520,0
67,165,165.1,165,165.05,2033,0
68,165.1,165.1,165.1,165.1,100,0
69,165.35,165.35,165.35,165.35,139,0
70,165.35,165.5,165.35,165.5,183,0
71,166.3,166.3,165.35,165.35,3008,0
72,169.9,169.9,167,167,3571,0
73,168,169.25,168,169,599,0
74,168.25,168.45,168,168.1,338,0
75,168.6,168.6,168.2,168.3,2048,0
76,168,168.3,168,168.3,327,0
77,168.15,168.15,168.05,168.05,434,0
78,167.85,168.15,167.85,168.15,326,0
79,167.45,167.45,167.05,167.35,1739,0
80,166.9,167.45,166.9,167.45,1317,0
81,166.5,166.9,166.25,166.25,171,0
82,166.5,166.5,166.35,166.5,379,0
83,167,167,166.9,166.9,1013,0
84,166.95,167,166.95,167,644,0
