EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,1163.8,1164.95,1158,1158,2258,0
1,1165.25,1165.25,1162.3,1163.8,1641,0
2,1161,1166.9,1160.9,1165.25,1920,0
3,1155,1160.55,1155,1160.05,2175,0
4,1156.25,1158.55,1154.5,1154.95,1136,0
5,1154.7,1156,1152,1156,2879,0
6,1152.15,1154.7,1150,1154.7,794,0
7,1158.45,1159.35,1151.5,1152.85,2180,0
8,1152.9,1158.55,1152.9,1158.55,560,0
9,1159.1,1159.15,1153.25,1153.25,1038,0
10,1154.3,1159.2,1154.3,1159.1,539,0
11,1156.3,1156.6,1152.15,1153.45,440,0
12,1154.65,1156.95,1154.5,1156.95,438,0
13,1152.6,1154.6,1152.6,1153.9,174,0
14,1152.95,1154.3,1152.95,1153.25,501,0
15,1151.5,1152.2,1151.5,1152.2,471,0
16,1152,1152,1150.35,1150.35,271,0
17,1155.2,1156.6,1153,1153,812,0
18,1156.9,1156.9,1156.5,1156.5,49,0
19,1153.8,1157,1153.8,1157,452,0
20,1153.1,1154.3,1153.1,1153.75,115,0
21,1153.85,1154.35,1152.9,1153.95,137,0
22,1154.85,1156.95,1152.1,1152.35,984,0
23,1152.4,1155.25,1152.4,1155.15,1864,0
24,1152.2,1153.55,1152,1153.55,77,0
25,1152.3,1152.35,1152,1152.35,867,0
26,1152.75,1155.95,1152.35,1152.35,660,0
27,1153.4,1154.7,1153.05,1154.3,69,0
28,1157.25,1157.25,1154.6,1154.6,515,0
29,1158.35,1158.35,1157.2,1157.25,146,0
30,1156.3,1159.5,1155.6,1158.35,846,0
31,1162,1162,1155.35,1155.75,2109,0
32,1162.15,1164.9,1160,1161.3,1760,0
33,1160.25,1161.5,1160,1161.5,470,0
34,1159,1160.3,1159,1160.25,179,0
35,1161.35,1161.4,1158,1159.7,1192,0
36,1159.65,1161.35,1159.6,1161.35,249,0
37,1161,1162,1157.15,1159.65,475,0
38,1160,1160.95,1159.05,1160.95,294,0
39,1159.9,1160,1159.25,1159.95,93,0
40,1156.8,1159.85,1156.65,1159.85,377,0
41,1154.6,1156.8,1154.6,1156.8,306,0
42,1153.05,1154.6,1153.05,1154.6,201,0
43,1158.7,1162.65,1152.85,1153,2694,0
44,1158.85,1162,1157.5,1159.75,420,0
45,1158,1159.95,1157.95,1158.85,220,0
46,1159.65,1160.85,1155,1157.9,792,0
47,1157.25,1159,1156.45,1158.9,244,0
48,1157.1,1158.25,1156.65,1158.25,78,0
49,1155,1157.1,1155,1157.1,218,0
50,1158.1,1159,1155,1155,632,0
51,1156.75,1158.1,1155.6,1158.1,171,0
52,1155.7,1156.7,1155.7,1155.7,83,0
53,1154.75,1155.7,1154.75,1155.7,257,0
54,1154.55,1154.9,1154.55,1154.65,139,0
55,1153.15,1154.5,1153.15,1154.5,240,0
56,1152.8,1153.15,1152.8,1153.15,189,0
57,1152.6,1153.5,1152.55,1152.8,139,0
58,1153.5,1153.5,1152.5,1153.5,110,0
59,1155.75,1156.9,1152.5,1152.5,890,0
60,1155.85,1156.9,1155.7,1156.85,151,0
61,1154.8,1156.05,1154.8,1156,85,0
62,1154.4,1154.9,1154.4,1154.9,78,0
63,1154.5,1154.5,1153.5,1154.4,392,0
64,1157,1158.8,1154.8,1154.8,725,0
65,1154,1157.95,1154,1157.7,277,0
66,1157.8,1157.8,1153.5,1153.5,720,0
67,1155.2,1156.4,1155.1,1155.55,249,0
68,1155,1155,1153.05,1155,118,0
69,1155,1155,1155,1155,59,0
70,1157.25,1157.3,1155,1155,450,0
71,1155.95,1157.7,1155.2,1157.1,278,0
72,1155,1155.85,1155,1155.85,12,0
73,1154.45,1155,1154.45,1155,35,0
74,1155,1155,1154.45,1154.45,95,0
75,1157.3,1157.75,1154.45,1154.45,707,0
76,1155.4,1157.55,1155.4,1157.55,142,0
77,1156.9,1156.9,1155.5,1156.9,26,0
78,1156.95,1156.95,1156.9,1156.9,15,0
79,1156.85,1156.95,1155.9,1156.95,61,0
80,1155.25,1155.95,1155.25,1155.95,62,0
81,1154.45,1155.1,1154.45,1155.1,341,0
82,1154.35,1154.45,1154.2,1154.45,182,0
83,1154.35,1154.35,1153.5,1153.5,380,0
84,1154.35,1154.35,1153.5,1154.35,71,0
