EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1533008760,80226.05,80509.45,80169.1,80509.45,60,0
1,80299.95,80332.55,80231,80250,37,0
2,80200,80300,80054.8,80300,95,0
3,80419.2,80437.15,80249.95,80249.95,29,0
4,80324.15,80400,80323.05,80399.95,16,0
5,80281.05,80400,80255.65,80400,33,0
6,80350.65,80350.7,80281.05,80281.05,16,0
7,80281.1,80350.75,80281,80350.65,28,0
8,80123.9,80249.95,80099,80249.95,45,0
9,80027.05,80100,80000,80100,47,0
10,79921.95,80050.05,79921.95,80050.05,27,0
11,79939.55,79950,79818.9,79950,33,0
12,79950,79950,79864.1,79864.1,9,0
13,80000,80000,79999.15,79999.25,34,0
14,80063.55,80064.55,80000,80000,47,0
15,79939.55,80061.7,79939.55,80061.7,16,0
16,79800,79999.6,79800,79999.6,48,0
17,79751.05,79849.95,79751.05,79779,17,0
18,79942.9,79942.9,79751.15,79751.15,17,0
19,79935,79936.75,79900,79936.75,5,0
20,79933.25,79933.25,79834.8,79834.8,25,0
21,79898.95,79929.95,79831,79929.95,38,0
22,79918.6,79918.7,79899.3,79899.3,6,0
23,79920,79920,79917.2,79918,9,0
24,79927.95,79964.8,79920,79920,18,0
25,79990,79998.8,79950,79998.8,6,0
26,79989,79990,79989,79990,6,0
27,79985,79989,79985,79989,2,0
28,79811.55,79950,79811.55,79950,7,0
29,79850,79850,79826.15,79826.15,4,0
30,79750,79850,79725,79850,30,0
31,79790.45,79792.8,79719.45,79792.8,28,0
32,79720,79720,79719.5,79719.5,7,0
33,79719.95,79720,79719.95,79720,11,0
34,79802.15,79802.15,79750.4,79750.4,4,0
35,79834.85,79834.85,79750,79750,10,0
36,79799.85,79800,79750,79750,7,0
37,79797.65,79799.75,79750,79750,3,0
39,79771.25,79800,79750,79789.8,10,0
40,79835,79835,79835,79835,5,0
41,79877.45,79891.45,79785.05,79891.45,7,0
42,79873.25,79877.35,79873.25,79877.35,3,0
43,79872.25,79872.25,79792.05,79792.05,7,0
44,79876.7,79876.7,79869.45,79870.9,58,0
45,79870.45,79900,79870.4,79870.4,12,0
46,80247.5,80247.5,79939.05,79939.05,45,0
47,80285,80300,80200,80249.95,44,0
48,80275,80285,80273.5,80285,15,0
49,80260,80275,80200.15,80230,45,0
50,80233,80250,80233,80250,4,0
51,80000.75,80233,80000,80233,25,0
52,80010.35,80087.95,80000.75,80087.95,8,0
53,80125.15,80125.15,80125.15,80125.15,1,0
54,80018.55,80018.55,80018.55,80018.55,4,0
55,80099.1,80099.1,80086.75,80086.75,5,0
56,80017.35,80098.6,80017.05,80017.05,7,0
57,80093.45,80095.3,80017.4,80095.3,3,0
58,80000,80092.45,80000,80017.5,17,0
59,80089,80089.8,80089,80089.8,7,0
60,80080,80080,80080,80080,1,0
61,80080,80080,80045.55,80045.55,11,0
62,80006.45,80006.45,80006.05,80006.05,2,0
63,80011,80011,80011,80011,10,0
64,80000,80060,79900.1,80060,20,0
65,79900.1,79912.65,79900.1,79912.65,5,0
66,79890,79950,79890,79950,8,0
67,79719.95,79929.55,79719.95,79929.55,36,0
68,79811.05,79812.65,79720,79720,7,0
69,79800,79810,79800,79810,10,0
70,79845,79845,79800,79820,5,0
71,79799.95,79805,79799.95,79805,13,0
72,79775,79795,79730,79730,11,0
73,79775,79775,79775,79775,2,0
74,79850,79850,79780,79780,6,0
75,79800,79850,79800,79800,5,0
76,79850,79850,79802,79802,8,0
78,79850,79850,79850,79850,2,0
79,79809.55,79968.85,79809.55,79900,44,0
80,79817,79817,79810,79810,3,0
81,79751,79809.55,79730,79809.55,18,0
82,79747,79750,79747,79750,4,0
83,79710,79747,79700,79747,27,0
84,79710,79748.55,79690,79690,7,0
85,79700,79700,79679,79680,18,0
86,79700,79700,79679.45,79700,6,0
87,79724.1,79724.1,79724.1,79724.1,2,0
88,79670.3,79730,79654.05,79654.05,5,0
89,79891.5,79891.5,79749.9,79749.9,23,0
90,79949.75,79949.75,79949.75,79949.75,1,0
91,79864.5,79864.5,79864.5,79864.5,1,0
92,79805.05,79896.75,79805.05,79896.75,4,0
93,79825,79825,79825,79825,9,0
95,79883.6,79883.6,79883.6,79883.6,1,0
96,79882.2,79882.2,79882.2,79882.2,1,0
98,79826.1,79875.35,79826.1,79875.35,2,0
99,79908,79908,79908,79908,4,0
100,79826,79826,79826,79826,9,0
101,79889.95,79901,79850,79850,9,0
102,79886.7,79886.7,79800,79800,11,0
103,79868.3,79868.3,79868.3,79868.3,1,0
106,79757.6,79757.6,79757.6,79757.6,5,0
107,79839.95,79839.95,79839.95,79839.95,2,0
108,79757.6,79757.6,79757.6,79757.6,3,0
110,79750.45,79750.45,79750.45,79750.45,4,0
111,79750.85,79750.85,79750.4,79750.4,3,0
113,79750,79820,79750,79820,6,0
115,79755,79755,79755,79755,1,0
