EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,771,771,766.75,766.75,273,0
1,769.95,769.95,769.95,769.95,10,0
2,771.6,771.6,768.1,768.1,637,0
3,771.6,772.5,771.6,771.9,400,0
4,770,770,770,770,100,0
6,769.9,771,769.9,771,340,0
7,771.6,771.6,769.9,769.9,593,0
8,772.45,772.45,772.45,772.45,14,0
9,772.5,772.5,772.45,772.45,49,0
10,772.5,772.5,771.8,772,70,0
11,774.25,774.25,772.5,772.5,677,0
12,773.75,773.75,773.75,773.75,1,0
13,772.95,773.95,772.15,773.75,503,0
14,772.85,772.85,772.2,772.45,48,0
15,772.2,772.2,772.15,772.15,105,0
16,773.15,773.35,773,773,296,0
17,774.9,774.9,773.4,773.4,772,0
18,773.9,776,773.15,775,865,0
19,774.3,774.4,773,773,454,0
20,772.15,774.25,772.15,774.25,156,0
22,772.5,772.5,772.3,772.3,8,0
23,772.5,772.5,772.5,772.5,10,0
25,772.5,772.5,772.5,772.5,7,0
26,770.2,772.5,770.2,772.5,1191,0
27,772.05,772.05,770.2,770.2,159,0
29,772,772,772,772,4,0
31,770.5,771.55,770.5,771.55,70,0
32,769.1,770.5,769.1,770.35,148,0
33,769.1,770,769.1,769.15,122,0
36,769.15,769.15,769.15,769.15,7,0
37,768,769.15,768,769.15,802,0
38,768.25,768.45,768.25,768.25,198,0
39,768.7,768.75,768,768.25,234,0
40,768.8,768.8,768.25,768.75,81,0
41,768.25,768.25,768.25,768.25,35,0
42,768.3,769.2,768.25,768.25,46,0
43,768.75,768.75,768.25,768.3,584,0
44,768.6,769.95,768.6,769.95,96,0
45,769,769.25,769,769.2,97,0
46,768.7,769,768.6,768.6,15,0
47,768.5,768.7,768.5,768.7,71,0
48,768.3,768.4,768.3,768.4,25,0
49,768.25,768.25,768.25,768.25,23,0
50,768.5,768.5,768.25,768.25,33,0
51,768.25,768.5,768.25,768.5,52,0
52,768.25,769,768.25,768.25,175,0
53,768.25,768.25,768.25,768.25,23,0
54,768.8,768.8,768.3,768.3,50,0
55,768.25,768.9,768.25,768.9,48,0
56,768.25,768.25,768.25,768.25,1,0
57,768.25,768.25,768.25,768.25,57,0
59,767.55,768.25,767.55,768.25,4106,0
60,768.25,768.75,768.25,768.75,25,0
61,768.25,768.25,768.25,768.25,128,0
62,768.15,768.15,768.15,768.15,100,0
64,768.25,768.25,768.25,768.25,100,0
65,768.75,768.75,768.25,768.25,130,0
66,768.25,768.25,768.25,768.25,9,0
67,769,769,769,769,16,0
68,768.25,769,768.25,769,52,0
70,768.25,768.9,768.25,768.9,110,0
72,769,769,769,769,60,0
73,769,769,768.25,768.25,23,0
74,769,769,769,769,510,0
76,767.6,767.6,767.6,767.6,5,0
77,767.6,767.6,767.6,767.6,100,0
78,768.5,768.95,768.5,768.95,118,0
79,767.25,768.5,767.25,768.5,150,0
80,769,769,767.45,767.45,171,0
81,769,769,768.5,769,191,0
82,768.55,769,768.55,769,127,0
83,769,769,768.55,768.55,75,0
84,770,770,769.8,769.95,717,0
