EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,117.85,121,117,121,325,0
1,117.85,117.85,117.85,117.85,6,0
3,117.8,117.85,117.8,117.85,257,0
4,117.85,117.85,117.8,117.8,60,0
5,117,117,117,117,492,0
6,116.3,116.35,116.3,116.35,206,0
8,116.65,116.7,116.65,116.65,101,0
9,116.7,116.7,116.7,116.7,20,0
10,116.7,116.7,116.7,116.7,19,0
13,117,117,116.35,116.35,255,0
14,117.15,117.15,117.15,117.15,10,0
15,117,117,117,117,20,0
16,117,117,117,117,10,0
18,117.85,117.85,117.15,117.15,154,0
19,117.7,117.7,117.65,117.7,80,0
20,117.4,117.6,117.4,117.6,90,0
21,117.3,117.3,117.3,117.3,437,0
24,117.3,117.3,117.3,117.3,1,0
26,117.2,117.2,117.2,117.2,50,0
29,117,117,117,117,250,0
30,117.2,117.2,116.85,116.85,300,0
31,116.85,116.85,116.85,116.85,12,0
33,117,117,117,117,1,0
36,117.2,117.2,117.2,117.2,5,0
37,117,117,117,117,87,0
38,117,117,117,117,232,0
39,117.2,117.2,117.1,117.1,88,0
41,117.2,117.2,117.2,117.2,57,0
42,117,117.2,117,117.2,207,0
43,117.75,117.75,116.85,117,294,0
44,116.9,117.6,116.9,117.6,85,0
45,117,117,116.7,116.9,179,0
46,116.75,117,116.75,117,68,0
47,116.75,116.75,116.75,116.75,21,0
48,116.65,116.7,116.65,116.7,38,0
49,116.5,116.65,116.5,116.65,101,0
50,116.45,116.45,116.45,116.45,25,0
52,116.4,116.4,116.4,116.4,35,0
53,115.75,116.3,115.75,116.3,1051,0
54,115.9,116.05,115.85,115.85,100,0
55,116,116,115.55,116,121,0
56,116.1,116.1,116.1,116.1,25,0
59,116,116,116,116,25,0
60,116,116,116,116,10,0
61,115.8,115.8,115.8,115.8,20,0
63,116.25,116.25,116,116,70,0
64,116,116,116,116,1,0
65,116.85,116.85,116.25,116.25,17,0
67,116.35,116.35,116.35,116.35,1,0
73,116.3,116.3,116.3,116.3,8,0
74,116.35,116.35,116.35,116.35,4,0
76,116.65,116.65,116.65,116.65,1,0
77,116.7,116.7,116.7,116.7,225,0
79,116.65,116.65,116.65,116.65,1,0
83,116.6,116.6,116.6,116.6,25,0
