EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,80.25,80.5,79.85,80.5,80701,0
1,80.5,80.6,80.25,80.25,34446,0
2,80.75,80.85,80.5,80.6,82171,0
3,80.75,81,80.7,80.75,85979,0
4,80.85,81,80.65,80.9,41602,0
5,80.75,80.85,80.65,80.8,26509,0
6,80.65,80.85,80.65,80.8,27233,0
7,80.65,80.7,80.55,80.7,18883,0
8,80.7,80.75,80.65,80.7,11660,0
9,80.65,80.7,80.55,80.7,13271,0
10,80.5,80.6,80.45,80.6,32394,0
11,80.5,80.7,80.5,80.55,26688,0
12,80.3,80.5,80.3,80.5,10490,0
13,80.5,80.5,80.3,80.35,24251,0
14,80.6,80.6,80.4,80.4,9589,0
15,80.85,80.85,80.65,80.7,17836,0
16,80.75,80.9,80.7,80.9,15171,0
17,80.65,80.8,80.65,80.75,10247,0
18,80.95,80.95,80.75,80.75,29411,0
19,81.1,81.25,80.9,80.95,91945,0
20,81.35,81.35,81.05,81.15,58251,0
21,81.3,81.35,81.1,81.3,36240,0
22,81.15,81.3,81.15,81.3,9756,0
23,81.25,81.25,81.05,81.15,14357,0
24,81.3,81.3,81.2,81.25,26199,0
25,81.45,81.6,81.3,81.3,43832,0
26,81.3,81.5,81.3,81.4,36519,0
27,81.1,81.4,81,81.35,37219,0
28,81.2,81.4,81.1,81.15,28393,0
29,81.3,81.35,81.25,81.25,19493,0
30,81.35,81.35,81.3,81.35,17764,0
31,81.15,81.35,81.05,81.35,12302,0
32,81.15,81.3,81.1,81.1,43339,0
33,80.95,81.1,80.9,81.1,41801,0
34,81,81.15,81,81,22955,0
35,80.75,81.1,80.7,81.05,43465,0
36,80.75,80.8,80.75,80.75,7019,0
37,80.9,80.9,80.75,80.8,13681,0
38,80.8,80.85,80.75,80.85,14798,0
39,80.75,80.8,80.7,80.7,10509,0
40,80.65,80.75,80.65,80.75,14851,0
41,80.7,80.7,80.6,80.65,7770,0
42,80.65,80.7,80.65,80.65,12826,0
43,80.7,80.8,80.6,80.6,15619,0
44,80.75,80.75,80.7,80.75,4255,0
45,80.45,80.75,80.3,80.75,64280,0
46,80.25,80.4,80.25,80.4,55144,0
47,80.25,80.35,80.2,80.3,23101,0
48,80.45,80.45,80.15,80.25,35350,0
49,80.7,80.7,80.45,80.45,53961,0
50,80.6,80.7,80.6,80.65,13549,0
51,80.6,80.65,80.6,80.65,8824,0
52,80.65,80.7,80.55,80.65,5645,0
53,80.65,80.65,80.6,80.6,1164,0
54,80.65,80.65,80.6,80.65,6085,0
55,80.55,80.65,80.5,80.65,8394,0
56,80.4,80.55,80.3,80.55,16829,0
57,80.35,80.4,80.3,80.35,8472,0
58,80.3,80.4,80.25,80.4,22679,0
59,80.2,80.35,80,80.35,66389,0
60,80.95,80.95,80.05,80.3,246509,0
61,80.65,80.9,80.15,80.9,394302,0
62,80.05,80.7,80,80.65,147753,0
63,80.1,80.2,79.75,80.05,53894,0
64,80.05,80.15,80,80.15,20934,0
65,80,80.1,79.95,80.1,23678,0
66,79.75,80.05,79.7,80,23993,0
67,79.7,79.75,79.65,79.75,41903,0
68,79.6,79.7,79.4,79.7,86998,0
69,79.5,79.65,79.5,79.6,49637,0
70,79.45,79.5,79.3,79.5,51030,0
71,79.75,79.75,79.45,79.45,38734,0
72,79.7,79.75,79.65,79.75,12030,0
73,79.95,79.95,79.65,79.75,20204,0
74,79.8,79.95,79.75,79.95,15066,0
75,79.8,79.8,79.75,79.8,27769,0
76,79.65,79.75,79.65,79.75,9742,0
77,79.6,79.7,79.55,79.65,52131,0
78,79.55,79.65,79.4,79.6,87191,0
79,79.5,79.55,79.45,79.45,11703,0
80,79.5,79.5,79.45,79.45,14321,0
81,79.55,79.65,79.45,79.5,12817,0
82,79.6,79.65,79.55,79.55,5626,0
83,79.55,79.6,79.55,79.6,2964,0
84,79.55,79.7,79.55,79.6,7846,0
