EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,495,495,491,491,90,0
1,487.65,487.65,487.25,487.25,13,0
2,491,491,491,491,13,0
5,488.25,489.1,488.05,489.1,108,0
6,493.15,493.15,493.15,493.15,50,0
9,490.55,490.55,490.55,490.55,10,0
14,490,490,490,490,71,0
19,490,490,490,490,1,0
25,491.35,491.35,491.35,491.35,100,0
26,491.95,491.95,491.95,491.95,5,0
27,492.55,492.55,492.55,492.55,20,0
28,489,489,489,489,99,0
29,489,489,489,489,1,0
34,489.1,490.15,489.1,490.15,98,0
39,490.95,490.95,490.95,490.95,22,0
41,490.9,490.9,490.9,490.9,200,0
43,491,491,491,491,12,0
45,492,492,492,492,250,0
47,491.1,492.3,491.1,491.95,225,0
48,493,493,493,493,5,0
50,493,493,493,493,40,0
53,494.3,494.35,493,493,102,0
54,492.5,492.5,492.5,492.5,4,0
55,491,491,491,491,1383,0
59,490.95,490.95,490.95,490.95,4,0
60,491.35,491.4,490.55,490.55,137,0
61,493.2,493.2,491.4,491.4,26,0
62,492.2,493.75,492.2,493.75,7,0
63,493.5,493.5,493.1,493.1,20,0
64,494.5,494.85,493.5,493.5,31,0
66,494.65,494.7,494.65,494.7,4,0
67,494.2,495,494.2,494.6,118,0
68,494.35,494.35,494.35,494.35,1,0
69,494.35,494.35,494.35,494.35,11,0
70,494.35,494.35,494.35,494.35,1,0
71,494,494,494,494,6,0
72,494,494.5,494,494.5,8,0
73,493,494,493,493.5,87,0
74,493.05,493.05,493.05,493.05,10,0
78,493,493,493,493,41,0
80,493,493,493,493,10,0
