EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,250.05,250.05,250.05,250.05,5,0
1,250,250,250,250,30,0
3,250,250,250,250,50,0
8,250,250,249.95,249.95,8,0
9,250.4,250.4,250.4,250.4,2,0
14,250.05,250.5,250,250.15,263,0
15,250.4,250.5,250,250.05,485,0
16,250.05,250.5,250,250,465,0
17,250.3,250.5,250,250.5,481,0
18,250.45,250.5,250,250,486,0
19,250.45,250.5,250.05,250.05,138,0
23,250,250,250,250,10,0
24,250,250,250,250,10,0
25,250.45,250.45,250,250,12,0
26,250.45,250.45,250,250,23,0
27,250.75,250.75,250.75,250.75,8,0
31,251,251,251,251,20,0
32,251,251,251,251,14,0
39,250.05,250.05,250.05,250.05,1,0
40,250,250,250,250,41,0
45,250.05,250.05,250.05,250.05,1,0
46,250,250.45,250,250.45,6,0
50,250,250,250,250,4,0
66,250,250,250,250,143,0
67,250,250,249.65,249.65,63,0
71,250,250,249.35,249.35,26,0
