EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532576760,24.6,24.65,24.55,24.6,10124,0
1,24.45,24.75,24.45,24.6,41223,0
2,24.55,24.6,24.4,24.45,90862,0
3,24.5,24.55,24.5,24.55,36426,0
4,24.45,24.55,24.4,24.5,41243,0
5,24.3,24.45,24.3,24.4,27340,0
6,24.3,24.35,24.3,24.35,1550,0
7,24.35,24.35,24.3,24.35,9955,0
8,24.3,24.35,24.3,24.35,2199,0
9,24.35,24.4,24.35,24.4,15330,0
10,24.35,24.4,24.35,24.35,5294,0
11,24.35,24.4,24.3,24.3,2208,0
12,24.35,24.4,24.35,24.35,5766,0
13,24.35,24.4,24.35,24.4,2565,0
14,24.35,24.35,24.35,24.35,129,0
15,24.4,24.4,24.4,24.4,800,0
16,24.4,24.4,24.35,24.4,2341,0
17,24.35,24.4,24.35,24.4,1002,0
18,24.4,24.4,24.35,24.35,1100,0
19,24.35,24.4,24.35,24.4,290,0
20,24.35,24.35,24.35,24.35,143,0
21,24.4,24.4,24.35,24.35,2117,0
22,24.35,24.35,24.3,24.3,31933,0
23,24.35,24.35,24.35,24.35,1001,0
24,24.35,24.35,24.3,24.35,8793,0
25,24.25,24.35,24.2,24.35,33559,0
26,24.3,24.3,24.25,24.25,2778,0
27,24.25,24.3,24.2,24.3,8057,0
28,24.25,24.25,24.2,24.2,962,0
29,24.25,24.25,24.2,24.25,36285,0
30,24.25,24.25,24.2,24.25,5862,0
31,24.25,24.25,24.25,24.25,16303,0
32,24.3,24.3,24.25,24.25,5563,0
33,24.3,24.3,24.25,24.3,2644,0
34,24.3,24.3,24.25,24.3,323,0
35,24.35,24.35,24.3,24.3,11377,0
36,24.3,24.35,24.3,24.3,3281,0
37,24.3,24.35,24.3,24.35,2632,0
38,24.35,24.35,24.3,24.35,309,0
39,24.35,24.35,24.3,24.35,2926,0
40,24.35,24.35,24.3,24.3,1676,0
41,24.35,24.35,24.35,24.35,1388,0
42,24.35,24.35,24.35,24.35,10,0
43,24.35,24.35,24.3,24.3,1874,0
45,24.3,24.35,24.25,24.35,1657,0
46,24.3,24.3,24.25,24.3,559,0
47,24.25,24.3,24.25,24.3,666,0
48,24.3,24.3,24.25,24.3,2793,0
49,24.3,24.3,24.25,24.25,7516,0
50,24.35,24.35,24.25,24.25,1454,0
51,24.3,24.35,24.3,24.35,533,0
52,24.3,24.3,24.25,24.3,693,0
53,24.3,24.3,24.25,24.25,166,0
54,24.3,24.35,24.3,24.3,4207,0
55,24.25,24.3,24.25,24.3,2090,0
56,24.3,24.3,24.25,24.3,1852,0
57,24.3,24.3,24.25,24.25,1262,0
58,24.3,24.3,24.25,24.3,761,0
59,24.3,24.3,24.25,24.25,4373,0
60,24.3,24.3,24.25,24.25,21401,0
61,24.3,24.3,24.25,24.3,13564,0
62,24.35,24.35,24.25,24.25,38130,0
63,24.35,24.35,24.3,24.35,36483,0
64,24.35,24.35,24.35,24.35,333,0
65,24.35,24.35,24.35,24.35,666,0
66,24.3,24.35,24.25,24.35,30687,0
67,24.3,24.3,24.3,24.3,50,0
68,24.3,24.3,24.25,24.3,231,0
69,24.3,24.3,24.25,24.25,2694,0
70,24.3,24.3,24.25,24.25,1886,0
71,24.3,24.3,24.25,24.25,888,0
73,24.3,24.3,24.25,24.3,2120,0
74,24.3,24.3,24.25,24.3,1780,0
75,24.3,24.3,24.25,24.3,1093,0
76,24.3,24.3,24.3,24.3,26,0
77,24.3,24.3,24.25,24.25,14281,0
78,24.25,24.3,24.25,24.3,16865,0
79,24.25,24.3,24.2,24.3,14362,0
80,24.3,24.3,24.25,24.25,12899,0
81,24.3,24.3,24.2,24.3,9169,0
82,24.25,24.3,24.2,24.3,25585,0
83,24.25,24.3,24.25,24.25,15625,0
84,24.3,24.3,24.2,24.25,13574,0
85,24.3,24.3,24.25,24.3,9613,0
86,24.3,24.3,24.25,24.3,8613,0
87,24.25,24.3,24.25,24.3,14006,0
88,24.3,24.3,24.2,24.25,9179,0
89,24.3,24.3,24.25,24.3,10492,0
90,24.3,24.3,24.25,24.3,9950,0
91,24.3,24.3,24.2,24.3,34042,0
92,24.25,24.3,24.2,24.2,12566,0
93,24.3,24.35,24.25,24.3,83392,0
94,24.3,24.3,24.25,24.25,10208,0
95,24.3,24.3,24.3,24.3,277,0
96,24.35,24.35,24.25,24.3,35705,0
97,24.35,24.35,24.3,24.35,31428,0
98,24.3,24.35,24.25,24.35,777,0
99,24.35,24.35,24.25,24.3,13520,0
100,24.35,24.35,24.25,24.25,1244,0
101,24.3,24.35,24.25,24.3,28835,0
102,24.25,24.3,24.25,24.3,3843,0
103,24.3,24.3,24.25,24.3,2053,0
104,24.3,24.3,24.25,24.25,2587,0
105,24.25,24.3,24.25,24.3,1878,0
106,24.3,24.3,24.25,24.3,1300,0
107,24.3,24.3,24.25,24.25,577,0
