EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1533008760,104.95,104.95,104.6,104.6,9882,0
1,104.9,104.95,104.7,104.95,9950,0
2,104.7,104.9,104.6,104.7,9290,0
3,104.65,104.8,104.55,104.55,1435,0
4,104.7,104.85,104.65,104.65,4851,0
5,105,105,104.6,104.65,10258,0
6,104.55,104.85,104.55,104.85,4918,0
7,104.75,104.8,104.6,104.6,3021,0
8,104.8,104.9,104.75,104.75,6017,0
9,104.95,105,104.8,104.85,6947,0
10,105.15,105.25,104.95,104.95,11325,0
11,105.6,105.6,105.25,105.35,11853,0
12,105.6,105.6,105.45,105.5,12890,0
13,105.3,105.6,105.25,105.6,3879,0
14,104.85,105.3,104.85,105.2,14125,0
15,105.45,105.45,104.95,104.95,23178,0
16,105.35,105.55,105.25,105.45,23503,0
17,105.3,105.45,105.2,105.35,8474,0
18,104.85,105.35,104.85,105.3,13286,0
19,105.3,105.35,104.7,104.75,30205,0
20,105,105.45,104.95,105.35,45189,0
21,105,105.15,104.8,105,25905,0
22,104.95,105.05,104.8,105,36976,0
23,105.05,105.1,104.9,105,14684,0
24,105.05,105.1,105,105.1,2782,0
25,105,105.1,105,105.05,2984,0
26,105.05,105.1,105,105,6976,0
27,104.9,105.05,104.9,105,4591,0
28,105.05,105.1,104.85,104.85,13140,0
29,104.9,105.1,104.9,104.9,16447,0
30,105,105.05,104.85,104.9,12206,0
31,104.9,105.05,104.9,105.05,6355,0
32,105.05,105.25,105,105.25,70905,0
33,105.05,105.05,105,105,641,0
34,105.05,105.05,105.05,105.05,639,0
35,105.05,105.05,105,105.05,3463,0
36,105.35,105.5,105.1,105.1,28125,0
37,105.2,105.5,105.1,105.4,5010,0
38,105.2,105.3,105.2,105.25,1015,0
39,105.3,105.3,105.1,105.2,2115,0
40,105.25,105.35,105.25,105.35,3581,0
41,105.05,105.3,105.05,105.25,17326,0
42,105.35,105.35,105.05,105.05,26606,0
43,105.75,105.75,105.3,105.4,25251,0
44,105.5,105.8,105.5,105.7,18219,0
45,105.4,105.55,105.4,105.55,7912,0
46,105.25,105.45,105.05,105.4,31576,0
47,105.85,105.85,105.2,105.25,28438,0
48,105.8,105.95,105.6,105.9,45488,0
49,105.7,105.7,105.65,105.65,2137,0
50,105.65,105.8,105.65,105.7,11159,0
51,105.75,105.8,105.65,105.65,13731,0
52,105.8,105.8,105.4,105.75,34156,0
53,105.65,106,105.65,105.85,7060,0
54,105.7,105.8,105.65,105.7,887,0
55,105.65,105.8,105.65,105.75,998,0
56,105.7,105.75,105.6,105.6,1289,0
57,105.75,105.95,105.75,105.8,6826,0
58,105.75,105.9,105.7,105.75,2029,0
59,105.7,105.85,105.7,105.75,2082,0
60,105.45,105.7,105.45,105.7,15005,0
61,105.35,105.6,105.35,105.45,4595,0
62,105.4,105.5,105.35,105.5,331,0
63,105.4,105.5,105.4,105.4,176,0
64,105.3,105.4,105.3,105.4,1427,0
65,105,105.25,105,105.25,12818,0
66,105.2,105.3,105.05,105.05,3692,0
67,105.2,105.2,105.1,105.2,1443,0
68,105.1,105.2,105.05,105.2,6964,0
69,105,105.1,104.9,105.1,4947,0
70,104.95,105.15,104.95,105.15,6403,0
71,104.9,105,104.9,104.9,2289,0
72,104.75,104.9,104.75,104.9,14515,0
73,104.85,104.9,104.75,104.8,2591,0
74,104.8,104.9,104.75,104.9,1461,0
75,104.75,104.9,104.75,104.9,2050,0
76,104.7,104.85,104.7,104.85,5098,0
77,104.65,104.75,104.6,104.65,3455,0
78,104.6,104.7,104.6,104.7,3255,0
79,104.65,104.7,104.6,104.6,14500,0
80,104.4,104.65,104.3,104.65,28552,0
81,104.5,104.5,104.4,104.4,2578,0
82,104.5,104.5,104.45,104.5,1903,0
83,104.45,104.5,104.45,104.5,1244,0
84,104.55,104.6,104.45,104.45,794,0
85,104.55,104.6,104.5,104.6,1907,0
86,104.7,104.8,104.6,104.6,3045,0
87,104.7,104.75,104.65,104.75,301,0
88,104.65,104.75,104.65,104.7,122,0
89,104.65,104.7,104.65,104.7,158,0
90,104.6,104.65,104.6,104.65,1213,0
91,104.7,104.75,104.65,104.7,344,0
92,104.95,105.1,104.75,104.75,9632,0
93,104.9,105.05,104.85,105,2904,0
94,104.8,104.9,104.8,104.8,1381,0
95,104.8,104.85,104.8,104.85,780,0
96,104.8,104.85,104.8,104.8,1908,0
97,104.8,104.85,104.8,104.8,200,0
98,104.8,104.85,104.8,104.8,505,0
99,104.8,104.9,104.8,104.8,312,0
100,104.8,104.85,104.8,104.8,510,0
101,104.8,104.85,104.8,104.8,805,0
102,104.95,104.95,104.75,104.9,4912,0
103,104.8,104.9,104.75,104.9,885,0
104,104.75,104.85,104.75,104.8,292,0
105,104.7,104.8,104.7,104.8,1469,0
106,104.8,104.85,104.75,104.75,405,0
107,104.7,104.85,104.7,104.85,1087,0
