EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,488.05,488.05,488,488.05,888,0
1,480.1,488.9,480,488.9,3218,0
2,483,484.2,481.65,481.65,1038,0
3,484.6,485,482.85,482.85,999,0
4,484.4,484.6,484.4,484.45,460,0
5,484.15,484.5,484.15,484.15,1118,0
6,482.5,484.4,482.15,484.15,866,0
7,481,482.9,481,482,504,0
8,482.95,482.95,481.25,481.45,235,0
9,483.55,483.55,482.6,482.7,388,0
10,484,484,483.9,483.9,540,0
11,484,484,484,484,50,0
12,483.7,483.7,483.3,483.55,420,0
13,482.05,482.95,482.05,482.95,2206,0
14,482.6,482.7,482.6,482.7,125,0
15,482.7,482.7,482,482,113,0
16,483.4,483.45,482.6,482.7,285,0
17,483,483.9,482.7,483.4,292,0
18,482.95,483.4,482.95,483,92,0
19,483.1,483.15,482.7,483,57,0
20,482.85,483.55,482.85,483.45,538,0
21,483.25,483.25,483.25,483.25,20,0
22,483.9,483.9,483.3,483.3,102,0
23,482.7,483.8,482.7,483.8,386,0
24,482.15,482.7,482.15,482.7,21,0
26,482.05,482.05,482.05,482.05,272,0
27,482.45,482.45,482.05,482.45,183,0
28,483.2,483.9,482,482,726,0
29,483.05,483.9,483.05,483.85,186,0
31,483.5,483.5,483.5,483.5,40,0
32,484,484,483.6,483.6,273,0
33,484,484.95,483.6,484.95,833,0
34,483,484,483,484,1019,0
35,483,483.35,482.45,482.6,263,0
36,482.35,482.95,482.2,482.95,125,0
37,482.1,483.35,482.1,483.35,243,0
38,483,483,482.1,482.1,661,0
39,482.9,483,482.55,482.65,201,0
40,482.5,483.1,482.5,482.9,268,0
41,482.55,483,482.5,482.8,379,0
42,482.7,483,482.5,482.65,504,0
43,482.75,482.75,482.5,482.65,927,0
44,482.75,482.75,482.55,482.55,530,0
45,483,483,482.5,482.95,648,0
46,482.95,483.15,482.55,482.95,157,0
47,482.5,482.75,482.5,482.5,58,0
48,482.5,482.5,482.5,482.5,466,0
49,482.55,482.55,482.5,482.55,105,0
50,482.5,482.55,482.5,482.55,278,0
51,482.75,482.8,482.75,482.8,507,0
52,483.15,483.5,482.75,482.75,986,0
53,483,483.15,483,483,270,0
54,482.45,483,482.45,483,5226,0
55,481.35,482.6,480.6,482.05,8121,0
56,481.5,481.5,481.2,481.2,129,0
57,481.55,481.55,481,481,278,0
58,480.45,481.55,480.45,481,404,0
59,481,481.15,480.95,480.95,191,0
60,480.8,481.4,480.8,481.4,632,0
61,481.15,481.15,481.15,481.15,12,0
62,481.55,481.75,480.85,481.15,592,0
63,481.35,481.35,481,481,468,0
64,481.35,481.5,481.35,481.5,223,0
65,481.9,481.9,481.8,481.8,24,0
66,481.5,482.05,481.5,482.05,264,0
67,481.8,481.8,481.5,481.5,45,0
68,482.7,482.7,482.05,482.25,105,0
69,481.95,482.55,481.95,482.5,163,0
70,481.05,481.05,481.05,481.05,95,0
72,481,481.25,481,481.25,431,0
73,481.45,481.45,481.4,481.4,31,0
74,481.45,481.45,481.45,481.45,2,0
76,481.45,481.45,481.45,481.45,10,0
77,482.1,482.15,482,482.15,252,0
78,482.35,483.2,482.2,483.2,364,0
79,483.05,483.05,482.75,482.8,366,0
80,482.8,482.85,482.7,482.85,68,0
81,482.55,482.55,482.55,482.55,13,0
82,481.85,482.2,481.25,482.2,478,0
83,482.1,482.4,481.9,481.9,14,0
84,482.05,483.05,482,482.15,1217,0
