EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1529379960,4109.75,4114.9,4100,4100,181,0
1,4108.05,4109.7,4105,4105,136,0
2,4107.5,4107.8,4107.5,4107.8,33,0
3,4101.55,4106.95,4101.55,4106.95,26,0
4,4103.7,4106.45,4102.5,4102.5,75,0
5,4107,4107,4103,4103.75,96,0
6,4105,4112.85,4104,4112.85,40,0
7,4106,4106.8,4103.05,4105.8,38,0
8,4109.85,4112.85,4109,4109.8,128,0
9,4109.8,4109.8,4109.8,4109.8,68,0
10,4104.95,4104.95,4104.95,4104.95,2,0
11,4104.6,4109.2,4104.6,4109.15,84,0
12,4102.5,4104.45,4102.5,4104.45,35,0
13,4102.5,4106.05,4102.5,4106.05,36,0
14,4102.5,4106.05,4102.5,4105.95,25,0
15,4094.35,4100,4094.35,4100,142,0
16,4085,4094.35,4085,4094.35,373,0
17,4076.25,4085.25,4075.55,4085.25,305,0
18,4076,4078,4075,4077.9,153,0
19,4079.65,4079.65,4076,4078.35,88,0
20,4080.1,4092.9,4080.1,4084.45,114,0
21,4080.15,4084.25,4080.15,4084.2,20,0
22,4082.9,4083,4082.9,4082.95,57,0
23,4081.05,4081.05,4081.05,4081.05,4,0
24,4085.05,4085.05,4083.35,4083.35,59,0
25,4085.05,4090.05,4085.05,4089,185,0
26,4089.05,4089.15,4085.05,4085.05,69,0
27,4085.2,4088.95,4085.2,4088.95,3,0
28,4089,4089,4085.35,4085.35,10,0
29,4085.55,4085.55,4085.55,4085.55,9,0
30,4089.3,4089.3,4089.25,4089.25,9,0
31,4095,4095,4095,4095,418,0
32,4087.45,4095,4087.25,4095,160,0
33,4087.45,4089.85,4085.55,4087.45,16,0
34,4083,4087.45,4083,4085.45,90,0
35,4080.05,4083,4078.4,4083,30,0
36,4077.2,4080.9,4076.7,4078.4,45,0
37,4076.05,4077.2,4076.05,4077.2,19,0
38,4071.05,4076,4071.05,4076,127,0
39,4063.25,4070,4063.25,4070,133,0
40,4065.25,4065.25,4063.25,4063.25,205,0
41,4066,4067.5,4066,4067,63,0
42,4068,4068,4062.6,4066,198,0
43,4065.9,4067.15,4062.25,4067.15,44,0
44,4064,4067.05,4062.6,4063.5,69,0
45,4064.05,4068.8,4064.05,4068.8,11,0
46,4071,4071,4064.25,4064.25,103,0
48,4065.1,4069,4065.1,4069,26,0
49,4058.1,4067.9,4057,4065.1,165,0
50,4058,4064.6,4057,4057,49,0
51,4059.05,4064.6,4058,4064.4,31,0
52,4064.25,4064.65,4064.25,4064.55,21,0
53,4059.2,4064.65,4059.2,4064.65,12,0
54,4064.85,4064.85,4064.55,4064.55,14,0
56,4060.15,4064.9,4060.15,4064.9,27,0
59,4067.35,4067.35,4067.35,4067.35,6,0
60,4061.8,4061.8,4061.8,4061.8,2,0
62,4063.2,4067.6,4063.2,4067.3,9,0
63,4064.05,4072.45,4064.05,4072.45,27,0
66,4065.85,4072.7,4065.15,4065.15,29,0
67,4071.3,4071.3,4071.2,4071.2,9,0
68,4071.3,4071.3,4071.3,4071.3,3,0
69,4072.45,4072.45,4072.45,4072.45,5,0
70,4069.25,4069.25,4069.25,4069.25,1,0
71,4068.2,4071.45,4068.2,4071.45,7,0
73,4072.4,4072.4,4072.4,4072.4,3,0
74,4072.45,4072.45,4072.45,4072.45,8,0
77,4068.5,4068.5,4068.5,4068.5,5,0
79,4073,4073,4070.05,4073,110,0
80,4068.15,4072.95,4068.15,4072.95,10,0
81,4068.55,4072.1,4068.55,4072.1,6,0
82,4072.95,4073,4072.95,4073,9,0
83,4073,4073,4073,4073,4,0
84,4073,4073,4073,4073,10,0
85,4068.55,4069.85,4068.55,4069.85,27,0
86,4068.8,4068.8,4063.15,4068,98,0
88,4060.15,4061.3,4060.15,4061.3,44,0
89,4040.1,4060.15,4040.1,4060.15,431,0
90,4020.15,4048.3,4020.15,4048.3,666,0
91,4012,4020.55,4010.25,4020,1413,0
92,4020,4020,4011.85,4012,982,0
93,4035.6,4040.4,4024,4024,1351,0
94,4040,4040.8,4035,4035,357,0
95,4035.25,4038,4035,4038,51,0
96,4040.05,4043,4038.9,4039,136,0
97,4040.55,4042.95,4037.05,4040.25,11,0
98,4040,4040.6,4040,4040.6,18,0
99,4039.95,4039.95,4035.65,4035.65,3,0
100,4035.3,4039.9,4035.3,4039,25,0
101,4039.8,4039.8,4039,4039,29,0
102,4038.8,4039,4036.05,4036.05,23,0
103,4039.55,4039.55,4039.55,4039.55,1,0
104,4036.7,4039.55,4036.7,4039.55,8,0
105,4035,4036.7,4035,4036.65,116,0
106,4034,4034,4034,4034,1,0
107,4039,4039,4038.9,4038.9,34,0
108,4043,4043,4041,4041,16,0
109,4044.8,4044.8,4043,4043,60,0
110,4044,4044.8,4034,4034,234,0
111,4037.1,4037.1,4037.1,4037.1,1,0
112,4041,4041,4041,4041,7,0
