EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,3904.85,3904.85,3883.25,3883.25,79,0
1,3910.15,3910.15,3909.95,3909.95,58,0
2,3914.35,3925,3902.25,3907.85,278,0
3,3912,3918.6,3910,3916,217,0
4,3912.85,3912.85,3912.45,3912.45,11,0
5,3912.7,3912.7,3902.85,3910.55,56,0
6,3912.05,3912.05,3912.05,3912.05,4,0
7,3915.55,3915.55,3915,3915,30,0
8,3917.75,3917.75,3915,3915,57,0
9,3915,3915.05,3915,3915.05,42,0
10,3914.85,3914.85,3914.85,3914.85,26,0
11,3911.5,3911.5,3911.5,3911.5,8,0
12,3903.5,3912,3903.5,3912,154,0
13,3904.5,3904.5,3900,3903.5,19,0
14,3900,3900,3900,3900,7,0
15,3900,3902.8,3900,3902.8,4,0
17,3900.05,3900.05,3900.05,3900.05,1,0
18,3903.1,3903.1,3903.1,3903.1,1,0
21,3900.05,3900.05,3900.05,3900.05,2,0
22,3892,3900,3892,3900,60,0
23,3896.65,3896.65,3896.65,3896.65,2,0
24,3891.2,3892.35,3891.2,3892.35,59,0
25,3890.05,3891.3,3890.05,3891.3,41,0
26,3894,3894,3894,3894,4,0
29,3894.45,3900,3894.45,3899.4,18,0
33,3891.3,3893.1,3891.3,3892.15,12,0
34,3891.25,3891.25,3891.25,3891.25,4,0
35,3881.05,3890,3881.05,3890,104,0
36,3882.6,3882.6,3881.05,3881.05,13,0
37,3885.15,3887.1,3885.15,3887.1,77,0
39,3885.55,3888.55,3885.55,3888.55,11,0
41,3885.55,3885.55,3885.55,3885.55,2,0
42,3893.9,3893.9,3888.7,3888.7,10,0
43,3892.3,3896.95,3892.3,3896.95,5,0
44,3899.85,3901.8,3899.85,3901.8,45,0
45,3882.1,3897.1,3882.1,3897.1,130,0
46,3878.55,3883.8,3878.55,3880,42,0
47,3880,3880,3877.25,3878.2,89,0
48,3877.2,3880,3877.2,3880,29,0
50,3879.65,3879.65,3879.65,3879.65,5,0
51,3878.85,3878.85,3878.85,3878.85,6,0
52,3878.7,3878.7,3878.7,3878.7,1,0
54,3873.55,3877.1,3873.55,3877.1,29,0
55,3871,3871,3870.05,3870.05,5,0
56,3871,3871,3870.55,3870.55,3,0
57,3863.35,3870.5,3863.35,3870.5,116,0
58,3863.05,3863.35,3862.15,3863.35,11,0
59,3861.05,3863.05,3861.05,3863.05,5,0
60,3866.1,3867.05,3865,3865,149,0
61,3869,3869.4,3869,3869.4,15,0
62,3866.15,3869.15,3866.15,3866.15,9,0
63,3872,3873.4,3869.5,3869.5,22,0
64,3874.95,3875,3872,3875,24,0
65,3868.35,3872,3868.35,3872,39,0
67,3871.3,3877.2,3871.3,3877.2,68,0
70,3881.75,3885,3881.75,3885,67,0
72,3885.6,3889.95,3882,3882,12,0
74,3889.55,3891.8,3887.3,3891.8,36,0
75,3895,3895,3895,3895,10,0
76,3896,3897.25,3896,3897.25,15,0
77,3898.5,3907.9,3893.6,3893.6,166,0
79,3904.5,3909.9,3902.9,3902.9,22,0
80,3903.5,3909.9,3903.5,3904.9,19,0
81,3903.25,3903.25,3903.25,3903.25,3,0
82,3903.2,3903.25,3903.2,3903.25,2,0
