EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1531971960,212,213.1,212,213.1,24692,0
1,212.1,212.25,211.6,212,36306,0
2,211.75,212.1,211.6,212.1,11482,0
3,211.15,212.1,211.15,211.7,19760,0
4,210.55,211.45,210.55,211.45,27263,0
5,209.65,210.25,209.5,210.1,38104,0
6,209.8,209.85,209,209.6,36163,0
7,209.6,209.75,209,209.75,11387,0
8,209.7,209.8,209.45,209.5,17249,0
9,209.1,209.7,209.05,209.05,20426,0
10,209.3,209.45,209,209.05,10909,0
11,209.2,209.3,209.1,209.15,9106,0
12,208.25,209.2,208.15,209,25461,0
13,208.5,208.8,208,208.2,15922,0
14,208.5,208.7,208.3,208.4,7365,0
15,208.5,208.7,208.25,208.55,9831,0
16,208.25,208.35,208,208,11173,0
17,208.2,208.25,208.15,208.2,5227,0
18,208.8,209.05,208.2,208.2,8917,0
19,209.5,209.5,208.95,208.95,11181,0
20,209.4,209.6,209.35,209.55,4383,0
21,209.1,209.45,209,209.45,3187,0
22,209.4,209.4,209.05,209.05,1367,0
23,209.5,209.55,209.2,209.2,5688,0
24,209.5,209.6,209.25,209.6,3888,0
25,209.55,209.55,209.45,209.5,2853,0
26,209.6,209.6,209.55,209.55,2390,0
27,209.05,209.45,209.05,209.45,1206,0
28,209,209,208.75,209,2702,0
29,208.6,209.2,208.55,209,2663,0
30,208.75,209.1,208.75,208.75,3971,0
31,208.75,209,208.75,208.85,822,0
32,208.95,208.95,208.55,208.8,3558,0
33,209,209,208.8,208.85,1145,0
34,208.7,209.1,208.7,208.85,3078,0
35,208.9,209.15,208.9,208.9,575,0
36,208.7,209,208.7,209,1452,0
37,208.75,208.75,208.65,208.7,1363,0
38,208.9,209.1,208.9,208.9,576,0
39,209.3,209.3,208.95,208.95,827,0
40,209.2,209.3,209.05,209.25,1923,0
41,209.15,209.15,208.95,209,1322,0
42,209.45,209.45,208.95,209.15,1043,0
43,209.7,209.95,209.45,209.45,4231,0
44,209.85,209.95,209.6,209.9,1691,0
45,209.75,209.8,209.4,209.6,2432,0
46,209.55,209.75,209.55,209.55,898,0
47,209.5,209.6,209.5,209.6,586,0
48,209.6,209.6,209.5,209.55,1063,0
49,209.55,209.65,209.5,209.65,1983,0
50,209.45,209.55,209.1,209.55,1933,0
51,209.1,209.45,209.1,209.45,1975,0
52,209.6,209.6,209.05,209.1,7071,0
53,209.55,209.65,209.35,209.6,1396,0
54,209.3,209.55,209.3,209.45,681,0
55,209.65,209.65,209.35,209.35,1767,0
56,209.5,209.65,209.1,209.5,3330,0
57,209.55,209.6,209.55,209.6,936,0
58,209.65,209.65,209.5,209.55,795,0
59,209.6,209.65,209.55,209.65,1395,0
60,209.6,209.65,209.6,209.6,719,0
61,209.6,209.7,209.55,209.65,2197,0
62,209.8,209.8,209.6,209.75,1194,0
63,209.65,209.8,209.6,209.7,2812,0
64,209.6,209.75,209.6,209.65,757,0
65,209.6,209.7,209.6,209.7,190,0
66,209.65,209.65,209.6,209.6,1167,0
67,209.6,209.7,209.6,209.65,647,0
68,209.6,209.65,209.6,209.65,423,0
69,209.6,209.65,209.6,209.65,313,0
70,209.45,209.55,209.45,209.5,201,0
71,209.4,209.45,209.4,209.4,146,0
72,209.2,209.5,209.2,209.4,4409,0
73,209.25,209.45,209.2,209.45,252,0
74,209.2,209.25,209.2,209.2,150,0
75,209.2,209.25,209.15,209.25,345,0
76,209.35,209.55,209.15,209.15,570,0
77,209.75,210.55,209.65,210.55,23384,0
78,209.85,210.25,209.65,209.65,7921,0
79,210,210.1,209.85,210.1,519,0
80,210.3,210.3,210,210,3585,0
81,210.25,210.4,210.1,210.4,1411,0
82,210.45,210.45,210.25,210.25,788,0
83,210.6,210.6,210.45,210.5,3033,0
84,210.8,210.8,210.55,210.6,796,0
85,210.65,210.8,210.55,210.8,4344,0
86,211.2,211.35,210.65,210.65,7037,0
87,211.35,211.35,211.1,211.2,4446,0
88,211.3,211.4,211.3,211.3,3183,0
89,211.4,211.8,211.25,211.35,13381,0
90,211.85,211.85,211.45,211.6,3838,0
91,211.85,212,211.7,211.85,2240,0
92,211.65,211.85,211.6,211.85,1439,0
93,211.85,211.85,211.6,211.6,4232,0
94,211.7,211.85,211.7,211.8,1331,0
95,211.65,211.75,211.65,211.75,475,0
96,211.6,211.65,211.6,211.6,1219,0
97,211.55,211.65,211.55,211.65,1043,0
98,211.6,211.6,211.5,211.5,4526,0
99,211.8,211.85,211.55,211.55,1178,0
100,211.95,211.95,211.65,211.7,1073,0
101,211.65,211.95,211.65,211.85,3146,0
102,211,211.8,211,211.8,6316,0
103,210.8,210.9,210.65,210.9,3491,0
104,210.85,210.9,210.8,210.85,2620,0
105,210.6,210.85,210.6,210.85,1256,0
106,210.5,210.7,210.5,210.6,2410,0
107,210.2,210.6,210.2,210.6,5219,0
