EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,225.95,225.95,225.85,225.85,198,0
1,226,226.05,225.95,225.95,259,0
2,226.55,226.55,226.25,226.25,8,0
3,226.55,226.55,226.5,226.5,3,0
4,226.55,226.55,226.55,226.55,1,0
5,226.55,226.55,226.55,226.55,1,0
7,226.55,226.7,226.55,226.65,206,0
8,226.6,226.6,226.6,226.6,1,0
9,226.6,226.6,226.3,226.3,100,0
11,226.6,226.6,226.6,226.6,560,0
12,226.75,226.75,226.6,226.6,238,0
14,226.4,226.8,226.4,226.75,720,0
15,226.45,226.45,226.4,226.45,950,0
16,226.35,226.5,226.35,226.5,691,0
17,226.4,226.4,226.4,226.4,400,0
18,226.5,226.5,226.45,226.45,1044,0
19,226.45,226.5,226.35,226.4,2463,0
20,226.5,226.5,226.3,226.4,1139,0
21,226.5,226.5,226.1,226.1,153,0
22,226.45,226.5,226.45,226.5,46,0
23,226.45,226.5,226.45,226.45,47,0
24,226.35,226.6,226.35,226.5,485,0
25,226.3,226.45,226.1,226.3,2623,0
26,226.35,226.45,226.2,226.45,2013,0
27,226.2,226.35,226.05,226.2,2785,0
28,226.45,226.45,226.15,226.4,1900,0
29,226.65,226.65,226.45,226.45,1075,0
30,226.75,226.75,226.75,226.75,117,0
31,226.85,226.85,226.85,226.85,45,0
32,226.85,226.85,226.85,226.85,52,0
34,226.65,226.85,226.55,226.55,219,0
35,226.9,226.95,226.5,226.85,451,0
36,226.7,226.7,226.65,226.65,2457,0
37,226.5,226.85,226.5,226.6,1737,0
38,226.7,226.75,226.5,226.55,1944,0
39,226.55,226.75,226.45,226.6,1261,0
40,226.5,226.75,226.5,226.7,234,0
41,226.75,226.75,226.45,226.7,275,0
42,226.45,226.75,226.45,226.5,301,0
43,226.6,226.7,226.4,226.45,286,0
44,226.6,226.65,226.35,226.4,193,0
45,226.2,226.4,226.2,226.4,640,0
46,226.05,226.1,226.05,226.1,244,0
47,226,226.05,225.85,226.05,424,0
48,225.85,226.15,225.85,225.85,142,0
49,226,226,225.75,225.8,218,0
51,226,226,226,226,44,0
52,226.1,226.1,225.7,225.75,161,0
53,225.9,226.1,225.9,226.1,92,0
54,225.8,226.2,225.8,226.2,67,0
56,226.2,226.2,225.8,225.8,68,0
57,226.2,226.2,226.2,226.2,44,0
58,226.2,226.2,225.75,226.2,72,0
59,225.85,226.15,225.85,226.15,241,0
60,226.2,226.2,226.2,226.2,1,0
61,226,226,226,226,21,0
62,226.1,226.3,226,226,28,0
63,226.1,226.1,226.1,226.1,12,0
64,226.15,226.15,226.1,226.1,37,0
65,226,226.2,226,226.2,149,0
66,226.1,226.15,226.1,226.1,199,0
69,226.2,226.2,226.1,226.1,53,0
70,226.05,226.2,226,226.2,240,0
71,226.05,226.2,226,226.05,253,0
72,226.1,226.1,226.1,226.1,69,0
74,225.95,225.95,225.9,225.9,70,0
78,226.2,226.2,226.2,226.2,5,0
