EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,70.45,71.4,70.45,71.4,22541,0
1,70.7,70.85,70.6,70.8,6100,0
2,70.55,70.85,70.55,70.85,17033,0
3,70.6,70.65,70.45,70.65,9602,0
4,70.6,70.75,70.5,70.55,22109,0
5,70.65,70.75,70.55,70.65,9510,0
6,70.8,70.8,70.6,70.65,14443,0
7,70.65,70.7,70.5,70.6,5242,0
8,70.4,70.7,70.4,70.6,31024,0
9,70.4,70.6,70.4,70.6,18611,0
10,70.25,70.35,70.2,70.35,7785,0
11,70.2,70.3,70.15,70.15,12357,0
12,70,70.25,69.8,70.25,31406,0
13,69.95,70,69.85,70,9640,0
14,70.25,70.4,69.95,70,7709,0
15,70.3,70.3,70,70.15,26017,0
16,70.15,70.2,70.05,70.2,3460,0
17,69.95,70.15,69.95,70.15,13050,0
18,70.1,70.2,70,70,3015,0
19,70.2,70.2,70.1,70.1,1680,0
20,70.25,70.25,70.1,70.15,5948,0
21,70.8,70.8,70.2,70.25,11536,0
22,70.55,70.8,70.55,70.7,14995,0
23,70.7,70.75,70.55,70.65,11936,0
24,70.6,70.7,70.55,70.7,2751,0
25,70.55,70.65,70.5,70.6,3334,0
26,70.5,70.5,70.45,70.5,6100,0
27,70.5,70.5,70.45,70.5,1928,0
28,70.55,70.6,70.5,70.55,9089,0
29,70.7,70.7,70.65,70.65,5650,0
30,70.75,70.75,70.65,70.7,3324,0
31,70.7,70.75,70.7,70.75,2087,0
32,70.7,70.7,70.65,70.7,310,0
33,70.65,70.7,70.65,70.65,833,0
34,70.5,70.75,70.5,70.7,2520,0
35,70.25,70.65,70.25,70.65,3449,0
36,70.15,70.25,70.15,70.25,3531,0
37,70.15,70.2,70.1,70.15,10309,0
38,70.2,70.2,70.1,70.1,1627,0
39,70.15,70.15,70.15,70.15,679,0
40,70.45,70.45,70.15,70.25,5622,0
41,70.45,70.55,70.45,70.5,1550,0
42,70.3,70.4,70.25,70.4,7010,0
43,70.25,70.3,70.25,70.3,391,0
44,70.25,70.3,70.15,70.3,3611,0
45,70.15,70.2,70.15,70.2,2051,0
46,70.15,70.2,70.15,70.15,1134,0
47,70.25,70.25,70.2,70.2,1711,0
48,70.3,70.3,70.2,70.2,1727,0
49,70.35,70.4,70.3,70.4,2667,0
50,70.4,70.4,70.35,70.35,3444,0
51,70.4,70.45,70.4,70.4,1131,0
52,70.35,70.35,70.35,70.35,559,0
53,70.4,70.4,70.4,70.4,500,0
54,70.4,70.45,70.3,70.45,7629,0
55,70.4,70.4,70.4,70.4,110,0
56,70.1,70.3,70.1,70.3,14852,0
57,70,70.05,69.95,70.05,20895,0
58,69.85,70.3,69.85,70.1,77107,0
59,69.7,69.85,69.55,69.85,15990,0
60,69.55,69.7,69.55,69.7,10428,0
61,69.9,69.9,69.6,69.65,4905,0
62,69.95,69.95,69.8,69.8,2985,0
63,69.85,70,69.85,69.9,22545,0
64,69.9,69.9,69.8,69.8,6313,0
65,69.75,69.9,69.75,69.9,7582,0
66,69.75,69.75,69.65,69.75,8668,0
67,69.55,69.7,69.55,69.7,15406,0
68,69.65,69.7,69.55,69.65,1970,0
69,69.55,69.65,69.55,69.65,11901,0
70,69.35,69.45,69.15,69.45,37204,0
71,69.3,69.4,69.3,69.3,8622,0
72,69.35,69.45,69.3,69.35,7244,0
73,69.2,69.3,69.2,69.3,7902,0
74,69.2,69.25,69.15,69.15,13972,0
75,69.25,69.3,69.15,69.25,2903,0
76,69.1,69.25,69,69.25,15447,0
77,69,69.1,68.9,69.1,17436,0
78,69.15,69.15,69,69.05,8358,0
79,69.2,69.2,69.05,69.05,8558,0
80,69.2,69.2,69.15,69.15,461,0
81,69.2,69.25,69.1,69.2,8766,0
82,69.05,69.3,69.05,69.2,10446,0
83,69.1,69.1,69,69.05,892,0
84,69,69.05,69,69,9298,0
