EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,90.95,93.5,89,89,1474188,0
1,88.8,91.9,87.75,91.3,1430327,0
2,90.65,91.05,89.15,89.2,1434949,0
3,92,92.95,90.75,90.75,841139,0
4,90.4,91.95,90.4,91.95,571588,0
5,90.3,90.5,89.6,90.45,584868,0
6,90.05,90.25,89.35,90.1,537705,0
7,90.65,90.8,89.5,89.95,368277,0
8,89.55,90.75,89.55,90.65,409216,0
9,89.65,90.3,89.2,89.4,371416,0
10,88.9,89.5,88.55,89.4,612801,0
11,87.2,88.85,87.2,88.75,725722,0
12,87.5,87.95,86.8,86.8,797689,0
13,86.7,87.6,86.65,87.55,546209,0
14,87.65,87.65,86.35,86.7,601990,0
15,88.7,89.4,87.8,87.8,706439,0
16,88.7,89.25,88.65,88.75,365565,0
17,87.85,88.9,87.8,88.7,373124,0
18,88.2,88.45,87.7,87.8,280571,0
19,88.3,88.7,88.2,88.25,240907,0
20,87.9,88.4,87.75,88.2,186849,0
21,88.4,88.5,87.7,87.85,215893,0
22,89.15,89.45,88.4,88.45,331905,0
23,88.5,89.2,88.5,89.2,303322,0
24,88.45,88.65,88.35,88.45,145348,0
25,88.3,88.6,88.15,88.4,163051,0
26,87.95,88.3,87.8,88.3,197571,0
27,88.05,88.35,87.95,88,146358,0
28,88.3,88.35,88,88.1,68003,0
29,88.1,88.3,88.05,88.3,68205,0
30,87.85,88.2,87.75,88.05,166100,0
31,87.9,88.1,87.75,87.9,126558,0
32,87.9,88.2,87.75,87.75,122015,0
33,87.95,88,87.75,87.85,136058,0
34,88.05,88.1,87.9,87.9,53756,0
35,87.9,88.2,87.9,88.05,65598,0
36,87.75,88,87.6,87.85,119675,0
37,87.85,87.95,87.6,87.75,78641,0
38,87.85,87.9,87.75,87.9,63441,0
39,87.75,87.85,87.4,87.85,151934,0
40,87.9,87.95,87.45,87.75,140260,0
41,88.45,88.5,87.8,87.95,236253,0
42,88.65,88.8,88.3,88.4,206594,0
43,89.25,89.3,88.45,88.5,326188,0
44,88.7,89.2,88.7,89.2,227945,0
45,88.9,88.95,88.6,88.7,68368,0
46,89.25,89.3,88.85,89,218069,0
47,89.1,89.5,88.9,89.2,347750,0
48,89.1,89.35,89,89,107106,0
49,89.4,89.65,88.8,89.2,249012,0
50,90,90.4,89.45,89.5,748693,0
51,90.25,90.5,90.05,90.2,249903,0
52,90.2,90.35,89.9,90.1,284104,0
53,90.25,90.4,89.95,90.3,274332,0
54,91.7,92.15,90.2,90.35,1280077,0
55,92,92.65,91.65,91.75,810874,0
56,92.65,92.75,91.95,92.1,530943,0
57,93.15,93.3,92.25,92.5,933558,0
58,92,93.15,92,93.15,631952,0
59,91.9,92.1,91.4,92.1,514187,0
60,90.9,91.9,90.75,91.9,405092,0
61,90.9,91.45,90.75,90.85,365340,0
62,90.8,91.1,90.75,91,196421,0
63,90.7,90.75,90.25,90.65,291385,0
64,90.75,90.75,90.2,90.7,259065,0
65,90.4,90.8,90.3,90.7,115471,0
66,89.8,90.5,89.55,90.5,478419,0
67,90.15,90.2,89.6,89.85,231668,0
68,90.35,90.45,90,90.1,178212,0
69,90.35,90.55,90.05,90.3,181784,0
70,90.3,90.45,90.2,90.25,103385,0
71,89.85,90.35,89.75,90.35,169457,0
72,89.9,89.95,89.7,89.8,116166,0
73,89.75,90.3,89.65,89.85,390542,0
74,89.85,90,89.7,89.8,62365,0
75,89.6,89.85,89.6,89.8,128493,0
76,89.3,89.8,88.75,89.65,495244,0
77,89.7,89.75,89.2,89.2,198212,0
78,89.75,89.75,89.6,89.75,103935,0
79,89.75,89.85,89.6,89.75,65589,0
80,90.2,90.4,89.65,89.7,252498,0
81,91.15,91.35,90.05,90.25,430620,0
82,91.15,91.5,90.9,91.15,281103,0
83,91.45,91.5,90.85,91,290487,0
84,91.7,91.85,91.25,91.45,325866,0
