EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,2507.45,2549.95,2502.5,2549.95,743,0
1,2512.95,2516.75,2506.05,2512.3,162,0
2,2511.9,2515.95,2508.05,2509.45,204,0
3,2509.3,2514.8,2508.05,2509.7,163,0
4,2500.7,2510.8,2497.25,2510.8,485,0
5,2504.2,2504.75,2500.7,2500.7,85,0
6,2508.9,2510,2503.75,2503.75,145,0
7,2512.2,2512.2,2504,2504.85,62,0
8,2514.55,2514.55,2508.3,2508.3,175,0
9,2505.05,2510,2502.1,2510,495,0
10,2508.5,2508.5,2503.65,2503.7,67,0
11,2503.05,2507.15,2503.05,2504.6,58,0
12,2502.05,2505.05,2502.05,2504.55,51,0
13,2502,2505,2502,2505,49,0
14,2502.5,2502.5,2502.3,2502.3,43,0
15,2503.5,2505,2502.3,2502.5,1196,0
16,2496.4,2501.05,2495.9,2501.05,353,0
17,2493.95,2498.9,2493.05,2498.9,536,0
18,2495.2,2497.4,2493.95,2493.95,79,0
19,2494.95,2495.2,2493.05,2495.2,33,0
20,2494,2495,2493,2493,87,0
21,2500.6,2500.6,2494.75,2494.95,494,0
22,2501.5,2501.5,2497.5,2499.95,177,0
23,2501.2,2501.2,2500.9,2500.9,122,0
24,2501.4,2501.4,2500.9,2500.9,69,0
25,2501,2503.5,2501,2501.5,314,0
26,2503,2503,2501,2501,106,0
27,2501,2503.15,2500.05,2502,268,0
28,2498.55,2500.05,2498.55,2500.05,121,0
29,2507.95,2507.95,2499.05,2499.55,110,0
30,2500.9,2503.35,2500.25,2503.35,26,0
31,2496.9,2500.35,2496.9,2500.35,219,0
32,2501.15,2501.15,2496.85,2497.65,126,0
33,2496.15,2497.4,2496.15,2497.4,23,0
34,2495.1,2495.15,2495,2495,44,0
35,2497.6,2497.6,2495.1,2495.15,39,0
36,2493,2497.6,2493,2497.6,174,0
37,2490,2493.1,2490,2493.1,607,0
38,2490.8,2492.55,2490,2490,1406,0
39,2496.7,2496.7,2490.8,2490.8,415,0
40,2491.75,2493.25,2491.75,2491.95,148,0
41,2492,2492.4,2491.8,2492.4,27,0
42,2492.05,2493,2492.05,2492.55,47,0
43,2492.25,2493.8,2492.15,2493.8,51,0
44,2492.05,2493.8,2492.05,2492.25,32,0
45,2496,2496,2492.1,2492.1,55,0
46,2492.15,2494,2492.15,2493.3,112,0
47,2492.2,2494,2492.05,2494,120,0
48,2492.1,2494,2491.55,2492.2,83,0
49,2497.05,2497.05,2493.05,2493.1,67,0
50,2496.55,2498.35,2496.55,2497.05,65,0
51,2496.2,2498,2496.2,2498,50,0
52,2496.2,2498.95,2496.2,2496.2,24,0
53,2498.9,2498.9,2496.25,2496.25,23,0
54,2496.1,2496.25,2496.1,2496.25,27,0
55,2496.1,2496.25,2496,2496.1,46,0
56,2496.5,2496.5,2496.5,2496.5,25,0
57,2496.5,2496.95,2496.5,2496.95,44,0
58,2496,2498.65,2496,2496.5,195,0
59,2494.25,2495,2492.75,2495,59,0
60,2494.25,2497,2494.25,2497,192,0
61,2492.85,2493.6,2492.8,2493.6,20,0
62,2493.8,2496.75,2492.85,2492.85,167,0
63,2493.75,2495.8,2493.75,2495.8,20,0
64,2493.05,2493.75,2493,2493.75,25,0
65,2493.3,2496.2,2493.3,2496.2,24,0
66,2492.7,2493.3,2492.5,2493.3,72,0
67,2496.6,2496.6,2492.65,2492.75,61,0
68,2496.65,2497.05,2493.35,2497.05,73,0
69,2494,2496.65,2494,2496.65,26,0
70,2497.05,2497.05,2494,2494,36,0
71,2494.1,2494.15,2494.1,2494.15,28,0
72,2498.95,2498.95,2494.2,2494.2,63,0
73,2495.3,2498.25,2495.3,2496.35,32,0
74,2495.6,2497.95,2495.5,2497.95,19,0
75,2494,2497.5,2494,2497.5,25,0
76,2495,2495.5,2494,2494,18,0
77,2493.15,2495,2493.1,2495,29,0
78,2495.6,2495.6,2493,2493.15,76,0
79,2495.8,2495.95,2493.05,2493.05,50,0
80,2492,2494.55,2492,2494.55,447,0
81,2491,2492,2491,2491.7,81,0
82,2492,2492,2491.5,2491.7,62,0
83,2491.8,2492.2,2491.8,2492,74,0
84,2491.7,2491.8,2491.7,2491.8,17,0
