EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,828.7,828.7,826.05,827,546,0
1,829.55,831.2,828.7,828.7,688,0
2,829.9,830.7,826.45,830.7,771,0
3,830.8,830.8,829.65,829.65,1167,0
4,830.35,830.7,830.25,830.25,320,0
5,833.15,833.15,830.7,830.7,744,0
6,833.15,833.15,832.25,832.25,51,0
7,833.15,833.15,832.7,832.7,27,0
8,832.05,833.7,831,833.7,495,0
9,833,833,832.2,832.95,152,0
10,833,833.95,832.5,833.95,208,0
11,834.85,834.85,831.8,831.8,235,0
12,834.6,835,833.75,834.85,106,0
13,835,835,833.35,833.35,801,0
14,835,835,832.85,832.85,291,0
15,834,835,834,835,67,0
16,834.95,835,833.9,833.9,280,0
17,833.95,834.95,833,834.95,282,0
18,833.9,834,833,833.95,198,0
19,832.85,833.9,832.05,833.9,127,0
20,833.95,833.95,832.85,833.35,553,0
21,834.85,834.85,833.95,833.95,407,0
22,836,836,834.5,834.85,777,0
23,835,836.15,835,836,1093,0
24,834.95,835.85,832.25,832.25,891,0
25,834.45,834.95,834.25,834.8,404,0
26,834.1,834.45,834.1,834.45,451,0
27,836.25,836.25,834.1,834.4,1835,0
28,835.8,836.45,834.65,836.25,661,0
29,835.05,835.65,834.6,835.55,180,0
30,834.9,835.75,834.7,834.7,191,0
31,835.7,835.7,835.7,835.7,15,0
32,834.65,835.9,834.65,835.7,638,0
33,834.9,834.9,834.25,834.25,43,0
34,834.9,834.9,834.75,834.9,514,0
35,833.85,834.2,832,834.2,458,0
36,834,834,833.05,833.05,321,0
37,832.9,833,832.45,832.45,267,0
38,833,833,832.95,833,439,0
39,832.5,833.25,832.5,832.95,2020,0
40,834.3,834.3,832.95,832.95,66,0
41,833.85,835,833.85,834.85,1173,0
42,833.75,834.3,833.1,833.1,459,0
43,835,835,833.9,833.9,61,0
44,835,835,834.75,835,325,0
45,835,835.2,835,835,1020,0
46,835.55,835.65,834.85,835,650,0
47,834.95,835.8,834.85,834.95,417,0
48,835.05,835.5,834.95,835.5,558,0
49,835,835.7,834.95,835.05,315,0
50,834.95,835.75,834.95,834.95,73,0
51,835.7,835.95,834.95,835.95,600,0
52,835.7,835.8,834.95,835.65,277,0
53,835.05,835.7,834.95,835.7,98,0
54,835.05,835.05,832,834.95,1095,0
55,835.05,835.05,834.85,835,296,0
56,835,835.6,834.95,835,88,0
57,835.7,835.7,835,835.65,75,0
58,835.05,835.35,834.95,834.95,44,0
59,835.7,835.7,835.05,835.05,43,0
60,834.9,835.7,834.9,835.7,554,0
61,835,835.55,835,835.55,118,0
62,835,835.35,835,835.05,174,0
63,835,835.65,834.95,835.65,164,0
64,834.9,834.9,834.35,834.65,443,0
65,834.95,834.95,834.95,834.95,10,0
66,835,835,834.95,834.95,300,0
67,835.1,835.4,834.95,835,451,0
68,834.95,835.7,834.95,835,122,0
69,835,835.8,835,835.8,264,0
70,835.05,835.6,835,835,81,0
71,835.6,835.6,834.6,835.6,588,0
72,835,835.6,835,835.6,314,0
73,835,835,834.95,835,268,0
74,835,835,835,835,125,0
75,835,835,835,835,679,0
76,835,835,834.95,835,350,0
77,835,835,834.75,835,1027,0
78,834.65,835,834.65,835,11,0
79,835,835,834.65,834.65,117,0
80,835,835,834.7,834.7,206,0
81,835,835,835,835,220,0
82,835,835,835,835,258,0
83,835,835,834.75,835,265,0
84,835,835,835,835,682,0
