EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1530762360,220.45,221,220.4,221,9660,0
1,219.7,220.45,219.7,220.45,9356,0
2,220,220.15,219.55,219.7,16646,0
3,220.5,220.5,219.35,220,3952,0
4,220.35,220.6,220.15,220.3,8360,0
5,221.1,221.3,220.3,220.3,7601,0
6,221.4,221.6,221.25,221.3,6923,0
7,221.4,221.5,221.3,221.3,5384,0
8,221.5,221.5,221.35,221.35,4995,0
9,221.05,221.5,220.9,221.5,6572,0
10,221.5,221.5,221,221,4756,0
11,221.25,221.45,221.05,221.45,2524,0
12,221.3,221.4,221.05,221.25,2577,0
13,220.95,221.3,220.85,221.3,11707,0
14,221.45,221.5,220.95,220.95,13571,0
15,220.95,221.5,220.95,221.45,4233,0
16,220.7,220.95,220.65,220.95,5832,0
17,221.25,221.35,220.7,220.7,6172,0
18,220.6,221.35,220.6,221.2,12288,0
19,221.2,221.2,220.5,220.55,14163,0
20,221.05,221.3,220.9,221.25,8075,0
21,220.6,221.05,220.5,221.05,7073,0
22,221.25,221.4,220.6,220.6,16600,0
23,220.6,221.1,220.6,221,9165,0
24,221.25,221.3,220.6,220.6,15551,0
25,221,221.25,220.95,221.25,14215,0
26,220.65,221,220.6,221,7790,0
27,220.75,221,220.65,220.65,6387,0
28,220.65,221,220.6,220.7,9804,0
29,220.6,220.95,220.55,220.95,5879,0
30,219.65,220.6,219.55,220.5,16638,0
31,219.75,219.75,219.55,219.65,7295,0
32,220,220.15,219.6,219.75,3919,0
33,220.2,220.2,219.85,219.95,14254,0
34,220.25,220.3,220,220.2,5539,0
35,220.75,220.9,220.3,220.3,10434,0
36,220.85,221,220.75,220.8,3293,0
37,220.7,220.85,220.7,220.75,4157,0
38,220.75,220.75,220.65,220.7,4169,0
39,220.5,220.75,220.5,220.75,1144,0
40,220.35,220.5,220.35,220.5,2312,0
41,220.35,220.4,220.25,220.35,2150,0
42,220.65,220.65,220.35,220.35,3688,0
43,220.55,220.65,220.55,220.65,1275,0
44,220.65,220.7,220.55,220.6,343,0
45,220.45,220.6,220.45,220.55,1358,0
46,220.6,220.6,220.45,220.5,575,0
47,220.65,220.75,220.6,220.6,1210,0
48,220.75,220.75,220.65,220.75,982,0
49,220.5,220.9,220.5,220.7,6818,0
50,220.55,220.6,220.45,220.45,1643,0
51,220.45,220.6,220.45,220.55,795,0
52,220.55,220.55,220.45,220.55,439,0
53,220.6,220.65,220.45,220.5,410,0
54,220.4,220.5,220.4,220.45,1318,0
55,220.4,220.45,220.2,220.4,4385,0
56,220.4,220.45,220.35,220.35,1978,0
57,220.15,220.25,220.15,220.25,2781,0
58,220.2,220.4,220.15,220.25,930,0
59,220.4,220.4,220.2,220.2,1370,0
60,220.5,220.5,220.25,220.3,1066,0
61,220.5,220.7,220.5,220.5,942,0
62,220.4,220.5,220.4,220.5,282,0
63,220.65,220.65,220.4,220.4,996,0
64,220.45,220.5,220.45,220.5,629,0
65,220.45,220.45,220.4,220.4,189,0
66,220.2,220.4,220.2,220.4,2958,0
67,220.15,220.3,220.15,220.2,289,0
68,220.3,220.3,220.15,220.15,169,0
69,220.25,220.25,220.25,220.25,330,0
70,220.1,220.25,220.1,220.25,2004,0
71,220,220.1,219.8,220,5153,0
72,220,220,219.8,220,2158,0
73,219.9,220,219.85,220,1733,0
74,220,220,219.8,219.85,3655,0
75,219.9,220,219.9,219.95,241,0
76,219.85,220.05,219.85,219.95,2966,0
77,219.85,220,219.8,219.85,1103,0
78,219.75,219.85,219.75,219.85,1423,0
79,219.45,219.75,219.45,219.75,11262,0
80,219.4,219.5,219.25,219.5,5309,0
81,219.25,219.4,219.25,219.4,2220,0
82,219.25,219.45,219.25,219.3,2023,0
83,219.1,219.35,219.1,219.25,10341,0
84,219.15,219.15,218.6,219.15,18638,0
85,219.25,219.4,219.1,219.25,4782,0
86,219.1,219.35,219.1,219.35,3606,0
87,219.25,219.25,219.1,219.2,2400,0
88,219.2,219.4,219,219.2,10676,0
89,219.25,219.4,219.2,219.2,1980,0
90,219.25,219.35,219.05,219.25,739,0
91,219.2,219.55,219.2,219.25,10208,0
92,219.45,219.45,219.3,219.35,4560,0
93,219.5,219.6,219.45,219.45,5047,0
94,219.55,219.7,219.55,219.65,737,0
95,219.6,219.6,219.4,219.55,23480,0
96,219.4,219.65,219.35,219.6,3380,0
97,219.4,219.4,219.3,219.4,1967,0
98,219,219.35,218.7,219.35,20123,0
99,218.75,218.8,218.7,218.8,1919,0
100,218.6,218.7,218.55,218.65,3804,0
101,218.55,218.6,218.5,218.55,9482,0
102,218.85,218.85,218.25,218.5,5980,0
103,218.8,218.9,218.75,218.9,1437,0
104,218.75,218.85,218.7,218.85,563,0
105,218.8,218.8,218.65,218.7,2223,0
106,218.7,218.8,218.7,218.7,975,0
107,218.85,218.85,218.7,218.7,2259,0
