EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532922360,84.85,85,84.55,84.85,111669,0
1,85.15,85.25,84.9,84.95,82535,0
2,85.1,85.2,85.05,85.1,78494,0
3,84.95,85.1,84.95,85.1,63530,0
4,84.9,85,84.9,85,73589,0
5,84.5,84.75,84.45,84.75,64532,0
6,84.8,84.8,84.35,84.45,38776,0
7,85.05,85.05,84.7,84.75,64749,0
8,85.4,85.5,85,85,118983,0
9,86.3,86.4,85.45,85.45,291024,0
10,86.25,86.4,86.2,86.35,164889,0
11,86.1,86.3,86,86.3,129130,0
12,86.05,86.15,86,86.15,72436,0
13,86,86.1,85.9,86,54633,0
14,86,86.05,85.85,86.05,86769,0
15,85.7,86,85.65,85.9,119747,0
16,85.3,85.75,85.25,85.7,124965,0
17,85.5,85.55,85.25,85.3,56731,0
18,85.7,85.7,85.45,85.45,52081,0
19,85.35,85.75,85.3,85.7,60844,0
20,85.2,85.35,85,85.35,111624,0
21,85.2,85.3,85.15,85.2,30711,0
22,85.15,85.4,85.15,85.2,76813,0
23,85.35,85.4,85.15,85.25,21923,0
24,85.05,85.4,85.05,85.3,77147,0
25,84.9,85.15,84.8,85.1,128889,0
26,85.1,85.15,84.85,84.9,18085,0
27,85.25,85.3,85,85.1,40414,0
28,85.15,85.3,85.1,85.25,36307,0
29,85.2,85.3,85.15,85.15,17337,0
30,85.45,85.6,85.3,85.3,86799,0
31,85.45,85.5,85.4,85.5,35720,0
32,85.35,85.45,85.3,85.35,13989,0
33,85.6,85.65,85.3,85.3,42310,0
34,85.85,85.9,85.6,85.6,69260,0
35,85.9,85.95,85.8,85.8,48285,0
36,85.85,85.9,85.85,85.85,27049,0
37,85.45,85.85,85.45,85.85,62422,0
38,85.5,85.6,85.45,85.5,31125,0
39,85.5,85.6,85.45,85.55,20444,0
40,85.2,85.5,85.2,85.5,64830,0
41,85.15,85.25,85.1,85.25,28862,0
42,85.25,85.35,85.1,85.25,24759,0
43,85.1,85.3,85,85.3,81365,0
44,85.35,85.35,85.05,85.2,13155,0
45,85.4,85.45,85.3,85.3,21009,0
46,85.45,85.45,85.3,85.4,16190,0
47,85.3,85.45,85.3,85.45,14304,0
48,85.3,85.4,85.25,85.3,51703,0
49,85.15,85.3,85.15,85.25,24591,0
50,85.05,85.2,85.05,85.15,11081,0
51,85.1,85.15,85,85.1,84446,0
52,85.1,85.15,85,85.05,9638,0
53,85.25,85.25,85.05,85.05,5481,0
54,84.95,85.25,84.9,85.2,40931,0
55,84.85,84.95,84.85,84.95,16688,0
56,84.85,84.9,84.85,84.85,16254,0
57,84.7,84.9,84.65,84.9,74544,0
58,84.65,84.7,84.55,84.65,28509,0
59,84.5,84.6,84.5,84.6,36685,0
60,84.4,84.55,84.35,84.5,43689,0
61,84.1,84.45,83.9,84.4,134866,0
62,84.5,84.5,84.1,84.1,59185,0
63,84.3,84.4,84.3,84.4,32345,0
64,84.55,84.55,84.3,84.3,21608,0
65,84.75,84.8,84.5,84.5,27265,0
66,84.75,84.8,84.6,84.75,25224,0
67,84.75,84.8,84.6,84.7,11979,0
68,84.9,84.9,84.75,84.75,12329,0
69,84.95,85,84.9,84.95,51134,0
70,84.75,85,84.7,85,16962,0
71,84.7,84.8,84.7,84.75,6483,0
72,84.65,84.75,84.65,84.7,12104,0
73,84.5,84.7,84.45,84.7,88470,0
74,84.45,84.55,84.4,84.55,11096,0
75,84.65,84.65,84.45,84.5,17265,0
76,84.95,84.95,84.65,84.65,26281,0
77,85.25,85.3,84.95,84.95,70746,0
78,85.2,85.3,85.15,85.25,15367,0
79,85.2,85.25,85.1,85.15,13685,0
80,85,85.2,85,85.2,3385,0
81,84.85,85,84.8,85,8128,0
82,84.85,84.9,84.8,84.8,13781,0
83,84.85,84.9,84.8,84.85,2800,0
84,84.9,84.9,84.85,84.9,2245,0
85,84.8,84.9,84.8,84.9,7776,0
86,84.8,84.9,84.75,84.85,8672,0
87,84.75,84.85,84.75,84.8,8694,0
88,84.5,84.75,84.5,84.75,19934,0
89,84.65,84.65,84.5,84.5,16915,0
90,84.7,84.75,84.65,84.75,11201,0
91,84.95,84.95,84.7,84.75,8280,0
92,85.05,85.05,84.95,85,13666,0
