EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,15.05,15.05,14.95,14.95,1682,0
1,15,15,15,15,2100,0
2,14.95,14.95,14.95,14.95,1136,0
3,14.95,14.95,14.9,14.9,3090,0
4,15.05,15.05,14.95,14.95,13426,0
5,15.05,15.05,15.05,15.05,588,0
6,15.15,15.15,15.1,15.1,7596,0
7,15.15,15.2,15.1,15.2,1055,0
8,15.3,15.3,15.15,15.15,19156,0
9,15.3,15.35,15.3,15.35,1101,0
10,15.3,15.4,15.3,15.3,2775,0
11,15.3,15.3,15.3,15.3,1525,0
12,15.3,15.3,15.3,15.3,1817,0
13,15.5,15.7,15.35,15.35,23515,0
14,15.5,15.55,15.4,15.5,16023,0
15,15.4,15.45,15.4,15.45,2855,0
16,15.2,15.4,15.2,15.4,2189,0
17,15.4,15.4,15.25,15.25,6664,0
18,15.25,15.25,15.25,15.25,200,0
19,15.4,15.4,15.3,15.3,6017,0
20,15.45,15.45,15.35,15.35,1300,0
21,15.4,15.4,15.4,15.4,1800,0
22,15.4,15.4,15.4,15.4,1100,0
23,15.35,15.35,15.35,15.35,1,0
24,15.35,15.35,15.35,15.35,30,0
25,15.35,15.35,15.35,15.35,700,0
26,15.4,15.4,15.4,15.4,251,0
27,15.4,15.4,15.35,15.4,758,0
30,15.35,15.35,15.35,15.35,1000,0
31,15.35,15.4,15.35,15.4,1600,0
32,15.4,15.4,15.4,15.4,100,0
36,15.4,15.4,15.35,15.35,551,0
37,15.35,15.35,15.35,15.35,1299,0
38,15.35,15.35,15.35,15.35,8351,0
39,15.25,15.35,15.25,15.3,1976,0
40,15.25,15.3,15.25,15.25,865,0
41,15.25,15.3,15.25,15.25,1955,0
42,15.3,15.35,15.25,15.25,1387,0
43,15.25,15.3,15.25,15.3,509,0
44,15.3,15.35,15.3,15.3,3001,0
45,15.3,15.35,15.3,15.3,677,0
46,15.3,15.35,15.3,15.3,4379,0
47,15.3,15.35,15.3,15.3,511,0
48,15.25,15.3,15.25,15.3,1502,0
49,15.25,15.25,15.25,15.25,507,0
50,15.25,15.35,15.25,15.25,2071,0
51,15.25,15.3,15.25,15.25,2785,0
52,15.25,15.25,15.25,15.25,339,0
53,15.25,15.25,15.25,15.25,1214,0
54,15.25,15.25,15.25,15.25,676,0
55,15.3,15.3,15.25,15.25,3306,0
56,15.3,15.3,15.3,15.3,144,0
57,15.3,15.3,15.3,15.3,360,0
58,15.3,15.3,15.3,15.3,640,0
59,15.25,15.35,15.25,15.35,62,0
61,15.25,15.25,15.2,15.25,2702,0
63,15.25,15.25,15.25,15.25,800,0
64,15.25,15.25,15.25,15.25,40,0
65,15.25,15.25,15.25,15.25,134,0
66,15.3,15.3,15.3,15.3,1,0
67,15.25,15.25,15.25,15.25,400,0
68,15.2,15.2,15.2,15.2,400,0
70,15.3,15.3,15.2,15.2,2150,0
71,15.3,15.3,15.2,15.25,909,0
74,15.25,15.25,15.25,15.25,10,0
77,15.2,15.2,15.2,15.2,300,0
78,15.3,15.3,15.3,15.3,10,0
80,15.3,15.3,15.3,15.3,602,0
82,15.3,15.3,15.3,15.3,100,0
83,15.3,15.3,15.25,15.25,150,0
84,15.25,15.25,15.25,15.25,225,0
