EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1529379960,9995.6,9995.6,9995.4,9995.4,13,0
1,9995.4,9995.4,9995.4,9995.4,4,0
2,9995.4,9995.4,9995.4,9995.4,27,0
3,9950.9,9950.9,9950.9,9950.9,1,0
4,9970,9970.9,9970,9970.9,2,0
5,9970,9970,9970,9970,2,0
9,9965,9965,9965,9965,4,0
10,9969,9969,9965,9965,20,0
11,9955.05,9955.05,9955.05,9955.05,7,0
13,9969,9969,9969,9969,1,0
14,9903,9910,9903,9910,45,0
15,9913.3,9950,9913.3,9950,5,0
16,9917.05,9917.05,9915.8,9915.8,4,0
17,9915,9917.15,9915,9917.15,7,0
18,9901,9910,9901,9910,5,0
19,9901,9901,9901,9901,1,0
20,9900.1,9900.1,9900.1,9900.1,10,0
21,9908.7,9908.7,9900.1,9900.1,7,0
23,9923.05,9923.05,9923.05,9923.05,1,0
24,9923.1,9923.1,9923.05,9923.05,2,0
34,9933.05,9933.05,9933.05,9933.05,1,0
35,9934,9934,9932.75,9933.05,6,0
36,9935,9935,9934,9934,3,0
37,9948.2,9948.2,9948.2,9948.2,1,0
42,9944.95,9944.95,9944.95,9944.95,1,0
43,9944.95,9944.95,9944.95,9944.95,1,0
44,9925.15,9925.15,9925.15,9925.15,1,0
45,9925.35,9925.35,9925.35,9925.35,4,0
47,9925,9925,9925,9925,12,0
48,9923.05,9923.05,9923.05,9923.05,1,0
51,9923,9923,9923,9923,12,0
55,9944.85,9944.85,9944.85,9944.85,2,0
59,9923.15,9923.15,9923.15,9923.15,6,0
60,9924.85,9924.85,9924.85,9924.85,1,0
63,9925,9945,9925,9945,7,0
64,9945,9945,9925,9925,12,0
65,9945,9945,9945,9945,2,0
66,9945,9945,9945,9945,1,0
70,9937.15,9937.15,9937.15,9937.15,1,0
73,9944,9944,9944,9944,5,0
75,9926,9927,9926,9927,7,0
81,9923.15,9923.15,9923.15,9923.15,8,0
82,9923.15,9923.15,9923.15,9923.15,1,0
85,9923.15,9938.65,9923.15,9938.65,7,0
87,9925,9925,9925,9925,5,0
89,9938.7,9938.7,9938.7,9938.7,1,0
91,9925,9925,9925,9925,12,0
93,9927.9,9927.9,9925,9925,9,0
99,9943.9,9943.9,9943.9,9943.9,2,0
104,9959.95,9959.95,9950,9950,6,0
106,9961.95,9961.95,9961.95,9961.95,3,0
112,9962,9962,9962,9962,2,0
113,9962,9962,9962,9962,1,0
114,9965.5,9965.5,9965.5,9965.5,7,0
118,9952,9952,9952,9952,1,0
125,9945,9945,9942,9943.3,105,0
126,9960,9960,9942.05,9942.05,6,0
128,9932,9932,9932,9932,25,0
130,9950.15,9950.15,9950.15,9950.15,4,0
131,9935.05,9935.05,9935.05,9935.05,1,0
133,9933.9,9935,9933.9,9935,10,0
135,9933.5,9933.5,9933.5,9933.5,5,0
140,9932,9932,9932,9932,1,0
143,9932,9932,9932,9932,4,0
144,9932,9932,9932,9932,12,0
145,9932,9932,9932,9932,1,0
146,9932,9932,9932,9932,2,0
147,9931,9931,9931,9931,2,0
148,9927,9927,9927,9927,1,0
153,9928,9928,9928,9928,4,0
155,9928,9928,9928,9928,7,0
157,9928,9928,9928,9928,10,0
158,9928,9928,9928,9928,1,0
159,9930,9930,9930,9930,6,0
160,9975,9975,9975,9975,20,0
165,9942.6,9942.6,9942.6,9942.6,1,0
168,9965,9965,9965,9965,2,0
169,9964.95,9964.95,9964.95,9964.95,1,0
172,9942.6,9942.6,9942.6,9942.6,1,0
178,9945,9945,9942.55,9942.55,2630,0
180,9942,9945.05,9942,9945.05,4,0
181,9945,9945,9945,9945,31,0
182,9965,9965,9965,9965,18,0
186,9990,9990,9990,9990,29,0
187,9990,9990,9990,9990,6,0
188,9969,9969,9969,9969,1,0
200,9965.05,9965.05,9965.05,9965.05,6,0
204,9950,9951.65,9928.1,9951.65,29,0
206,9958.15,9958.15,9958.15,9958.15,3,0
208,9946.2,9946.2,9946.2,9946.2,2,0
212,9946.2,9946.2,9946.2,9946.2,3,0
213,9951.1,9951.1,9951.1,9951.1,5,0
221,9945.05,9945.05,9945.05,9945.05,2,0
222,9945.2,9945.2,9945.2,9945.2,1,0
225,9945,9945,9945,9945,4,0
226,9950,9950,9950,9950,1,0
230,9963.55,9963.55,9963.55,9963.55,1,0
231,9939.85,9945,9939.85,9945,10,0
232,9981.95,9981.95,9981.95,9981.95,45,0
236,9977.95,9977.95,9977.95,9977.95,2,0
240,9948.45,9948.45,9941,9941,10,0
244,9954.8,9954.8,9954.8,9954.8,4,0
246,9952.05,9952.05,9952.05,9952.05,5,0
247,9995,9995,9995,9995,20,0
253,9952.05,9952.05,9952,9952,10,0
257,9953.1,9953.1,9953.1,9953.1,2,0
270,9953.3,9953.3,9953.3,9953.3,1,0
274,9953.1,9953.1,9953.1,9953.1,8,0
