EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532576760,10680,10699.95,10680,10699.95,2,0
2,10673.8,10673.8,10673.8,10673.8,2,0
3,10668.55,10668.55,10668.55,10668.55,1,0
5,10587.4,10587.4,10587.4,10587.4,1,0
6,10650.9,10650.9,10650.9,10650.9,1,0
8,10535.35,10649.95,10535.35,10649.95,11,0
11,10587.6,10600,10587.6,10600,4,0
12,10600,10600,10600,10600,2,0
16,10600,10600.05,10600,10600.05,6,0
18,10637.9,10637.9,10600.05,10600.05,5,0
19,10640.55,10640.55,10640.55,10640.55,1,0
20,10647.95,10647.95,10647.95,10647.95,2,0
22,10648,10648,10648,10648,2,0
23,10650.6,10650.6,10610,10610,6,0
27,10625,10625,10625,10625,1,0
28,10610,10610,10610,10610,1,0
34,10640,10640,10640,10640,4,0
36,10610,10645,10610,10645,8,0
37,10610,10610,10610,10610,4,0
38,10600,10600,10600,10600,2,0
42,10600,10600,10600,10600,2,0
43,10600,10600,10600,10600,1,0
44,10535.85,10560,10535.85,10560,20,0
46,10536.35,10536.35,10536.35,10536.35,4,0
47,10510.35,10526.4,10510.35,10526.4,2,0
48,10500.1,10520,10500.1,10520,5,0
52,10500.1,10500.1,10500.1,10500.1,1,0
56,10530,10530,10530,10530,5,0
61,10506,10506,10506,10506,1,0
62,10510,10510,10510,10510,1,0
66,10536.3,10536.3,10536.3,10536.3,1,0
71,10536.35,10536.35,10534.45,10534.45,4,0
75,10510.05,10510.05,10510.05,10510.05,1,0
76,10510,10510,10510,10510,1,0
77,10536.35,10536.35,10536.35,10536.35,4,0
78,10536.35,10536.35,10536.35,10536.35,5,0
82,10584.45,10584.45,10584.45,10584.45,1,0
86,10535.85,10535.85,10535.85,10535.85,2,0
93,10535,10535,10535,10535,1,0
96,10515,10515,10515,10515,1,0
97,10535,10535,10535,10535,1,0
98,10516.45,10516.45,10516.45,10516.45,1,0
101,10516.45,10516.45,10516.45,10516.45,10,0
102,10516.45,10516.45,10516.45,10516.45,1,0
104,10527,10527,10516.45,10516.45,3,0
105,10540.75,10540.75,10540.75,10540.75,1,0
110,10561.75,10561.75,10561.75,10561.75,1,0
111,10550,10550,10550,10550,1,0
114,10573.9,10573.9,10573.9,10573.9,1,0
117,10574.85,10574.85,10574.85,10574.85,11,0
127,10566,10566,10566,10566,2,0
133,10599.95,10599.95,10582.35,10582.35,13,0
139,10579.3,10579.3,10516.05,10516.05,12,0
140,10599.95,10599.95,10599.95,10599.95,4,0
145,10548.9,10548.9,10548.9,10548.9,1,0
157,10550.15,10550.15,10550.15,10550.15,1,0
169,10550.1,10550.1,10550.1,10550.1,6,0
173,10510,10510,10510,10510,19,0
177,10572.35,10572.35,10572.35,10572.35,2,0
178,10597.7,10597.7,10597.7,10597.7,2,0
184,10534,10534,10534,10534,1,0
187,10535,10535,10535,10535,5,0
188,10597.9,10597.9,10597.9,10597.9,5,0
191,10597.9,10597.9,10597.9,10597.9,5,0
206,10599,10599,10599,10599,1,0
209,10599,10600,10599,10600,29,0
220,10575.05,10600,10575.05,10600,8,0
224,10600,10600,10600,10600,25,0
228,10600,10600,10575.05,10575.05,17,0
229,10575,10575,10575,10575,3,0
235,10599.95,10599.95,10599.95,10599.95,1,0
236,10600,10600,10600,10600,12,0
251,10580,10580,10580,10580,1,0
252,10599.9,10599.9,10599.9,10599.9,1,0
256,10580.05,10580.05,10580.05,10580.05,1,0
263,10580,10600,10580,10600,12,0
268,10580,10580,10580,10580,1,0
269,10571,10571,10571,10571,1,0
270,10570.05,10570.05,10570.05,10570.05,1,0
275,10570.05,10570.05,10570.05,10570.05,1,0
278,10530.85,10538.05,10500,10500,57,0
286,10557.2,10557.2,10557.2,10557.2,1,0
297,10600,10600,10600,10600,46,0
298,10600,10600,10600,10600,1,0
299,10600,10600,10600,10600,5,0
311,10600,10600,10600,10600,13,0
312,10599.9,10599.9,10599.9,10599.9,1,0
315,10585.9,10585.9,10585.9,10585.9,2,0
317,10550.25,10550.25,10550.25,10550.25,1,0
319,10599.95,10599.95,10599.95,10599.95,1,0
330,10600,10600,10600,10600,5,0
332,10600,10600,10600,10600,1,0
334,10600,10600,10600,10600,1,0
335,10600,10600,10600,10600,1,0
343,10560.9,10560.9,10560.9,10560.9,7,0
344,10500,10550,10500,10550,25,0
345,10583.55,10583.55,10583.55,10583.55,1,0
346,10582.95,10593.5,10531,10593.5,4,0
347,10567.85,10568.4,10541.9,10541.9,5,0
348,10594.65,10594.65,10586.85,10586.85,6,0
349,10594.65,10594.65,10594.65,10594.65,4,0
355,10557.9,10557.9,10557.9,10557.9,1,0
356,10594.4,10594.4,10581.25,10581.25,3,0
357,10578.45,10585,10553.55,10557.85,7,0
358,10580,10580,10577.2,10577.2,3,0
360,10600,10600,10572.25,10572.25,10,0
362,10571.45,10571.45,10571.45,10571.45,1,0
