EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532922360,1125.6,1127.5,1124.5,1127.5,3225,0
1,1125.75,1126,1123.55,1125.45,2824,0
2,1124.8,1125.45,1124,1125,401,0
3,1125.15,1126.4,1124.15,1125,1612,0
4,1125,1125.95,1125,1125.95,903,0
5,1124.85,1125,1123.55,1124.75,829,0
6,1124.45,1125,1124.45,1124.8,1415,0
7,1125.2,1125.45,1125,1125.45,747,0
8,1125.6,1126.2,1125.25,1125.25,1760,0
9,1125.75,1126.95,1124.85,1126,1125,0
10,1127,1127,1125.9,1125.9,780,0
11,1127.4,1127.55,1126.7,1126.7,414,0
12,1130,1130.75,1127.4,1127.6,2075,0
13,1130,1132.05,1129.55,1130.85,3236,0
14,1130.9,1131.6,1130,1130.5,821,0
15,1129.15,1131.1,1128,1131.1,2157,0
16,1128.4,1129.55,1127.85,1129.2,1722,0
17,1128.5,1129.65,1128,1128.55,357,0
18,1128.75,1129.15,1127.5,1128.35,608,0
19,1128.2,1128.75,1127,1128.5,445,0
20,1128.05,1128.75,1128.05,1128.2,192,0
21,1130.1,1130.55,1128.55,1128.55,1125,0
22,1131,1131.35,1130.1,1130.1,929,0
23,1134.8,1134.8,1131,1131,3474,0
24,1136.95,1137,1134.05,1134.25,4706,0
25,1136.3,1136.95,1133.85,1136.95,4346,0
26,1136,1136.15,1135,1135,2504,0
27,1135,1136.05,1134.5,1136,4269,0
28,1135,1135.4,1134.4,1135.4,800,0
29,1135.05,1136,1133.85,1134.5,965,0
30,1136,1136.05,1135,1135.5,1264,0
31,1134.75,1135.95,1133.5,1135.25,1804,0
32,1133.6,1135,1133.5,1134.75,879,0
33,1133.9,1134.45,1133.05,1133.05,191,0
34,1133.65,1133.75,1132.75,1133.35,1430,0
35,1133,1133.65,1133,1133.65,785,0
36,1132.3,1132.75,1132,1132.7,1742,0
37,1132,1132,1131.5,1132,954,0
38,1132,1132,1131.8,1131.8,640,0
39,1132,1132,1131.5,1131.8,140,0
40,1131.5,1132,1130.9,1132,1024,0
41,1132,1132,1131.5,1131.5,240,0
42,1133,1133,1131.15,1132,617,0
43,1132.5,1133.8,1132.25,1133.25,722,0
44,1133.55,1133.55,1132.25,1132.5,1066,0
45,1134.3,1134.45,1134.1,1134.1,280,0
46,1133.7,1134,1133.45,1133.8,303,0
47,1134.1,1134.55,1133.3,1133.75,329,0
48,1135,1135,1133.8,1133.8,1795,0
49,1134.7,1135,1134.7,1135,456,0
50,1134.6,1135,1134.6,1134.75,901,0
51,1133.6,1135,1133.6,1135,518,0
52,1132.15,1134,1132,1134,453,0
53,1130.85,1132.75,1130.85,1132.75,123,0
54,1126,1130.5,1126,1130.05,4555,0
55,1129,1129.55,1125.75,1125.75,2626,0
56,1127.2,1129.5,1127,1129,6505,0
57,1127.8,1129.15,1127.2,1127.25,3482,0
58,1128.05,1128.6,1127.85,1127.85,1178,0
59,1128,1128.95,1127.55,1128.15,4004,0
60,1126.95,1128.6,1126.95,1128,1454,0
61,1122.1,1126.6,1121.2,1126.6,5632,0
62,1126.95,1127.1,1122.05,1122.05,1065,0
63,1125,1126.95,1124.05,1126.95,967,0
64,1125.4,1125.95,1124.3,1125.05,2189,0
65,1124.7,1125.35,1124.7,1125.35,973,0
66,1122.15,1125,1122.15,1125,1418,0
67,1122.55,1123.4,1122.4,1122.4,609,0
68,1123,1123.05,1122.25,1122.75,309,0
69,1123.5,1123.5,1122.4,1123.05,1255,0
70,1123.1,1123.95,1122.55,1123.9,157,0
71,1122.7,1123.9,1122.5,1122.55,478,0
72,1123.9,1124.65,1123,1123.3,891,0
73,1122.5,1123.2,1122.5,1123.1,194,0
74,1123,1123.15,1122.5,1122.5,832,0
75,1123.6,1123.6,1122.35,1122.7,144,0
76,1123.25,1123.25,1122.15,1122.25,444,0
77,1123.85,1123.95,1123.4,1123.4,125,0
78,1122.55,1123.55,1122.55,1122.8,70,0
79,1122.95,1122.95,1122.5,1122.55,291,0
80,1123.95,1123.95,1122.55,1122.55,1752,0
81,1124,1124.05,1123.5,1123.95,493,0
82,1122.1,1124,1122.1,1124,204,0
83,1124,1124.1,1122.9,1123.1,580,0
84,1123.5,1124.3,1123.5,1124,425,0
85,1123.5,1124,1123.3,1123.5,342,0
86,1123.3,1123.5,1123.3,1123.5,189,0
87,1124,1124,1123.6,1124,425,0
88,1124.45,1124.45,1124,1124,117,0
89,1124.3,1124.5,1124.3,1124.4,694,0
90,1124.4,1124.45,1124.3,1124.45,833,0
91,1124.5,1124.75,1123.65,1123.95,2902,0
92,1124.5,1124.5,1124.15,1124.45,434,0
