EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,75.65,75.65,75.35,75.5,254271,0
1,75.9,75.9,75.6,75.6,89957,0
2,75.65,75.9,75.65,75.9,111322,0
3,75.6,75.75,75.6,75.7,74549,0
4,75.8,75.8,75.65,75.7,73526,0
5,75.9,75.9,75.7,75.8,78375,0
6,75.95,76.05,75.8,75.9,102381,0
7,75.8,75.9,75.7,75.9,103646,0
8,75.6,75.8,75.5,75.7,188799,0
9,75.6,75.75,75.5,75.5,74013,0
10,75.5,75.65,75.5,75.65,210171,0
11,75.6,75.65,75.5,75.5,36064,0
12,75.65,75.7,75.55,75.6,59457,0
13,75.65,75.7,75.45,75.65,112360,0
14,75.8,75.85,75.55,75.55,126989,0
15,75.7,75.8,75.65,75.75,19095,0
16,75.7,75.8,75.6,75.8,23038,0
17,75.7,75.75,75.65,75.7,16269,0
18,75.7,75.75,75.6,75.65,22681,0
19,75.7,75.7,75.6,75.65,12874,0
20,75.65,75.7,75.55,75.65,57362,0
21,75.95,76,75.6,75.65,217129,0
22,75.85,76.1,75.85,75.95,172465,0
23,75.95,76,75.85,75.9,40224,0
24,75.9,75.95,75.85,75.95,34351,0
25,75.9,75.9,75.85,75.85,12317,0
26,75.85,75.9,75.8,75.9,16044,0
27,75.85,75.85,75.8,75.8,12913,0
28,75.85,75.85,75.8,75.85,42239,0
29,75.95,75.95,75.75,75.85,39984,0
30,75.85,75.95,75.85,75.9,12352,0
31,75.85,75.9,75.8,75.9,5529,0
32,75.9,75.95,75.85,75.85,21185,0
33,75.95,75.95,75.85,75.85,11272,0
34,75.85,75.95,75.8,75.85,44394,0
35,75.7,75.8,75.55,75.8,120289,0
36,75.7,75.75,75.6,75.7,47869,0
37,75.7,75.75,75.6,75.75,80174,0
38,75.7,75.7,75.6,75.65,33459,0
39,75.8,75.8,75.65,75.7,15040,0
40,75.8,75.85,75.7,75.75,88223,0
41,75.75,75.85,75.75,75.75,9713,0
42,75.75,75.8,75.65,75.75,5274,0
43,75.75,75.8,75.7,75.7,7277,0
44,75.8,75.85,75.65,75.8,37258,0
45,75.75,75.75,75.7,75.75,39893,0
46,75.7,75.75,75.65,75.75,35783,0
47,75.75,75.75,75.6,75.7,22372,0
48,75.85,75.9,75.7,75.7,41516,0
49,75.85,75.85,75.8,75.85,10412,0
50,75.9,75.9,75.8,75.8,30065,0
51,75.8,75.9,75.8,75.9,24829,0
52,75.9,75.9,75.8,75.85,22420,0
53,75.8,75.9,75.8,75.85,9261,0
54,75.8,75.9,75.75,75.85,12509,0
55,75.75,75.8,75.7,75.75,9455,0
56,75.7,75.75,75.65,75.75,16434,0
57,75.7,75.75,75.65,75.7,31456,0
58,75.65,75.7,75.6,75.7,15029,0
59,75.6,75.7,75.55,75.65,91132,0
60,75.45,75.6,75.45,75.55,158254,0
61,75.6,75.6,75.45,75.45,31201,0
62,75.7,75.75,75.55,75.55,22377,0
63,75.6,75.7,75.6,75.65,11797,0
64,75.65,75.7,75.6,75.6,14767,0
65,75.6,75.65,75.55,75.65,17726,0
66,75.55,75.6,75.45,75.6,21361,0
67,75.45,75.6,75.45,75.6,20819,0
68,75.45,75.5,75.4,75.45,47463,0
69,75.5,75.55,75.45,75.5,32370,0
70,75.45,75.5,75.45,75.5,22332,0
71,75.4,75.4,75.3,75.35,193321,0
72,75.45,75.5,75.35,75.45,18389,0
73,75.5,75.5,75.4,75.45,14181,0
74,75.4,75.55,75.35,75.55,58345,0
75,75.35,75.45,75.3,75.35,33865,0
76,75.2,75.4,75.1,75.4,151039,0
77,75.3,75.35,75.2,75.25,40758,0
78,75.3,75.4,75.2,75.2,30785,0
79,75.35,75.45,75.3,75.35,29695,0
80,75.35,75.4,75.3,75.4,12546,0
81,75.35,75.4,75.3,75.35,15199,0
82,75.35,75.4,75.3,75.4,21255,0
83,75.25,75.35,75.25,75.35,24542,0
84,75.25,75.3,75.2,75.3,24345,0
