EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1530848760,181.55,181.6,180.9,181.55,10297,0
1,181.9,181.9,181.6,181.6,9733,0
2,181.95,182.1,181.8,181.9,21849,0
3,181.8,182,181.8,182,5551,0
4,181.8,181.95,181.65,181.85,3223,0
5,181.7,181.75,181.25,181.6,22011,0
6,182.1,182.3,181.8,181.8,39563,0
7,182,182.15,182,182,15212,0
8,181.5,181.9,181.45,181.9,4037,0
9,181.7,181.7,181.45,181.45,10983,0
10,181.25,181.75,181.25,181.7,24041,0
11,181.35,181.45,181.15,181.2,14088,0
12,181.45,181.55,181.35,181.35,4063,0
13,181.45,181.55,181.35,181.55,4655,0
14,181.85,181.85,181.4,181.45,6780,0
15,181.75,181.9,181.65,181.85,9852,0
16,181.45,181.75,181.45,181.75,3942,0
17,181.45,181.5,181.35,181.4,4278,0
18,181.5,181.5,181.3,181.45,2496,0
19,181.4,181.5,181.4,181.45,747,0
20,181.5,181.55,181.35,181.45,4494,0
21,181.45,181.5,181.3,181.45,1963,0
22,181.4,181.45,181.3,181.4,3065,0
23,181.3,181.45,181.25,181.35,3603,0
24,181.4,181.5,181.3,181.5,4239,0
25,181.45,181.55,181.4,181.45,2721,0
26,181.55,181.55,181.35,181.55,3119,0
27,181.45,181.55,181.45,181.5,5059,0
28,181.55,181.55,181.45,181.55,7007,0
29,181.45,181.5,181.4,181.5,339,0
30,181.6,181.6,181.4,181.4,2187,0
31,181.6,181.65,181.5,181.65,13644,0
32,181.5,181.6,181.45,181.6,4764,0
33,181.6,181.75,181.5,181.5,3757,0
34,181.6,181.75,181.6,181.75,662,0
35,181.6,181.8,181.6,181.75,2898,0
36,181.7,181.75,181.7,181.75,633,0
37,181.65,181.7,181.6,181.7,1768,0
38,181.65,181.75,181.65,181.65,1249,0
39,181.65,181.75,181.6,181.6,1789,0
40,181.75,181.75,181.65,181.65,1551,0
41,181.8,181.8,181.65,181.65,746,0
42,181.75,181.8,181.75,181.8,1168,0
43,181.75,181.85,181.75,181.8,1092,0
44,181.55,181.8,181.55,181.8,8557,0
45,181.65,181.65,181.5,181.6,4287,0
46,181.6,181.7,181.6,181.65,4648,0
47,181.6,181.8,181.55,181.65,105430,0
48,181.9,181.9,181.6,181.65,3476,0
49,181.9,182.1,181.8,181.8,6185,0
50,182.05,182.05,181.9,181.9,5272,0
51,182.05,182.05,181.85,182.05,3883,0
52,182.05,182.1,182.05,182.1,2579,0
53,181.75,182,181.75,182,190634,0
54,181.75,181.75,181.7,181.75,13530,0
55,181.65,181.75,181.65,181.75,4859,0
56,181.6,181.75,181.6,181.75,2240,0
57,181.75,181.75,181.55,181.6,9909,0
58,181.65,181.75,181.65,181.65,3069,0
59,181.55,181.75,181.55,181.75,3412,0
60,181.7,181.75,181.65,181.65,242,0
61,181.7,181.75,181.6,181.7,5435,0
62,181.7,181.7,181.7,181.7,404,0
63,181.75,181.8,181.75,181.75,2275,0
64,181.8,181.9,181.75,181.8,3357,0
65,181.9,181.9,181.8,181.8,4053,0
66,181.8,181.9,181.8,181.85,6159,0
67,181.75,181.85,181.75,181.8,9047,0
68,181.75,181.75,181.7,181.75,5869,0
69,181.85,181.9,181.7,181.75,3399,0
70,181.65,182.1,181.65,181.8,17130,0
71,181.65,181.8,181.6,181.75,7983,0
72,181.65,181.8,181.65,181.8,1615,0
73,181.65,181.75,181.6,181.75,1404,0
74,181.7,181.7,181.55,181.7,2952,0
75,181.75,181.8,181.7,181.75,2654,0
76,181.75,181.8,181.75,181.8,4892,0
77,181.8,181.8,181.7,181.75,7606,0
78,181.75,181.8,181.75,181.8,2341,0
79,181.75,181.8,181.75,181.8,1059,0
80,181.75,181.9,181.75,181.8,83206,0
81,181.85,182,181.8,181.9,88362,0
82,181.85,181.85,181.85,181.85,5256,0
83,181.95,182.05,181.85,181.9,5752,0
84,181.85,182.05,181.8,181.95,3388,0
85,182,182,181.85,181.85,2012,0
86,181.85,181.95,181.85,181.95,3623,0
87,181.9,182,181.85,181.95,2847,0
88,181.9,182,181.9,181.9,2485,0
89,181.95,181.95,181.9,181.95,251,0
90,181.9,182,181.9,181.9,6350,0
91,182,182.1,181.9,181.9,3248,0
92,181.85,182.1,181.85,181.9,5143,0
93,181.9,182,181.85,181.9,7484,0
94,181.8,182,181.8,181.95,2025,0
95,181.85,182,181.8,181.95,1221,0
96,181.85,181.9,181.8,181.9,3204,0
97,181.8,181.9,181.8,181.85,1525,0
98,181.95,182,181.85,181.9,414909,0
99,181.95,182,181.95,182,12070,0
100,181.95,181.95,181.85,181.95,3310,0
101,181.85,181.95,181.85,181.9,3842,0
102,181.9,181.95,181.8,181.95,1293,0
103,182,182,181.85,181.95,2233,0
104,182,182.05,181.95,182,9267,0
105,181.9,182,181.9,181.95,30294,0
106,182,182,181.9,181.9,5972,0
