EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,251.3,251.3,251.3,251.3,1,0
1,250.95,251.05,250.95,251.05,96,0
3,251.35,251.35,251.35,251.35,50,0
4,251.35,251.35,251.35,251.35,50,0
5,251.4,251.65,251.4,251.65,125,0
8,252,252,252,252,70,0
11,251.5,252,251.5,252,669,0
12,251.1,251.1,251.1,251.1,20,0
13,251.3,251.3,251.3,251.3,12,0
16,251.65,251.65,251.3,251.3,307,0
17,251.65,251.65,251.65,251.65,40,0
18,252,252,252,252,125,0
20,251.75,251.75,251.75,251.75,15,0
22,252.25,252.25,251.75,251.75,479,0
24,252.1,252.1,252.1,252.1,50,0
25,252.25,252.25,252.25,252.25,50,0
26,251.8,251.85,251.8,251.85,2,0
28,251.75,252,251.75,252,21,0
37,252,252,252,252,100,0
41,252,252,252,252,50,0
45,251.7,251.7,251.7,251.7,80,0
48,252,252,251.65,251.65,11,0
54,252,252,252,252,168,0
58,252.15,252.15,252.15,252.15,10,0
59,252.15,252.15,252.15,252.15,40,0
66,252.45,252.45,252.45,252.45,158,0
67,253.45,253.45,253.45,253.45,400,0
69,253.8,253.8,253.8,253.8,5,0
70,254.8,254.8,254.25,254.25,141,0
71,255.4,255.85,255,255,385,0
72,255.4,255.4,255.4,255.4,1,0
73,254,254.6,254,254.6,490,0
74,254.3,254.3,254.3,254.3,15,0
75,254.3,254.3,254.3,254.3,25,0
76,254.1,254.1,254.1,254.1,4,0
78,252.4,254,252.4,254,703,0
81,252.95,252.95,252.95,252.95,10,0
84,252.95,252.95,252.95,252.95,2,0
