EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,1165,1165,1155.25,1159.65,1963,0
1,1167.7,1167.7,1160,1165,2069,0
2,1167.05,1169.45,1165,1167.15,1979,0
3,1166,1168,1165,1167.05,626,0
4,1160.7,1165.15,1160.15,1165.15,1155,0
5,1161,1163,1160,1163,1537,0
6,1159.4,1162,1159.4,1160.05,2970,0
7,1160.05,1161,1159.95,1160.85,2439,0
8,1161,1161,1159.15,1160.05,1925,0
9,1161.65,1161.7,1160,1160.3,273,0
10,1160.5,1161.65,1160,1160.5,999,0
11,1162.15,1162.15,1159.95,1160.05,5156,0
12,1160.75,1163.2,1160.75,1163.2,730,0
13,1162.95,1162.95,1160.3,1160.3,1679,0
14,1162.25,1163.5,1159.55,1162,734,0
15,1162.2,1162.25,1160.95,1162.25,225,0
16,1160,1160,1160,1160,50,0
17,1161.6,1161.6,1161.6,1161.6,5,0
18,1161,1161.6,1160.35,1161.6,96,0
19,1160,1160.95,1160,1160,1107,0
20,1160.45,1161.15,1160.45,1160.45,28,0
21,1163.5,1163.5,1161.05,1161.6,261,0
22,1162,1163.25,1161.6,1163.1,581,0
23,1162,1162,1161.5,1162,230,0
24,1161.45,1163,1161.05,1162.1,386,0
25,1161,1161.15,1161,1161.15,114,0
26,1161.05,1161.05,1161,1161,36,0
27,1162.4,1163,1160.1,1161,599,0
28,1162.85,1162.9,1160.6,1160.6,47,0
30,1166.85,1166.85,1161.85,1161.9,1697,0
31,1167.5,1167.5,1165,1166.85,2098,0
32,1167.65,1169,1166.7,1167.5,1543,0
33,1167,1170,1167,1167.65,2984,0
34,1166,1168.7,1165.5,1166.5,1607,0
35,1165.75,1167,1165,1166.95,443,0
36,1166,1169,1165,1166,2756,0
37,1167.9,1168,1166.9,1168,724,0
38,1166.5,1167.5,1165.9,1167.5,278,0
39,1164,1166,1164,1166,706,0
40,1165.45,1165.45,1163.5,1164,860,0
41,1166.05,1166.05,1165.4,1166,585,0
42,1167.1,1167.85,1166.2,1166.2,259,0
43,1169,1169,1167.95,1167.95,461,0
44,1166.45,1168.2,1166.25,1168.2,854,0
45,1167.6,1167.6,1166.45,1166.45,102,0
46,1168,1168,1167.1,1167.5,328,0
47,1169.1,1170,1168,1168,4484,0
48,1170.9,1171.8,1168,1168,3810,0
49,1170.25,1170.85,1167.65,1170.25,1250,0
50,1168.35,1170.35,1168.35,1169.55,593,0
51,1168.8,1169,1167.85,1168.95,327,0
52,1169,1169,1167.15,1167.15,387,0
53,1167,1167,1167,1167,172,0
54,1165.9,1167.9,1165.9,1167.65,593,0
55,1164.2,1165.85,1163.65,1165.85,617,0
56,1162,1164.7,1161.35,1164.5,2373,0
57,1162.45,1163.35,1162,1162,868,0
58,1163.65,1163.95,1162.4,1162.4,433,0
59,1162.95,1163.9,1161,1163.65,1453,0
60,1161.3,1162.95,1160.95,1161.1,840,0
61,1162,1163.55,1161.2,1162.05,478,0
62,1162.1,1163,1162,1162,292,0
63,1162.5,1162.6,1162.1,1162.5,229,0
64,1162.45,1163.35,1161.2,1162.8,340,0
65,1161.5,1162.25,1161.5,1161.5,128,0
66,1162.45,1162.45,1161.5,1161.5,111,0
67,1162.8,1162.9,1161.55,1162.9,482,0
68,1162.75,1162.75,1161.95,1161.95,85,0
69,1161.9,1163.7,1161.9,1163.7,614,0
70,1162,1162,1161.2,1161.5,234,0
71,1161.2,1162.1,1161.2,1162.1,264,0
72,1162.95,1163,1161.5,1161.65,326,0
73,1161.8,1161.9,1161.8,1161.9,50,0
74,1163.8,1164,1161.75,1162.5,858,0
75,1162,1163.8,1161.85,1163.8,54,0
76,1162,1162,1162,1162,5,0
77,1162,1162,1162,1162,65,0
78,1163,1163.35,1162,1162,329,0
79,1163.6,1164,1162.1,1162.1,438,0
80,1162.15,1164,1162.15,1162.25,143,0
81,1162.3,1164,1162.15,1162.15,307,0
82,1163,1164,1163,1164,456,0
83,1162.7,1162.7,1162.7,1162.7,11,0
84,1163,1163,1162.5,1162.5,135,0
