EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,12.85,12.95,12.8,12.95,310157,0
1,12.85,12.9,12.8,12.85,101888,0
2,12.9,12.9,12.8,12.85,323720,0
3,12.85,12.9,12.85,12.85,152737,0
4,12.85,12.9,12.85,12.9,100769,0
5,12.85,12.9,12.85,12.85,235600,0
6,12.9,12.9,12.85,12.9,87747,0
7,12.9,12.9,12.85,12.85,123376,0
8,12.8,12.9,12.8,12.85,249591,0
9,12.85,12.9,12.85,12.85,170666,0
10,12.85,12.85,12.8,12.85,88277,0
11,12.8,12.85,12.75,12.85,394391,0
12,12.8,12.8,12.75,12.8,123042,0
13,12.8,12.85,12.75,12.8,168324,0
14,12.8,12.85,12.8,12.85,159806,0
15,12.85,12.85,12.8,12.85,133333,0
16,12.8,12.85,12.75,12.85,87003,0
17,12.75,12.8,12.75,12.8,124947,0
18,12.75,12.8,12.75,12.75,87611,0
19,12.8,12.8,12.75,12.8,71332,0
20,12.8,12.8,12.75,12.75,106596,0
21,12.8,12.8,12.75,12.8,49538,0
22,12.75,12.9,12.75,12.8,1161370,0
23,12.75,12.8,12.75,12.75,147118,0
24,12.7,12.8,12.7,12.75,611629,0
25,12.75,12.75,12.7,12.7,278302,0
26,12.75,12.75,12.65,12.7,176062,0
27,12.7,12.75,12.7,12.7,132049,0
28,12.75,12.75,12.7,12.75,91128,0
29,12.75,12.75,12.7,12.75,145062,0
30,12.75,12.75,12.7,12.75,86655,0
31,12.75,12.75,12.7,12.7,54125,0
32,12.75,12.75,12.7,12.7,167160,0
33,12.7,12.75,12.7,12.75,58587,0
34,12.7,12.75,12.7,12.7,67207,0
35,12.7,12.75,12.7,12.75,463602,0
36,12.75,12.75,12.7,12.75,61339,0
37,12.7,12.75,12.7,12.75,59253,0
38,12.75,12.75,12.7,12.7,99592,0
39,12.75,12.75,12.7,12.7,68556,0
40,12.65,12.75,12.65,12.7,140570,0
41,12.7,12.7,12.65,12.7,156406,0
42,12.65,12.7,12.65,12.7,83901,0
43,12.65,12.7,12.65,12.65,79341,0
44,12.65,12.7,12.65,12.7,112527,0
45,12.65,12.7,12.6,12.7,230299,0
46,12.7,12.7,12.6,12.6,133685,0
47,12.65,12.7,12.65,12.65,102965,0
48,12.65,12.65,12.6,12.65,75732,0
49,12.65,12.7,12.65,12.7,73173,0
50,12.65,12.7,12.6,12.65,148429,0
51,12.65,12.7,12.6,12.7,88815,0
52,12.7,12.7,12.65,12.7,93459,0
53,12.7,12.7,12.65,12.7,230778,0
54,12.65,12.7,12.6,12.65,64810,0
55,12.6,12.65,12.6,12.65,95343,0
56,12.6,12.65,12.6,12.6,431974,0
57,12.6,12.65,12.6,12.6,215972,0
58,12.65,12.65,12.6,12.6,157787,0
59,12.6,12.65,12.6,12.65,197729,0
60,12.55,12.6,12.55,12.6,218522,0
61,12.6,12.6,12.55,12.55,46732,0
62,12.55,12.6,12.55,12.55,23688,0
63,12.65,12.65,12.55,12.6,132513,0
64,12.65,12.65,12.6,12.65,30558,0
65,12.6,12.65,12.6,12.6,16692,0
66,12.6,12.65,12.6,12.6,20536,0
67,12.6,12.65,12.6,12.6,14881,0
68,12.6,12.65,12.6,12.6,18079,0
69,12.6,12.65,12.6,12.65,48095,0
70,12.6,12.65,12.6,12.6,10461,0
71,12.6,12.65,12.6,12.65,10300,0
72,12.6,12.65,12.6,12.6,19003,0
73,12.65,12.65,12.6,12.65,14025,0
74,12.65,12.7,12.6,12.65,176971,0
75,12.7,12.7,12.65,12.7,21251,0
76,12.7,12.7,12.65,12.7,4645,0
77,12.65,12.7,12.65,12.65,13115,0
78,12.7,12.7,12.65,12.65,24452,0
79,12.7,12.7,12.65,12.7,7783,0
80,12.65,12.7,12.65,12.7,15351,0
81,12.65,12.7,12.65,12.65,34674,0
82,12.7,12.7,12.65,12.7,11167,0
83,12.7,12.7,12.65,12.7,12319,0
84,12.7,12.7,12.65,12.7,26136,0
