EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1530848760,100.2,100.2,99.95,100,13616,0
1,99.8,100.25,99.7,100.2,9878,0
2,100.1,100.15,99.9,99.9,11113,0
3,100.45,100.45,100.15,100.15,15736,0
4,100.35,100.4,100.25,100.4,18412,0
5,100.3,100.45,100.3,100.35,19501,0
6,100.25,100.4,100.1,100.4,62141,0
7,100.4,100.5,100.3,100.3,9836,0
8,100.7,100.85,100.4,100.5,21484,0
9,100.6,100.9,100.6,100.75,23361,0
10,100.6,100.6,100.5,100.55,3347,0
11,100.7,100.7,100.55,100.65,7939,0
12,100.55,100.7,100.5,100.6,5305,0
13,100.5,100.6,100.4,100.5,7009,0
14,100.55,100.55,100.35,100.5,7675,0
15,100.4,100.7,100.35,100.55,5186,0
16,100.85,100.95,100.35,100.4,65103,0
17,101.05,101.05,100.85,100.9,25537,0
18,100.95,101.05,100.9,101.05,2838,0
19,101.25,101.25,100.95,101,24652,0
20,101.35,101.35,101.15,101.25,20239,0
21,101.3,101.45,101.25,101.25,18810,0
22,101.35,101.4,101.25,101.3,5637,0
23,101.3,101.4,101.25,101.35,12130,0
24,101.3,101.35,101.25,101.25,3238,0
25,101.2,101.25,101.1,101.25,9117,0
26,101.1,101.3,101.05,101.2,11805,0
27,101,101.2,100.95,101.2,45394,0
28,100.8,101,100.7,100.95,80827,0
29,100.65,100.75,100.5,100.7,14991,0
30,100.75,100.85,100.7,100.7,7276,0
31,100.7,100.8,100.7,100.7,5571,0
32,100.6,100.8,100.6,100.7,58444,0
33,100.6,100.6,100.45,100.6,16310,0
34,100.75,100.75,100.5,100.55,9846,0
35,100.4,100.7,100.4,100.65,9293,0
36,100.5,100.55,100.4,100.5,7841,0
37,100.75,100.75,100.5,100.5,29881,0
38,100.75,100.8,100.6,100.65,3540,0
39,100.85,100.9,100.75,100.9,9064,0
40,100.8,100.9,100.8,100.8,1983,0
41,100.75,100.85,100.75,100.8,1507,0
42,100.85,100.85,100.75,100.75,1855,0
43,100.8,100.85,100.8,100.8,1695,0
44,100.9,100.9,100.7,100.8,15905,0
45,100.9,101.1,100.8,100.85,13848,0
46,100.95,101,100.9,100.95,3284,0
47,100.9,101,100.9,101,4644,0
48,100.95,101,100.95,100.95,259,0
49,100.85,101,100.85,101,5609,0
50,100.95,100.95,100.85,100.9,1141,0
51,100.7,100.9,100.7,100.9,2169,0
52,100.7,100.75,100.7,100.7,1863,0
53,100.75,100.85,100.7,100.7,7927,0
54,100.9,100.9,100.7,100.7,853,0
55,100.85,100.9,100.85,100.85,1823,0
56,100.7,100.85,100.7,100.85,3780,0
57,100.65,100.75,100.65,100.7,4271,0
58,100.65,100.75,100.6,100.65,6074,0
59,100.65,100.75,100.6,100.65,3479,0
60,100.55,100.65,100.55,100.6,5368,0
61,100.55,100.6,100.5,100.55,2346,0
62,100.6,100.65,100.5,100.5,4932,0
63,100.7,100.75,100.55,100.65,3295,0
64,100.65,100.75,100.65,100.7,1788,0
65,100.75,100.75,100.65,100.65,1272,0
66,100.65,100.75,100.65,100.7,1198,0
67,100.8,100.9,100.65,100.65,5733,0
68,100.95,101,100.85,100.85,4144,0
69,101.05,101.05,100.95,100.95,7244,0
70,100.95,101.1,100.95,101,8227,0
71,100.95,101.1,100.95,101,4898,0
72,101,101,100.95,100.95,2743,0
73,101,101,100.9,101,2024,0
74,101,101,100.95,101,1321,0
75,101.1,101.1,101,101,3396,0
76,101.15,101.2,101.1,101.1,1926,0
77,101.55,101.55,101.25,101.25,33460,0
78,101.6,101.85,101.55,101.6,33691,0
79,101.6,101.7,101.6,101.6,2953,0
80,101.7,101.8,101.6,101.6,12987,0
81,101.75,101.75,101.7,101.75,2657,0
82,101.85,102.2,101.75,101.85,43232,0
83,101.8,101.9,101.8,101.85,3312,0
84,102,102,101.75,101.8,14852,0
85,102,102.05,101.95,102,11719,0
86,102.05,102.1,102,102.1,21983,0
87,102.3,102.4,102,102.1,29528,0
88,102.1,102.35,102.1,102.3,10899,0
89,102.1,102.2,102.05,102.1,5263,0
90,102.05,102.15,102.05,102.1,10767,0
91,102.05,102.2,102.05,102.15,7592,0
92,102.05,102.15,102.05,102.05,2092,0
93,101.85,102.1,101.85,102.05,38090,0
94,101.9,101.9,101.85,101.85,1323,0
95,101.8,101.9,101.8,101.85,1604,0
96,101.9,101.95,101.8,101.8,6613,0
97,101.9,102,101.9,101.9,2180,0
98,102.05,102.05,101.8,101.85,5150,0
99,102.05,102.15,102.05,102.05,9054,0
100,102,102.1,101.95,102.05,1980,0
101,102,102.1,102,102,1721,0
102,102,102.1,102,102,1013,0
103,102.1,102.15,102.05,102.05,4220,0
104,102.15,102.15,102.1,102.15,1085,0
105,102.15,102.15,102.1,102.1,1330,0
106,102.1,102.2,102.05,102.1,2294,0
107,102.05,102.15,102.05,102.05,2383,0
