EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1533008760,1153.5,1155.85,1151.5,1151.5,243461,0
1,1159.15,1159.15,1154.2,1154.2,145478,0
2,1153.55,1160.5,1153.25,1159.55,153747,0
3,1155.7,1156.2,1153,1153.85,60859,0
4,1154,1156.8,1152.3,1155.45,243269,0
5,1154,1154.7,1153.15,1153.8,25814,0
6,1153.55,1154.35,1151.95,1153.85,46142,0
7,1155,1155.5,1153.3,1153.65,17067,0
8,1154.95,1155.2,1154,1154.95,18650,0
9,1155.7,1156,1154,1154.95,34333,0
10,1156.3,1156.5,1155.25,1155.95,26354,0
11,1156.7,1156.9,1155.4,1156.3,34615,0
12,1156.6,1158,1156.3,1156.7,72600,0
13,1156.6,1157.3,1156,1156.6,53858,0
14,1157,1157.5,1156.75,1157.2,14424,0
15,1156.45,1157.25,1156.1,1156.9,13197,0
16,1154.7,1156.45,1154.65,1156.25,36040,0
17,1155.9,1156,1154.75,1154.75,11587,0
18,1155.55,1155.9,1155.45,1155.55,13819,0
19,1155,1155.55,1154.55,1155.55,19603,0
20,1155.4,1155.5,1154.75,1154.75,9859,0
21,1155.15,1155.5,1154.75,1155.5,13006,0
22,1155.9,1155.9,1155.15,1155.15,20283,0
23,1155.8,1156.5,1155.5,1155.8,28673,0
24,1155.15,1155.85,1155.05,1155.8,9020,0
25,1154.75,1155.55,1154.5,1155.05,19465,0
26,1153,1155.5,1152.55,1154.75,21374,0
27,1153,1153.25,1152.25,1153.25,23579,0
28,1153.3,1153.75,1152.6,1153,18910,0
29,1154,1154.75,1153.3,1153.3,13738,0
30,1152.95,1154.15,1152.6,1154,10515,0
31,1152.9,1153.75,1152.5,1152.95,18579,0
32,1152.8,1152.9,1152.2,1152.85,24167,0
33,1151.25,1153.9,1151.25,1152.55,30897,0
34,1148.35,1151,1147.2,1151,98608,0
35,1149.5,1149.5,1148.1,1148.35,27613,0
36,1149.25,1149.5,1148.5,1149.05,38200,0
37,1150.7,1150.85,1149.2,1149.2,37470,0
38,1150.3,1151,1150,1150.65,12421,0
39,1153,1153,1150.35,1150.5,26059,0
40,1151.75,1152.45,1151.25,1152.45,14573,0
41,1150.6,1151.25,1150.05,1151.25,24987,0
42,1152,1152.85,1150.95,1151,8801,0
43,1152.3,1152.65,1152,1152.2,8956,0
44,1151.7,1152.65,1151.5,1152.3,8372,0
45,1151.4,1151.95,1151,1151.7,13595,0
46,1151.5,1151.8,1151.2,1151.4,7422,0
47,1150.5,1151.45,1150.2,1151.4,11069,0
48,1150.65,1150.9,1150,1150.2,12142,0
49,1151.45,1151.85,1150.65,1150.65,8924,0
50,1151.85,1152.45,1151.55,1151.6,12257,0
51,1152.6,1152.9,1151.85,1151.85,16000,0
52,1151.5,1152.65,1151.3,1152.6,5895,0
53,1152.65,1152.65,1151.5,1151.5,6035,0
54,1153,1153.5,1152.5,1152.5,19002,0
55,1153.9,1154,1153,1153,18056,0
56,1153.3,1154,1153.25,1153.85,17811,0
57,1153.45,1153.9,1153,1153.3,9810,0
58,1153.8,1154,1153.35,1153.8,7972,0
59,1154.45,1154.75,1153.8,1153.95,12314,0
60,1152.65,1154.7,1152.6,1154.45,18344,0
61,1153.3,1153.6,1152.55,1152.6,12293,0
62,1153,1154,1152.6,1153.3,13122,0
63,1152.5,1153.2,1152.5,1153,8977,0
64,1152.8,1152.95,1152.5,1152.8,6531,0
65,1152.3,1152.95,1152,1152.75,9863,0
66,1151.3,1152.3,1151.3,1152,7302,0
67,1150.95,1151.75,1150.45,1151.65,11497,0
68,1151.1,1151.2,1150.55,1150.55,8157,0
69,1151.5,1151.75,1151,1151.1,6639,0
70,1151.25,1151.75,1151.25,1151.5,6756,0
71,1150.95,1151.45,1150.55,1151.2,8474,0
72,1149.75,1151,1149.75,1150.7,22882,0
73,1150.6,1151,1149.75,1149.75,6801,0
74,1151.6,1151.8,1150.5,1150.6,10203,0
75,1151.1,1151.6,1151,1151,10625,0
76,1150.9,1151.5,1150.9,1151,19044,0
77,1150.55,1150.9,1150.25,1150.9,6032,0
78,1151.15,1151.2,1150.3,1150.3,6084,0
79,1150.9,1151.4,1150.9,1150.95,5994,0
80,1149.9,1151,1149.3,1150.8,12484,0
81,1148.1,1149.8,1148.1,1149.7,25675,0
82,1149.25,1149.25,1148,1148.35,17253,0
83,1148.65,1149.5,1148,1149.25,24632,0
84,1148.9,1149.05,1148.55,1148.65,11146,0
85,1149.25,1149.35,1148.2,1148.9,12088,0
86,1149.1,1149.5,1148.85,1149.35,26739,0
87,1149.6,1149.6,1149.05,1149.15,5826,0
88,1149.95,1150,1149.45,1149.45,10695,0
89,1150,1150.55,1149.3,1150.35,14471,0
90,1150.25,1150.5,1149.7,1149.8,7788,0
91,1150.8,1151,1150,1150,8456,0
92,1150.65,1150.85,1150.55,1150.85,9272,0
