EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,386.7,387,386,387,8020,0
1,386.3,386.9,386.1,386.75,9002,0
2,386.5,387.1,386.5,386.5,7942,0
3,386.45,386.85,386.2,386.55,5571,0
4,386.55,386.85,386.05,386.45,3136,0
5,386.9,386.9,386.25,386.8,9864,0
6,386.95,387,386.55,386.6,3280,0
7,388.1,388.1,386.8,386.85,8000,0
8,388.1,388.95,387.8,387.8,12355,0
9,387.5,388.5,387.5,388.15,5262,0
10,387.4,387.6,387,387.5,6136,0
11,387.25,387.45,387,387.45,5532,0
12,386.15,386.75,385.85,386.5,7668,0
13,386,386.35,385.25,386.15,9838,0
14,386.2,386.5,385.9,386,2970,0
15,385.75,386.15,385.6,386,2799,0
16,386.4,386.4,385.5,385.75,5450,0
17,386.55,386.65,386.2,386.5,4158,0
18,387.3,387.5,386.25,386.25,2321,0
19,386.6,387.5,386.6,387.15,10023,0
20,386.6,387,386.5,386.9,2832,0
21,386.85,386.85,386.15,386.55,4703,0
22,387.2,387.65,386.6,387,5209,0
23,388.4,388.4,387,387,5843,0
24,388.05,388.6,387.75,388.35,7171,0
25,389.5,389.8,388.1,388.15,19065,0
26,388.5,389.8,388.5,389.5,6563,0
27,389.35,389.45,388.5,388.5,5169,0
28,389.55,389.75,389.1,389.4,4700,0
29,389.5,390,389.5,389.7,4750,0
30,388.55,389.4,388.55,389.4,4449,0
31,388.65,388.7,388.15,388.65,3785,0
32,388.65,389.25,388.6,388.7,3235,0
33,387.85,388.6,387.85,388.6,5564,0
34,386.65,388,386.5,388,11645,0
35,385.7,386.3,385.4,386.25,9774,0
36,386.35,386.55,385.7,385.7,1050,0
37,386.2,386.5,386.1,386.35,4166,0
38,386.2,386.2,385.7,386.2,1796,0
39,385.75,385.95,385.25,385.85,5474,0
40,385.05,385.8,384.9,385.5,14088,0
41,385.05,385.4,384.65,385.2,7334,0
42,384.9,385.35,384.25,385.05,6439,0
43,385.95,386,385,385,6002,0
44,385.5,385.9,385.05,385.9,1485,0
45,384.95,385.5,384.9,385.5,3570,0
46,385,385,384.6,384.7,3777,0
47,384.45,385.2,384.45,385,2375,0
48,385.1,385.15,384.4,384.6,5631,0
49,385.9,386,385.15,385.15,2717,0
50,385.4,385.9,385.4,385.6,3522,0
51,385.65,385.65,385.05,385.1,1528,0
52,385.4,385.4,385.05,385.05,2030,0
53,385.5,385.5,385.2,385.2,912,0
54,385.25,385.35,384.85,385.3,9535,0
55,383.75,385.1,383.75,385.1,7700,0
56,383.5,384,383.4,383.75,13431,0
57,383.5,384.1,383.3,383.5,6168,0
58,384.45,384.55,383.2,383.6,4074,0
59,383.55,384.5,383.5,384.15,4014,0
60,383.15,383.95,382.75,383.85,11491,0
61,383.7,383.95,382.8,383,6627,0
62,383.9,383.95,383.75,383.8,410,0
63,383.6,383.95,383.5,383.9,2265,0
64,383.95,383.95,383.65,383.75,616,0
65,383.2,383.9,383,383.8,1872,0
66,382.75,382.9,382.4,382.75,6903,0
67,383,383.35,382.45,382.7,7918,0
68,383.2,383.4,382.9,383.3,2198,0
69,383.15,383.25,382.55,383.25,3029,0
70,383.35,383.5,383.05,383.1,5161,0
71,383.3,383.35,383,383,2318,0
72,383.3,383.35,383.1,383.1,1526,0
73,383.95,383.95,383.3,383.3,4705,0
74,384,384.25,383.7,383.85,1029,0
75,384,384.5,384,384.05,1539,0
76,383.45,384.25,383.1,384.25,1710,0
77,383.55,383.9,383.3,383.45,2759,0
78,383.9,383.9,383.55,383.55,524,0
79,383.75,384.55,383.75,383.75,7406,0
80,384,384.3,383.7,383.95,1464,0
81,384.1,384.35,383.8,384.1,804,0
82,384,384,384,384,10,0
83,383.95,383.95,383.55,383.55,2250,0
84,382.7,383.95,382.7,383.95,7563,0
