EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,53.2,53.2,52.9,52.9,190,0
1,53,53,53,53,59,0
2,53.25,53.35,53,53.25,489,0
3,53.5,53.5,53.4,53.4,601,0
4,53.55,53.6,53.5,53.5,1452,0
5,53.5,53.55,53.5,53.55,1497,0
6,53.5,53.5,53.3,53.3,351,0
7,53.5,53.5,53.4,53.4,555,0
8,53.45,53.5,53.45,53.5,875,0
9,53.75,53.75,53.4,53.5,1585,0
10,53.75,53.75,53.7,53.7,877,0
11,53.9,53.9,53.75,53.75,2558,0
12,53.9,53.95,53.9,53.9,142,0
13,53.9,53.95,53.9,53.9,1155,0
14,54.05,54.05,53.9,53.95,1882,0
15,53.95,54.15,53.95,54.15,696,0
16,53.9,54,53.9,54,373,0
17,54.05,54.05,54.05,54.05,1854,0
18,53.7,53.7,53.7,53.7,100,0
19,53.75,53.85,53.75,53.85,390,0
20,53.85,53.85,53.7,53.7,250,0
21,53.85,53.85,53.85,53.85,1088,0
22,53.5,53.5,53.5,53.5,2000,0
23,53.55,53.55,53.5,53.5,886,0
25,53.6,53.6,53.6,53.6,10,0
26,53.55,53.55,53.55,53.55,50,0
27,53.7,53.7,53.7,53.7,14,0
28,53.8,53.8,53.8,53.8,299,0
30,53.8,53.8,53.65,53.65,110,0
31,53.7,53.75,53.65,53.65,374,0
32,53.6,53.7,53.6,53.7,404,0
33,53.65,53.65,53.65,53.65,8,0
34,53.7,53.7,53.7,53.7,18,0
35,53.65,53.65,53.65,53.65,19,0
36,53.7,53.7,53.55,53.55,522,0
37,53.7,53.7,53.7,53.7,1206,0
39,53.8,53.8,53.65,53.65,267,0
40,53.7,53.8,53.7,53.8,1162,0
41,53.7,53.8,53.7,53.8,220,0
42,53.7,53.7,53.7,53.7,750,0
43,53.7,53.7,53.55,53.7,603,0
44,53.7,53.7,53.5,53.7,657,0
45,53.8,53.8,53.8,53.8,200,0
46,53.8,53.8,53.8,53.8,170,0
47,53.9,53.9,53.85,53.85,239,0
48,53.9,53.9,53.9,53.9,190,0
49,53.9,53.9,53.9,53.9,815,0
50,53.8,53.8,53.8,53.8,1532,0
52,53.8,53.8,53.8,53.8,3,0
53,53.8,53.8,53.8,53.8,35,0
54,53.95,53.95,53.95,53.95,125,0
55,53.75,53.75,53.75,53.75,1000,0
56,53.8,53.8,53.7,53.7,1194,0
57,53.8,53.8,53.8,53.8,100,0
58,53.85,54,53.8,54,988,0
59,54.15,54.15,54,54,1076,0
60,54.3,54.4,54.15,54.15,1710,0
61,54.2,54.35,54.2,54.35,2120,0
62,54.2,54.25,54.2,54.2,1096,0
63,54.1,54.2,54.1,54.15,787,0
64,54.3,54.3,54.2,54.2,1387,0
65,54.25,54.25,54.2,54.2,262,0
66,54.2,54.2,54.2,54.2,33,0
67,54.25,54.4,54.2,54.2,842,0
68,54.3,54.3,54.3,54.3,1000,0
69,54.3,54.35,54.3,54.3,350,0
70,54.6,54.6,54.3,54.3,3635,0
71,54.85,54.9,54.65,54.65,3622,0
72,54.7,54.7,54.7,54.7,3259,0
73,54.7,54.7,54.7,54.7,118,0
74,54.65,54.7,54.5,54.7,2248,0
75,54.75,54.75,54.55,54.55,525,0
76,54.85,54.85,54.7,54.7,736,0
77,54.75,54.8,54.75,54.75,312,0
78,54.6,54.6,54.6,54.6,273,0
79,54.7,54.75,54.5,54.5,1476,0
80,54.8,54.85,54.75,54.75,2525,0
81,54.9,54.9,54.85,54.85,2776,0
82,54.85,54.85,54.85,54.85,50,0
83,54.85,54.9,54.85,54.85,503,0
84,54.8,54.9,54.75,54.9,1951,0
