EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,30.65,30.95,30.55,30.95,91367,0
1,30.85,30.95,30.65,30.65,67443,0
2,30.85,30.95,30.7,30.9,146369,0
3,31,31,30.9,30.9,102207,0
4,31,31.25,31,31.05,200457,0
5,31,31.1,30.95,31.05,79957,0
6,31.05,31.05,30.95,31,21900,0
7,31.05,31.05,30.9,31.05,24876,0
8,31.1,31.1,31,31.05,30960,0
9,31.05,31.1,31,31.05,28258,0
10,31,31.05,30.9,31.05,49672,0
11,30.85,30.95,30.85,30.85,23473,0
12,30.85,30.85,30.75,30.85,32393,0
13,30.8,30.85,30.75,30.85,23823,0
14,30.85,30.85,30.75,30.8,37838,0
15,30.75,30.8,30.75,30.8,41931,0
16,30.8,30.8,30.7,30.75,34542,0
17,30.8,30.8,30.75,30.75,33987,0
18,30.8,30.85,30.75,30.8,19125,0
19,30.85,30.85,30.75,30.8,9820,0
20,30.85,30.85,30.75,30.85,27518,0
21,30.9,30.9,30.8,30.8,5202,0
22,30.85,30.95,30.8,30.9,30737,0
23,30.95,30.95,30.8,30.8,21038,0
24,30.9,30.95,30.85,30.95,8923,0
25,30.9,31,30.85,30.85,33470,0
26,31,31,30.9,30.9,39242,0
27,31,31,30.95,31,13888,0
28,31.05,31.05,31,31.05,22407,0
29,31.1,31.1,31,31,25909,0
30,31,31.1,30.95,31.05,44907,0
31,31,31,30.9,30.95,7309,0
32,30.85,31,30.85,30.95,38778,0
33,30.9,30.95,30.85,30.85,29371,0
34,30.85,30.95,30.85,30.9,27765,0
35,30.75,30.85,30.75,30.8,17808,0
36,30.85,30.85,30.75,30.75,16561,0
37,30.85,30.9,30.75,30.8,4873,0
38,30.8,30.85,30.75,30.85,3164,0
39,30.65,30.75,30.65,30.75,76186,0
40,30.8,30.8,30.65,30.7,23185,0
41,30.45,30.7,30.35,30.7,410972,0
42,30.5,30.55,30.45,30.5,135995,0
43,30.5,30.55,30.45,30.55,54829,0
44,30.55,30.55,30.5,30.5,39578,0
45,30.55,30.55,30.45,30.55,39354,0
46,30.5,30.5,30.45,30.5,30395,0
47,30.25,30.5,30.15,30.5,153894,0
48,30.35,30.35,30.15,30.2,57146,0
49,30.4,30.4,30.3,30.35,26382,0
50,30.4,30.4,30.35,30.4,19197,0
51,30.4,30.4,30.35,30.35,16592,0
52,30.4,30.4,30.35,30.4,6825,0
53,30.4,30.4,30.35,30.4,15591,0
54,30.35,30.4,30.35,30.4,43184,0
55,30.2,30.35,30.2,30.3,31686,0
56,30.2,30.3,30.2,30.3,36942,0
57,30.25,30.3,30.2,30.25,49597,0
58,30.25,30.25,30.2,30.25,7885,0
59,30.2,30.25,30.2,30.25,13882,0
60,30.1,30.25,30.1,30.25,66270,0
61,30.2,30.2,30.05,30.1,36930,0
62,30.2,30.2,30.15,30.2,32402,0
63,30.2,30.25,30.15,30.15,8310,0
64,30.2,30.2,30.15,30.2,6653,0
65,30.25,30.25,30.15,30.2,8220,0
66,30.15,30.2,30.1,30.1,25840,0
67,30.2,30.2,30.15,30.15,19364,0
68,30.2,30.2,30.15,30.2,1387,0
69,30.15,30.2,30.15,30.2,2834,0
70,30.2,30.2,30.15,30.15,1525,0
71,30.15,30.2,30.15,30.15,5341,0
72,30.2,30.2,30.15,30.2,7896,0
73,30.2,30.2,30.15,30.2,34859,0
74,30.2,30.2,30.15,30.2,9141,0
75,30.2,30.2,30.15,30.2,4045,0
76,30.15,30.2,30.1,30.2,13869,0
77,30.15,30.15,30.1,30.15,7917,0
78,30.15,30.15,30.15,30.15,5350,0
79,30.15,30.15,30.1,30.15,11971,0
80,30.15,30.15,30.1,30.15,7764,0
81,30.2,30.2,30.15,30.15,15287,0
82,30.2,30.2,30.15,30.2,4247,0
83,30.2,30.2,30.15,30.2,34713,0
84,30.1,30.2,30.1,30.2,26466,0
