EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,3.2,3.2,3.2,3.2,26137,0
1,3.25,3.25,3.25,3.25,1425,0
2,3.25,3.25,3.2,3.25,15288,0
3,3.2,3.25,3.2,3.2,11296,0
4,3.2,3.2,3.2,3.2,22116,0
5,3.15,3.2,3.15,3.2,14944,0
6,3.2,3.2,3.2,3.2,21,0
7,3.15,3.2,3.15,3.2,12000,0
8,3.15,3.15,3.15,3.15,11026,0
9,3.15,3.15,3.15,3.15,104704,0
11,3.2,3.2,3.2,3.2,500,0
12,3.15,3.15,3.15,3.15,100,0
14,3.2,3.2,3.15,3.15,1027,0
16,3.15,3.15,3.15,3.15,9,0
17,3.2,3.2,3.15,3.15,1021,0
19,3.2,3.2,3.2,3.2,26,0
22,3.2,3.2,3.15,3.15,10048,0
24,3.2,3.2,3.2,3.2,3150,0
25,3.15,3.15,3.15,3.15,112,0
28,3.15,3.15,3.15,3.15,10650,0
31,3.15,3.15,3.15,3.15,100,0
33,3.2,3.2,3.2,3.2,1500,0
34,3.15,3.15,3.15,3.15,201,0
35,3.15,3.15,3.15,3.15,3600,0
36,3.2,3.2,3.2,3.2,1376,0
37,3.2,3.2,3.15,3.2,1277,0
38,3.2,3.2,3.2,3.2,426,0
39,3.2,3.2,3.2,3.2,176,0
40,3.2,3.2,3.2,3.2,3000,0
41,3.15,3.15,3.15,3.15,11002,0
42,3.15,3.15,3.15,3.15,871,0
43,3.2,3.2,3.2,3.2,1501,0
44,3.2,3.2,3.2,3.2,693,0
45,3.2,3.2,3.2,3.2,210,0
46,3.2,3.2,3.2,3.2,75,0
47,3.2,3.2,3.2,3.2,38,0
48,3.2,3.2,3.2,3.2,238,0
49,3.2,3.2,3.2,3.2,2500,0
50,3.2,3.2,3.2,3.2,1,0
51,3.15,3.15,3.15,3.15,100,0
52,3.2,3.2,3.2,3.2,100,0
53,3.15,3.15,3.15,3.15,11,0
54,3.15,3.15,3.15,3.15,75,0
58,3.2,3.2,3.15,3.15,521,0
59,3.15,3.15,3.15,3.15,7100,0
60,3.15,3.15,3.15,3.15,9000,0
62,3.15,3.15,3.15,3.15,4500,0
63,3.2,3.2,3.2,3.2,5,0
64,3.2,3.2,3.2,3.2,500,0
67,3.15,3.15,3.15,3.15,400,0
70,3.2,3.2,3.2,3.2,1537,0
76,3.2,3.2,3.2,3.2,100,0
78,3.2,3.2,3.2,3.2,1,0
79,3.2,3.2,3.2,3.2,10037,0
80,3.2,3.2,3.2,3.2,38,0
81,3.2,3.2,3.2,3.2,500,0
82,3.2,3.2,3.2,3.2,39,0
83,3.2,3.2,3.2,3.2,101,0
84,3.15,3.15,3.15,3.15,300,0
