EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,355.45,355.45,355.45,355.45,110,0
1,352.2,354.45,352.2,354.45,56,0
2,351.6,351.6,350.65,351.2,216,0
3,353.6,353.6,352,352,88,0
4,352.1,353.65,352.1,353.65,48,0
5,356.3,356.7,352.3,353.7,350,0
7,352.55,353.75,352.55,353.75,230,0
8,355.45,355.45,355.45,355.45,50,0
9,354.9,354.9,354.9,354.9,25,0
10,354.95,354.95,354.95,354.95,30,0
13,353.35,353.35,353.35,353.35,46,0
14,354.2,354.2,353.9,353.9,33,0
15,353.9,354.35,353.9,354.35,29,0
17,353.45,353.45,353.45,353.45,6,0
18,353.95,353.95,353,353,250,0
19,354,354,354,354,23,0
20,354.95,354.95,354.5,354.5,60,0
21,354.95,354.95,354.95,354.95,90,0
22,355,355,355,355,25,0
24,355,355,355,355,22,0
26,355,355,354.95,354.95,103,0
28,355.85,355.85,355.85,355.85,5,0
31,354.95,354.95,354.95,354.95,30,0
34,354.95,354.95,354.95,354.95,25,0
35,354.95,354.95,354.95,354.95,50,0
36,355.6,355.6,355.6,355.6,25,0
43,355.85,355.85,355.6,355.6,30,0
45,354.95,355.85,354.95,355.85,123,0
46,355.75,355.75,355.75,355.75,1,0
47,355.8,355.8,355.8,355.8,50,0
51,354.95,354.95,354.95,354.95,146,0
55,354.95,354.95,354.95,354.95,45,0
57,354,354,354,354,187,0
58,354.45,354.45,354.45,354.45,22,0
60,350,354.35,350,352,4177,0
61,350.9,350.9,349,350,466,0
62,350,350.9,350,350,133,0
63,350,350.9,350,350,106,0
64,350,350.9,350,350.9,148,0
66,349.75,350.9,349.6,350.9,65,0
67,349.8,350.8,349.8,350.2,233,0
68,351.8,351.8,350,350,477,0
69,351.5,351.5,351.5,351.5,1,0
70,351.7,351.7,351.6,351.6,15,0
71,352.85,352.85,352.5,352.85,3,0
73,352.75,352.75,351.2,351.2,153,0
74,352.75,352.75,352.2,352.75,34,0
75,352.2,352.2,352.2,352.2,32,0
76,352.75,352.75,350.55,350.55,160,0
77,352.8,352.8,352.2,352.2,68,0
78,352.6,352.6,352.6,352.6,1,0
80,350.95,352.2,350.3,352.2,70,0
81,351,351,350.95,350.95,78,0
82,350.7,352.6,350.7,351.4,75,0
83,351.35,351.35,350.2,350.8,60,0
84,351.95,352,351.4,351.4,107,0
