EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1533008760,77,77.3,76.75,77.3,54193,0
1,76.65,77,76.6,77,66580,0
2,76.75,76.8,76.55,76.65,41018,0
3,76.8,76.9,76.7,76.7,28961,0
4,76.75,76.8,76.7,76.75,24104,0
5,76.85,76.9,76.7,76.75,81761,0
6,76.9,77,76.85,76.85,70042,0
7,76.9,76.95,76.85,76.9,29003,0
8,76.8,76.9,76.75,76.85,10448,0
9,77,77,76.75,76.85,46267,0
10,77.2,77.25,76.95,77,69775,0
11,76.95,77.25,76.85,77.25,107106,0
12,77.05,77.1,77,77,15132,0
13,76.95,77.05,76.95,77,22930,0
14,76.95,77,76.85,76.95,71937,0
15,76.6,76.95,76.6,76.9,131838,0
16,76.65,76.9,76.65,76.7,35879,0
17,76.6,76.7,76.6,76.6,37631,0
18,76.65,76.7,76.6,76.6,16776,0
19,76.75,76.8,76.7,76.7,11687,0
20,76.85,76.9,76.7,76.7,30233,0
21,76.9,76.9,76.85,76.9,11231,0
22,76.85,76.95,76.8,76.9,71085,0
23,76.65,76.85,76.65,76.75,49428,0
24,76.7,76.8,76.65,76.65,27212,0
25,76.8,76.8,76.65,76.8,19283,0
26,76.65,76.8,76.6,76.75,18898,0
27,76.5,76.65,76.5,76.65,34244,0
28,76.55,76.6,76.5,76.55,11675,0
29,76.55,76.65,76.5,76.5,30311,0
30,76.5,76.55,76.4,76.55,108145,0
31,76.4,76.45,76.35,76.35,12394,0
32,76.45,76.5,76.35,76.45,24611,0
33,76.45,76.55,76.45,76.45,63383,0
34,76.4,76.5,76.4,76.45,55136,0
35,76.4,76.45,76.35,76.35,9289,0
36,76.5,76.5,76.4,76.4,20925,0
37,76.5,76.5,76.45,76.5,4570,0
38,76.5,76.55,76.45,76.5,35232,0
39,76.5,76.55,76.45,76.45,11575,0
40,76.55,76.55,76.45,76.5,7450,0
41,76.55,76.55,76.5,76.5,2636,0
42,76.7,76.7,76.5,76.55,76020,0
43,76.75,76.8,76.7,76.7,22209,0
44,76.7,76.8,76.7,76.75,3366,0
45,76.75,76.75,76.7,76.7,22805,0
46,76.7,76.75,76.6,76.7,2454,0
47,76.65,76.7,76.6,76.65,5883,0
48,76.65,76.7,76.6,76.65,10685,0
49,76.65,76.7,76.6,76.7,4148,0
50,76.7,76.75,76.65,76.7,12909,0
51,76.7,76.75,76.7,76.7,10448,0
52,76.75,76.75,76.65,76.65,4384,0
53,77.05,77.15,76.8,76.8,128246,0
54,77,77.05,76.95,77,18938,0
55,77,77.05,77,77,13585,0
56,77.25,77.25,77,77,94280,0
57,77.3,77.45,77.25,77.25,163568,0
58,77.3,77.45,77.3,77.3,66549,0
59,77.6,77.6,77.3,77.3,92282,0
60,77.45,77.6,77.4,77.55,122171,0
61,77.3,77.45,77.3,77.45,34479,0
62,77.2,77.35,77.1,77.35,70027,0
63,77.15,77.2,77.15,77.15,24183,0
64,77.1,77.15,77.1,77.1,15948,0
65,77,77.15,77,77.1,14615,0
66,77,77.05,76.95,77.05,58381,0
67,77.05,77.05,76.95,77,4874,0
68,77,77.05,76.95,77,17222,0
69,76.95,77.05,76.95,77,15463,0
70,76.85,76.95,76.85,76.9,26292,0
71,76.75,76.9,76.75,76.9,23510,0
72,76.8,76.8,76.6,76.75,70690,0
73,76.9,76.95,76.9,76.9,19487,0
74,76.85,76.95,76.8,76.9,21405,0
75,76.9,76.95,76.85,76.85,7000,0
76,76.85,76.9,76.8,76.9,7347,0
77,76.85,76.9,76.75,76.85,14931,0
78,76.85,76.85,76.75,76.8,11031,0
79,76.6,76.8,76.5,76.75,50235,0
80,76.6,76.6,76.5,76.55,208460,0
81,76.5,76.6,76.5,76.55,20276,0
82,76.4,76.55,76.3,76.55,105358,0
83,76.45,76.5,76.4,76.5,27020,0
84,76.5,76.5,76.4,76.4,14927,0
85,76.5,76.5,76.4,76.5,6177,0
86,76.5,76.55,76.45,76.5,4413,0
87,76.7,76.7,76.45,76.5,81605,0
88,76.6,76.7,76.5,76.65,26898,0
89,76.5,76.7,76.5,76.6,26269,0
90,76.5,76.55,76.5,76.5,11078,0
91,76.55,76.6,76.5,76.55,16515,0
92,76.7,76.7,76.65,76.65,10438,0
93,76.6,76.8,76.6,76.75,34405,0
94,76.6,76.7,76.6,76.65,9909,0
95,76.6,76.65,76.55,76.55,10924,0
96,76.4,76.6,76.4,76.6,22941,0
97,76.6,76.6,76.3,76.5,50666,0
98,76.45,76.65,76.45,76.65,17655,0
99,76.3,76.4,76.25,76.4,134649,0
100,76.3,76.35,76.25,76.3,23466,0
101,76.25,76.3,76.1,76.3,61551,0
102,76.2,76.2,76.15,76.2,13934,0
103,76.4,76.4,76.15,76.15,39455,0
104,76.35,76.5,76.35,76.35,11983,0
105,76.45,76.45,76.35,76.4,9946,0
106,76.5,76.5,76.4,76.4,5503,0
