EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532922360,293.45,294.3,290.85,290.85,819131,0
1,294.65,294.75,292.8,293.5,693811,0
2,296.65,296.9,294.75,294.8,1236863,0
3,298.15,298.15,296.45,296.7,777670,0
4,298.15,299.05,298.1,298.15,1149338,0
5,297.75,298.5,297.65,298.35,576834,0
6,298.5,298.65,297.45,297.55,766384,0
7,298.3,299,298.2,298.5,1171922,0
8,297.3,298.6,297,298.25,617062,0
9,297.3,297.3,296.95,297.15,482922,0
10,296.9,297.85,296.9,297.6,240690,0
11,296.3,296.9,296.15,296.9,305458,0
12,295.95,296.25,295.6,296.25,301050,0
13,295.4,296.05,295.35,295.9,228608,0
14,294.9,295.5,294.85,295.45,274315,0
15,295.95,296,294.95,295,314762,0
16,297.45,297.45,296,296,667971,0
17,297.25,298.1,297.25,297.3,763465,0
18,297.35,297.65,297.05,297.55,306809,0
19,297.05,297.3,296.75,297.3,290319,0
20,296.8,297.1,296.7,297,184789,0
21,296.3,296.95,296.3,296.75,139580,0
22,295.85,296.4,295.8,296.3,113524,0
23,296.65,296.8,296,296,159770,0
24,296,296.6,295.9,296.6,180029,0
25,295.85,296,295.5,296,101687,0
26,295.6,296,295.6,295.85,92714,0
27,295.3,295.75,295.2,295.7,148166,0
28,295.25,295.5,295.2,295.3,74860,0
29,295.2,295.45,295.2,295.35,91194,0
30,294.85,295.2,294.45,295.2,250204,0
31,294.4,294.85,294.2,294.8,117513,0
32,294.1,294.45,294.05,294.3,185725,0
33,293.8,294.2,293.65,294.1,186175,0
34,294.05,294.15,293.7,293.85,215552,0
35,295.15,295.35,294.05,294.2,163138,0
36,295.4,295.65,295.2,295.25,144456,0
37,294.7,295.45,294.65,295.45,91835,0
38,294.6,294.85,294.4,294.7,76939,0
39,294.2,294.7,294.1,294.55,102283,0
40,294.05,294.2,293.7,294.15,135337,0
41,294.05,294.1,293.9,294,43700,0
42,294.15,294.15,293.8,294.05,111923,0
43,294.3,294.65,294,294.15,74011,0
44,294.65,294.65,294.25,294.3,52780,0
45,295.15,295.2,294.6,294.6,116475,0
46,295.15,295.25,295,295.1,92522,0
47,294.6,295.2,294.55,295.15,53590,0
48,294.55,294.65,294.3,294.6,59559,0
49,294.1,294.6,294.05,294.55,39889,0
50,294.1,294.2,294,294.1,60548,0
51,293.95,294.15,293.45,294.05,158863,0
52,293.6,294,293.55,293.8,50077,0
53,294.2,294.3,293.55,293.55,91060,0
54,293.85,294.35,293.85,294.35,44255,0
55,294.15,294.2,293.85,293.9,65615,0
56,293.55,294.2,293.55,294.1,58980,0
57,293.05,293.6,293,293.55,148628,0
58,292.9,293.2,292.9,293.1,110194,0
59,292.95,293.2,292.75,293,185134,0
60,292.8,293.15,292.8,293.15,108224,0
61,292.3,292.8,292.2,292.8,145061,0
62,292.8,292.8,292,292.3,168784,0
63,293.75,293.85,292.8,292.8,132404,0
64,293.85,293.95,293.7,293.75,82368,0
65,293.9,294.2,293.8,293.85,110621,0
66,293.55,293.85,293.5,293.85,46408,0
67,293.65,293.7,293.5,293.55,26992,0
68,293.85,293.95,293.6,293.65,45068,0
69,293.8,293.9,293.65,293.85,36465,0
70,293.2,293.75,293.1,293.75,43539,0
71,293.5,293.7,293.2,293.2,50419,0
72,293.4,293.55,293.3,293.55,43214,0
73,293.25,293.55,293.2,293.4,18889,0
74,292.8,293.35,292.7,293.25,106983,0
75,292.85,293,292.6,292.8,52502,0
76,293,293.15,292.75,292.8,52056,0
77,293.25,293.4,293,293,30374,0
78,293.4,293.5,293.25,293.35,33981,0
79,293.45,293.55,293.35,293.5,34881,0
80,293.35,293.45,293.15,293.4,33205,0
81,293.25,293.3,293.1,293.25,24023,0
82,293.2,293.35,293.15,293.3,19583,0
83,293.5,293.5,293.15,293.2,36099,0
84,293.35,293.5,293.15,293.5,24625,0
85,293.65,293.65,293.35,293.4,49783,0
86,293.85,293.85,293.45,293.65,49839,0
87,293.95,293.95,293.8,293.8,51913,0
88,293.9,294.15,293.85,293.9,87776,0
89,293.7,293.95,293.7,293.95,24089,0
90,293.6,293.8,293.55,293.7,24440,0
91,294,294,293.6,293.6,46348,0
92,294.15,294.45,294.1,294.1,95023,0
