EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,1500.85,1509.15,1497.35,1509.15,321,0
1,1495.35,1501,1495.35,1501,79,0
2,1497.5,1498.75,1492.2,1498.75,130,0
3,1500.1,1501,1498,1499.9,200,0
4,1500.95,1501,1497.5,1500.55,215,0
5,1499.8,1500.45,1498.25,1500.45,43,0
6,1496.8,1501,1496.8,1501,751,0
7,1505.5,1508,1496.7,1496.85,2949,0
8,1503.6,1503.6,1502.6,1503.55,56,0
9,1504.75,1506.95,1504.35,1504.95,38,0
10,1506.05,1507.95,1505.45,1506.95,301,0
11,1503.7,1508.95,1503.7,1505.95,74,0
12,1502.65,1505.6,1501.55,1505.6,67,0
13,1504.95,1508,1502.65,1507.15,176,0
14,1501,1503.9,1501,1503.9,12,0
15,1500.8,1504.2,1500.8,1502.5,10,0
16,1501.85,1503.5,1501.85,1502.65,64,0
17,1502.55,1503.2,1500.05,1502.15,36,0
18,1500.9,1503.55,1500.5,1503.55,159,0
19,1500,1502.8,1500,1502.8,30,0
20,1495.55,1499.75,1495.55,1499.75,155,0
21,1496.05,1498.7,1496.05,1498.2,94,0
22,1498,1498,1498,1498,17,0
23,1498.5,1503.6,1496.95,1496.95,217,0
24,1502.9,1502.9,1502,1502,5,0
25,1503,1504,1502.35,1503,36,0
26,1503.1,1505,1503.1,1504,75,0
27,1504.05,1504.05,1504.05,1504.05,5,0
28,1504.95,1504.95,1504.95,1504.95,11,0
29,1506.9,1506.9,1503.1,1504.95,22,0
30,1506.9,1506.9,1506.9,1506.9,5,0
31,1505.2,1506.9,1505.2,1506.9,11,0
32,1505.4,1506.6,1505.4,1506.6,11,0
33,1504.35,1504.75,1503.9,1503.9,7,0
34,1502.25,1504.95,1501.7,1504.95,27,0
35,1500.3,1501.6,1500.3,1500.7,12,0
36,1500.45,1501.95,1498.05,1501.95,82,0
37,1498.2,1500.75,1498.2,1500.75,29,0
38,1499.2,1500.1,1498.15,1500,73,0
39,1500.25,1500.25,1499.5,1499.5,5,0
40,1497.9,1499.9,1497.9,1499.9,42,0
41,1498,1499.7,1498,1499.1,68,0
42,1500.2,1501.05,1499.25,1499.25,69,0
43,1500.2,1501.3,1500.2,1500.8,33,0
44,1500.2,1501.25,1500.2,1500.7,63,0
45,1500.2,1501.4,1500.2,1500.8,55,0
46,1501.05,1501.6,1500.2,1501.6,14,0
47,1500.2,1500.9,1500.2,1500.9,52,0
48,1500.7,1501.9,1500.7,1500.8,17,0
49,1502,1502,1500.2,1501.3,55,0
50,1500.05,1501.2,1500.05,1501.2,25,0
51,1499.8,1501.05,1498.6,1500.5,27,0
52,1498.65,1500.75,1498.05,1500.7,40,0
53,1498.05,1500.5,1498.05,1499.4,20,0
54,1499.6,1500.1,1498.05,1499.3,17,0
55,1500,1500.05,1500,1500.05,9,0
56,1500,1502.95,1500,1500.55,44,0
57,1501.45,1501.45,1500.7,1500.7,5,0
58,1500,1501.7,1500,1501.7,32,0
59,1500.85,1500.85,1500.85,1500.85,6,0
60,1500.6,1500.85,1500.6,1500.85,20,0
61,1502.4,1502.4,1501.25,1501.25,8,0
62,1502.4,1502.4,1501.6,1501.6,16,0
63,1500.6,1502.3,1500.6,1502.3,7,0
64,1501.9,1502.45,1501.05,1501.5,35,0
65,1502,1502.45,1500.8,1502.45,20,0
66,1501.55,1501.55,1501.55,1501.55,5,0
67,1502.85,1502.85,1502.85,1502.85,5,0
68,1502.85,1502.85,1502.85,1502.85,6,0
69,1502,1502.65,1502,1502.65,12,0
70,1502,1502,1502,1502,5,0
71,1501.35,1501.9,1501.25,1501.7,51,0
72,1501.55,1501.55,1501.55,1501.55,5,0
73,1501.95,1501.95,1500.55,1501.9,41,0
74,1500,1501.9,1500,1501.9,22,0
75,1500.3,1501.4,1500.3,1501.4,25,0
76,1501.4,1501.4,1501.4,1501.4,5,0
77,1500.45,1501.9,1500.25,1501.9,17,0
78,1500,1500,1500,1500,85,0
79,1501.35,1501.35,1500.65,1500.65,5,0
80,1500,1501.95,1500,1501.15,64,0
81,1501.4,1501.4,1500.8,1500.8,5,0
82,1502.05,1502.15,1501.3,1501.3,16,0
83,1502.1,1502.1,1501.7,1501.7,6,0
84,1502.9,1502.9,1502.15,1502.15,20,0
