EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,517,518.05,517,518.05,194,0
1,518,518,518,518,15,0
2,518.5,518.5,518,518,7,0
3,520.55,520.55,520,520,11,0
4,521,521,519.95,519.95,28,0
5,519.4,519.9,519.4,519.9,335,0
7,518,519,518,519,13,0
9,519.3,519.3,519.3,519.3,115,0
10,520,520,520,520,100,0
11,520,520,520,520,5,0
12,518.5,518.5,518.5,518.5,1,0
13,518.7,518.7,518.7,518.7,3,0
15,518.8,519.95,518.8,519.95,7,0
16,518.8,518.8,518.8,518.8,21,0
17,519.95,519.95,519.95,519.95,15,0
18,518.75,518.75,518.75,518.75,50,0
19,519.05,520,519.05,520,35,0
24,520,520,520,520,10,0
26,521.15,521.15,521.15,521.15,84,0
27,520.45,520.45,520.45,520.45,10,0
30,520.3,520.3,520.3,520.3,8,0
31,521.5,521.5,521.5,521.5,25,0
35,521.9,521.9,521.9,521.9,1,0
39,522,522,522,522,2,0
42,522.55,522.55,522.55,522.55,50,0
43,523.2,523.2,523.2,523.2,50,0
44,523.7,523.7,523.7,523.7,2,0
46,524,524,524,524,2,0
47,525.75,525.75,525.75,525.75,80,0
49,525.75,525.75,525,525,11,0
50,523.55,523.95,523.55,523.95,101,0
51,524.75,524.75,523.55,523.55,6,0
53,524.2,524.2,524.2,524.2,15,0
54,523.85,523.85,523.85,523.85,4,0
56,523.95,523.95,523.95,523.95,2,0
60,523.5,523.5,523.5,523.5,1,0
62,524,524,524,524,150,0
63,524.5,524.5,524.5,524.5,60,0
64,524,524,524,524,1,0
65,523.8,523.8,523.05,523.05,11,0
69,521.35,522.7,521.35,522.7,60,0
75,521.5,522.5,520.7,520.7,107,0
77,521.5,521.5,521.5,521.5,15,0
79,521.45,521.45,520,520,407,0
84,521.25,521.25,521.25,521.25,2,0
