EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,16480,16498.9,16354.7,16440.05,90,0
1,16499.5,16499.5,16389.6,16466.5,98,0
2,16581.2,16584.85,16455.25,16455.25,85,0
3,16577.95,16587.55,16554.3,16554.3,51,0
4,16626.7,16636.6,16577.95,16578,101,0
5,16583,16636.6,16578.35,16636.6,15,0
6,16593.3,16611.2,16585.3,16585.3,14,0
7,16610.9,16613.55,16598.15,16607.05,29,0
8,16613.45,16626.65,16609.9,16615.3,11,0
9,16626.7,16626.7,16612,16620,38,0
10,16636.6,16636.6,16620.45,16632.85,13,0
11,16626.6,16636.6,16626.6,16635.95,52,0
12,16630,16630,16607.45,16615,117,0
13,16625.05,16654.8,16625.05,16631.45,38,0
14,16623,16623,16623,16623,19,0
15,16622.2,16622.2,16612.1,16620.15,15,0
16,16622.15,16622.15,16622.15,16622.15,1,0
17,16585.35,16617.1,16585.35,16617.1,7,0
18,16585.35,16585.35,16585.35,16585.35,5,0
19,16582.3,16587.6,16582.3,16583,58,0
20,16623.3,16623.3,16604.25,16604.25,26,0
21,16688,16688,16625.35,16646,22,0
22,16762.55,16762.55,16693,16699.15,53,0
23,16738.8,16775.3,16727.1,16764.95,92,0
24,16714.5,16738.8,16714.5,16738.8,25,0
25,16675,16702,16675,16702,14,0
26,16700.6,16704.2,16700.6,16704.2,2,0
27,16686.55,16686.55,16686.55,16686.55,2,0
28,16700.25,16729.95,16700.25,16729.95,13,0
29,16705.15,16710.1,16705.15,16710.1,4,0
31,16627.5,16696.9,16627.5,16686.55,81,0
32,16642.1,16642.1,16635.8,16642.1,7,0
33,16660.2,16670.95,16660.2,16670.95,2,0
34,16650.1,16650.1,16650.1,16650.1,5,0
36,16664.4,16670.45,16660,16660,4,0
37,16660.6,16665,16638,16665,10,0
38,16646.1,16646.1,16646.1,16646.1,1,0
39,16659.2,16659.2,16659.2,16659.2,1,0
40,16662.95,16662.95,16662.95,16662.95,1,0
43,16687.25,16687.25,16652.75,16662.8,40,0
44,16694,16694,16675.7,16675.7,2,0
45,16675.45,16675.45,16675.45,16675.45,1,0
46,16695.25,16695.25,16695.25,16695.25,1,0
47,16694.15,16695.25,16694.15,16695.25,2,0
48,16677.5,16686.7,16677.5,16686.7,6,0
49,16680,16686.7,16658.45,16686.7,5,0
50,16672.1,16672.1,16672.1,16672.1,1,0
52,16680,16680,16672.1,16672.1,2,0
53,16690,16690,16680,16680,8,0
55,16680,16680,16680,16680,1,0
56,16697.55,16697.55,16697.55,16697.55,1,0
58,16687.7,16687.7,16687.7,16687.7,1,0
59,16686,16688,16686,16688,19,0
62,16668.25,16668.25,16668.25,16668.25,1,0
63,16660.95,16660.95,16660.95,16660.95,1,0
64,16658,16660,16658,16660,21,0
65,16647.65,16647.65,16647.6,16647.6,3,0
66,16646.4,16661.05,16646.4,16661.05,7,0
67,16605.2,16636.85,16605.15,16636.85,19,0
68,16634.45,16639.85,16634.45,16639.85,18,0
69,16688.55,16688.55,16592.05,16640.1,175,0
71,16650.2,16661.95,16650.2,16661.95,3,0
72,16683.7,16683.7,16683.7,16683.7,1,0
75,16681.65,16681.65,16681.65,16681.65,2,0
76,16682.95,16682.95,16681.65,16681.65,3,0
78,16675.6,16681,16675.6,16675.6,3,0
79,16675.6,16681,16675.6,16681,6,0
80,16668.9,16669.05,16668.9,16669.05,3,0
81,16661.2,16661.2,16661.2,16661.2,1,0
82,16668.9,16668.9,16668.9,16668.9,1,0
84,16668.9,16668.9,16668.9,16668.9,1,0
