EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1531971960,961.95,963.45,960.55,963,589,0
1,964.9,965.75,960.55,960.55,724,0
2,965.4,965.4,961.55,964.9,1019,0
3,963.75,964.95,963,964.95,538,0
4,964,964.45,963.15,963.15,249,0
5,961.75,964,960.95,964,498,0
6,961.7,961.7,960,960.65,830,0
7,961.4,962.35,961.4,962.1,166,0
8,960.3,961.45,960.3,961.45,8,0
9,961,961.4,960.2,960.2,129,0
10,961.6,961.6,960.05,960.05,322,0
11,961.25,961.45,960.25,960.3,41,0
12,960.5,961.15,960.25,960.25,277,0
13,959.95,960.15,959.7,960.15,451,0
14,959.5,959.75,958.85,959.1,214,0
15,958,959,958,959,1232,0
16,955.6,958,955.6,958,419,0
17,957.2,958.75,956.05,957.15,1055,0
18,959.2,960.5,957.2,957.2,762,0
19,959.85,960.85,959.15,960.1,218,0
20,959.95,960.35,959.15,959.15,73,0
21,958,958.5,956.6,956.6,699,0
22,959.65,959.65,958,958,83,0
23,960.85,960.85,959.5,959.5,713,0
24,959.95,960.35,958.1,959.65,945,0
25,962.2,962.2,960.2,960.25,920,0
26,962.35,962.35,960.85,961.85,721,0
27,961,962.55,960,962.55,1255,0
28,959.55,960.25,958.5,960.25,883,0
29,958,959,958,958.85,500,0
30,957.5,957.5,956,957,1210,0
31,956,957.45,956,957.45,99,0
32,956.1,957,956.05,956.85,105,0
33,957.2,957.35,956.75,956.75,171,0
34,957.15,957.15,956.05,956.05,2025,0
35,957.4,958.2,956.1,957.4,482,0
36,958.3,958.4,957.4,957.4,92,0
37,957,957,957,957,75,0
38,957,957,957,957,55,0
39,957,957,957,957,5,0
41,957.95,958.1,957,958.1,110,0
42,956,957.05,956,957.05,684,0
43,957.9,957.95,957.3,957.3,107,0
44,955,960.5,955,958.1,858,0
45,955.15,959.95,955.05,955.05,1087,0
46,958.75,958.8,955.15,955.15,276,0
47,957.1,960.55,955.1,958.75,1577,0
48,959.8,959.9,956.25,959.15,1457,0
49,962.6,962.6,959.2,959.2,233,0
50,961.75,963,959,962.6,2420,0
51,962,965.95,961.1,964.2,1455,0
52,965.65,967.5,961.85,962,1052,0
53,966.95,967,965.8,965.8,191,0
54,966.5,967.5,966.1,967.4,714,0
55,966.3,966.95,966.1,966.95,187,0
56,966.15,966.5,966.15,966.35,61,0
57,966.05,966.65,966,966.35,719,0
58,965,967.5,963.95,966.05,643,0
59,965,965,965,965,7,0
60,964.85,964.85,964.85,964.85,100,0
61,966.3,966.3,964.85,965.05,519,0
62,966.3,966.3,966.3,966.3,10,0
63,966.85,966.85,966.85,966.85,100,0
64,966.15,966.15,966.15,966.15,1,0
65,966.15,966.15,965.1,965.1,27,0
66,966.15,966.15,966,966,583,0
67,965,965,965,965,60,0
69,965,965,965,965,13,0
70,964,964.65,964,964.65,39,0
71,964,964,964,964,175,0
72,963,963.55,963,963.55,317,0
73,963.9,963.9,962.2,962.9,465,0
75,963.95,963.95,963.95,963.95,15,0
76,966.45,966.45,963.95,963.95,890,0
77,966.5,966.5,966.4,966.4,53,0
78,966.5,966.5,966.5,966.5,2,0
79,964,966,964,966,702,0
80,964,964.05,964,964.05,105,0
81,965.55,966.55,965,965,323,0
82,965,965,964.2,965,131,0
83,964,964.2,964,964.2,50,0
85,965.65,965.65,965.65,965.65,131,0
86,966,966,966,966,1,0
87,965.85,965.85,965.85,965.85,2,0
88,964,966.05,964,966.05,66,0
90,964,965.35,964,965.35,101,0
91,965.4,965.4,965.2,965.2,158,0
93,964,965.6,964,965.6,335,0
94,964.65,964.65,964.65,964.65,20,0
95,963.65,964.65,963.65,964.65,141,0
96,963.45,963.45,963.05,963.1,16,0
97,963.45,963.45,963.45,963.45,10,0
98,964,964.6,963.45,963.45,41,0
99,963.25,963.25,963.25,963.25,111,0
100,964.65,964.65,963,963,101,0
101,963.6,965.45,963.6,965.45,81,0
104,965.05,965.05,964.25,965,57,0
105,964.6,964.6,963.5,964.35,595,0
106,963.6,964.6,963.6,964.5,374,0
107,962.4,963.7,962.4,962.65,180,0
108,964.9,965.35,963.85,963.85,438,0
109,966.2,966.2,964.9,964.9,377,0
111,965.7,966.05,965.7,966.05,460,0
112,966,966,965.65,965.65,110,0
113,966,966.05,966,966,35,0
114,964.05,965.65,964.05,965,131,0
117,965.4,965.4,965.4,965.4,2,0
118,965,965.35,965,965.35,206,0
119,965,965,965,965,100,0
120,963.55,964.25,963.55,964.25,55,0
121,963.5,963.5,963.5,963.5,52,0
122,963,963.55,963,963,310,0
123,963,963,962.45,962.45,37,0
125,962.5,962.5,962.2,962.5,17,0
126,962.85,963.25,962.85,962.9,3,0
128,963.75,963.75,962.8,962.85,16,0
129,963,963.7,963,963.7,14,0
130,963,963.85,962.85,962.85,298,0
132,963.55,963.55,963.55,963.55,28,0
133,963.55,963.8,963.55,963.8,90,0
