EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,1111.05,1111.05,1111.05,1111.05,6,0
1,1114.5,1115.75,1112,1115.75,30,0
2,1115.05,1117.9,1115.05,1117.9,19,0
6,1117.9,1117.9,1117.9,1117.9,15,0
7,1115.85,1117.9,1115.85,1117.9,26,0
8,1113.05,1115,1113.05,1115,13,0
9,1115,1115,1112,1112,22,0
11,1114.9,1114.9,1114.9,1114.9,5,0
12,1115,1115,1115,1115,6,0
15,1117.95,1117.95,1117.95,1117.95,1,0
18,1117.95,1117.95,1117.95,1117.95,20,0
19,1115,1115,1115,1115,37,0
21,1115,1115,1115,1115,7,0
23,1115,1115,1115,1115,7,0
28,1113,1113,1113,1113,7,0
29,1113,1113,1113,1113,7,0
31,1113,1113,1113,1113,7,0
33,1113,1113,1113,1113,25,0
34,1113,1113,1113,1113,7,0
49,1110.25,1110.25,1110.25,1110.25,10,0
50,1112.75,1112.75,1112.75,1112.75,8,0
58,1113,1113,1111.65,1111.65,109,0
62,1113,1113,1113,1113,7,0
66,1110.55,1110.55,1110.55,1110.55,5,0
68,1111,1111,1110.5,1110.5,22,0
70,1110,1111,1110,1111,25,0
71,1111,1111,1110,1110,22,0
73,1110,1110,1110,1110,18,0
