EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,1086,1086,1086,1086,13,0
1,1086.95,1086.95,1086.95,1086.95,1,0
4,1086.1,1086.1,1086.1,1086.1,10,0
6,1087,1087,1087,1087,1,0
7,1094,1094.85,1086,1092.45,255,0
8,1094.85,1094.85,1087.55,1087.55,40,0
10,1089.1,1089.1,1089.1,1089.1,20,0
15,1093.65,1093.65,1093.65,1093.65,3,0
16,1089.5,1089.5,1089.5,1089.5,10,0
19,1091.5,1091.5,1091.5,1091.5,36,0
20,1090,1093.65,1090,1093.65,88,0
22,1094.9,1094.9,1094.9,1094.9,5,0
24,1094.95,1094.95,1094.95,1094.95,12,0
25,1094.05,1094.05,1094.05,1094.05,2,0
26,1094.1,1094.1,1094.1,1094.1,2,0
28,1090.1,1096,1090.1,1096,48,0
29,1094.75,1094.75,1094.75,1094.75,3,0
32,1093,1093,1093,1093,10,0
35,1090.1,1090.15,1090.1,1090.15,160,0
41,1091.95,1091.95,1091.95,1091.95,200,0
42,1092.4,1092.4,1091.95,1091.95,306,0
43,1095,1095,1095,1095,1,0
45,1095,1095.1,1095,1095.1,118,0
49,1095,1095,1095,1095,20,0
52,1094,1094,1094,1094,50,0
60,1094,1094,1094,1094,2,0
61,1091,1094,1091,1094,375,0
73,1091,1091,1091,1091,50,0
78,1091.65,1091.7,1091.65,1091.7,7,0
83,1090,1091.65,1090,1091.65,49,0
84,1089.1,1089.75,1089.1,1089.75,24,0
