EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,334,334,332,332.5,642,0
1,332.8,334,332.25,334,558,0
2,333.15,333.95,332,332,511,0
3,333.35,333.8,333.25,333.25,148,0
4,333.3,333.35,333.05,333.05,255,0
5,333.4,333.4,333,333,145,0
6,334.4,334.65,333.15,333.15,1154,0
7,334.75,334.95,333.5,334.3,834,0
8,336,338,334.7,334.7,4084,0
9,336.95,337,335.75,336,1389,0
10,335,337,335,336.95,2424,0
11,334.65,334.95,333.95,334.75,876,0
12,332.45,334.65,332.3,334.65,2340,0
13,332.7,332.8,331.1,332.8,3106,0
14,332.95,332.95,332.65,332.65,1303,0
15,332.45,332.95,332.45,332.95,1661,0
16,333.85,333.85,332.55,332.95,890,0
17,334.2,334.3,334.15,334.3,1200,0
18,334.2,334.25,333.1,334.2,682,0
19,333,333.7,333,333.7,257,0
20,333.3,333.3,333,333.2,713,0
21,333.45,333.45,333,333,550,0
22,333.35,333.5,333.35,333.45,200,0
23,333.8,334.15,333.35,333.35,299,0
24,334.1,334.1,334,334,546,0
25,332.15,334.1,332.15,334.1,619,0
26,332.85,332.9,332.85,332.9,102,0
27,333.3,333.3,332.95,332.95,60,0
28,333,333,332.95,333,41,0
29,333.4,333.4,333,333,91,0
30,333.05,333.4,333,333.4,197,0
31,333.2,333.4,333.05,333.05,208,0
32,333.25,333.4,333.25,333.25,229,0
33,333.3,333.4,333.3,333.3,247,0
34,333.35,333.4,333.35,333.4,144,0
35,334,334,333.4,333.4,560,0
36,334.1,334.3,334,334,1249,0
37,332.2,334,332.2,334,1446,0
38,331.85,332.45,331.85,332.45,512,0
39,331.85,331.9,331.75,331.85,193,0
40,331.6,332.35,331.6,331.9,1194,0
41,332,332,331.45,331.7,170,0
42,332,332,331.9,332,159,0
43,332.5,332.65,331.85,331.85,326,0
44,331.85,332.7,331.85,332.5,724,0
45,331.5,332.3,331.5,331.85,1342,0
46,331.5,331.5,331.3,331.3,282,0
47,331.1,331.2,331.1,331.1,197,0
48,331.2,331.35,331.1,331.35,117,0
49,331.3,331.75,331.25,331.25,213,0
50,331.05,331.35,331,331.3,278,0
51,328.95,331.3,328.95,331.3,4231,0
52,329,329.75,328.5,328.55,1731,0
53,329,329,328.85,328.85,586,0
54,329.2,329.5,328.95,329,917,0
55,329.05,329.1,329.05,329.1,320,0
56,329.5,330,328.95,329.05,969,0
57,328.9,329.5,328.9,329.35,464,0
58,326.75,329.35,326.05,329.35,2902,0
59,327.4,327.4,326.9,327.25,640,0
60,328.55,328.55,327,327,488,0
61,329.3,330,328.5,328.6,1352,0
62,328.9,329.55,328.7,329,881,0
63,328.85,328.85,328.8,328.8,90,0
64,329.6,329.6,328.85,328.85,416,0
65,329.25,329.9,329.1,329.85,643,0
66,328.7,329.1,328.7,329.1,251,0
67,328.95,329.05,328.95,329,654,0
68,329.15,329.25,329,329,717,0
69,328.8,328.95,328.8,328.95,791,0
70,328.45,328.45,328.45,328.45,3,0
71,328.1,328.1,328.1,328.1,50,0
72,328,328,328,328,100,0
73,328.5,328.5,328.5,328.5,90,0
74,328.9,328.9,328.5,328.5,80,0
75,328,328,328,328,170,0
76,328.4,328.4,328,328,71,0
77,328.75,328.75,328.75,328.75,1,0
78,329.25,329.25,328.95,328.95,129,0
79,329.25,329.25,329,329,960,0
80,329.25,329.25,329.25,329.25,79,0
81,329.25,329.25,329.25,329.25,93,0
82,328.8,329.25,328.8,329.25,145,0
84,328.85,328.85,328.85,328.85,25,0
