EXCHANGE%3DNSE
MARKET_OPEN_MINUTE=555
MARKET_CLOSE_MINUTE=930
INTERVAL=60
COLUMNS=DATE,CLOSE,HIGH,LOW,OPEN,VOLUME,CDAYS
DATA=
TIMEZONE_OFFSET=330
a1532317560,357.1,360.85,357.05,360.85,4242,0
1,361.35,361.7,357.5,357.5,2031,0
2,361.3,362,361,361.25,2090,0
3,362.5,362.85,361,361.5,2368,0
4,363.5,364,362.05,362.5,5052,0
5,362,363.75,358.3,363.1,3098,0
6,360.35,360.95,360.2,360.9,698,0
7,360.7,361.4,360.35,360.35,550,0
8,360.45,360.9,360.15,360.65,415,0
9,360.9,360.9,360.5,360.5,134,0
10,361.9,361.9,360.55,361,1000,0
11,361.55,362,361.55,361.85,155,0
12,360.8,361.55,360.8,361.55,403,0
13,360.5,361,360.5,361,321,0
14,361,361.35,360.5,360.5,414,0
15,360.55,360.55,360.55,360.55,44,0
16,360.95,361.1,360.95,361.1,125,0
17,361,361,361,361,67,0
18,361.5,361.5,360.8,360.85,206,0
19,361.35,361.4,361.35,361.4,98,0
20,361,361.5,360.8,360.8,585,0
21,361.95,361.95,361.25,361.25,808,0
22,361.95,361.95,361.6,361.95,155,0
23,361.85,361.95,361.5,361.6,301,0
24,361.8,361.8,361.8,361.8,100,0
25,361.5,361.5,361.15,361.15,181,0
26,361.9,361.9,361.2,361.45,714,0
27,361.9,361.9,361.9,361.9,30,0
28,361.05,361.9,361.05,361.85,556,0
29,362.55,362.9,361.9,361.9,1545,0
30,362.5,362.95,362.5,362.95,525,0
31,361.8,362,361.8,362,207,0
32,362,362,362,362,205,0
33,362.1,362.3,362.1,362.1,95,0
34,362,362.35,362,362.35,251,0
35,361.6,362,361.6,362,110,0
36,361.8,362.4,361.8,362.4,293,0
37,361.8,361.8,361.05,361.6,293,0
38,361.75,361.85,361.75,361.85,67,0
39,361.55,362.3,361.55,361.8,204,0
40,361.05,361.8,361.05,361.8,440,0
41,361.55,361.55,361.15,361.25,117,0
42,361.85,361.85,361.55,361.55,53,0
43,361.55,361.55,361.35,361.55,86,0
44,361,361.35,361,361.35,439,0
45,360.5,361,360.2,361,271,0
46,360.05,360.3,360.05,360.3,118,0
47,359.75,360.05,359.6,360.05,531,0
48,359.45,359.8,359.25,359.8,472,0
49,359.45,359.7,359.45,359.7,238,0
50,359.6,359.6,359.2,359.2,109,0
51,359.85,360,359.55,359.55,247,0
52,359.95,360,359.6,359.75,216,0
53,359.9,360.05,359.65,360,620,0
54,359.5,359.5,359.2,359.4,168,0
55,359.55,359.55,359,359.55,363,0
56,358.75,359.3,358.75,359.3,77,0
57,358.75,358.85,358.75,358.85,234,0
58,359.25,359.25,358.5,358.55,1187,0
59,359.5,359.7,359.3,359.5,264,0
60,359,359.9,359,359.6,17,0
61,359.4,359.95,359.3,359.3,143,0
62,359.8,359.8,359.7,359.7,16,0
63,359.35,359.8,359.35,359.8,133,0
64,359.35,359.35,359.35,359.35,60,0
66,358.2,359.35,358.2,359.35,491,0
67,358.55,358.55,358.55,358.55,56,0
68,359.9,359.9,358.8,359.25,203,0
69,361,361,360,360,242,0
70,359.3,359.55,359.3,359.55,35,0
71,359,359,359,359,400,0
72,359.5,359.5,359.5,359.5,5,0
73,359.8,359.8,359.75,359.8,388,0
74,361.5,361.5,361.5,361.5,1050,0
75,360.9,361.75,360.9,361.75,6,0
76,360.75,360.75,360.7,360.7,61,0
77,360,360,360,360,41,0
78,360.75,360.75,360,360.45,284,0
79,360.95,360.95,360.25,360.25,19,0
80,360.95,360.95,360.95,360.95,125,0
82,360,360.95,360,360.95,428,0
83,360.25,360.25,360.25,360.25,4,0
84,360.75,360.75,360.75,360.75,128,0
